atomic_operation,cpp_module,cpp_strategy,cpp_support,difficulty,stateful,semantic_contract,test_oracle
ACTIVE_BINDING_READ,include/r2cpp/runtime.hpp,C++17 helper,0.86,5,yes,preserve observable Base R semantics,R differential test + C++ unit test
ACTIVE_BINDING_WRITE,include/r2cpp/runtime.hpp,C++17 helper,0.84,5,yes,preserve observable Base R semantics,R differential test + C++ unit test
ARG_FORCE_EAGER,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
ARG_MATCH_EXACT,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
ARG_MATCH_PARTIAL_AMBIGUITY,include/r2cpp/runtime.hpp,C++17 helper,0.94,3,no,preserve observable Base R semantics,R differential test + C++ unit test
ARG_MATCH_PARTIAL_UNIQUE,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
ARG_MATCH_POSITIONAL,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
ARRAY_SHAPE,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
ARRAY_STRIDE_COLUMN_MAJOR,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
ATTR_COPY,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
ATTR_DROP,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
ATTR_GET_GENERIC,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
ATTR_POLICY_DROP,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
ATTR_POLICY_PRESERVE,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
ATTR_SET_GENERIC,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
CALL_CLOSURE,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
CALL_FRAME_CREATE,include/r2cpp/runtime.hpp,C++17 helper,0.95,3,yes,preserve observable Base R semantics,R differential test + C++ unit test
CALL_FRAME_PARENT,include/r2cpp/runtime.hpp,C++17 helper,0.94,3,yes,preserve observable Base R semantics,R differential test + C++ unit test
CLASS_GET,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
CLASS_SET,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
CLOSURE_CAPTURE_ENV,include/r2cpp/runtime.hpp,C++17 helper,0.93,3,no,preserve observable Base R semantics,R differential test + C++ unit test
CLOSURE_CREATE,include/r2cpp/runtime.hpp,C++17 helper,0.96,2,no,preserve observable Base R semantics,R differential test + C++ unit test
COERCE_CHARACTER,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
COERCE_COMMON_NUMERIC,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
COERCE_COMPLEX,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
COERCE_DOUBLE,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
COERCE_IDENTITY,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
COERCE_INTEGER,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
COERCE_LOGICAL,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
COMMON_TYPE,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
CONN_CLOSE,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,yes,preserve observable Base R semantics,R differential test + C++ unit test
CONN_OPEN,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,yes,preserve observable Base R semantics,R differential test + C++ unit test
CONN_READ,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,yes,preserve observable Base R semantics,R differential test + C++ unit test
CONN_STATE,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,yes,preserve observable Base R semantics,R differential test + C++ unit test
CONN_TEXT_BINARY,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,yes,preserve observable Base R semantics,R differential test + C++ unit test
CONN_WRITE,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,yes,preserve observable Base R semantics,R differential test + C++ unit test
CONTROL_BREAK,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
CONTROL_NEXT,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
CONTROL_RETURN,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
DATETIME_FORMAT,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
DATETIME_PARSE,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
DATE_PARSE,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
DIMNAMES_GET,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
DIMNAMES_SET,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
DIM_GET,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
DIM_PROPAGATE,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
DIM_SET,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
DOTS_COLLECT,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
DOTS_NAMES_PRESERVE,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
DOTS_ORDER_PRESERVE,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
DST_POLICY,include/r2cpp/runtime.hpp,C++17 helper,0.9,4,no,preserve observable Base R semantics,R differential test + C++ unit test
ENCODING_FLAG_PRESERVE,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
ENVVAR_GET_SET,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
ENV_ASSIGN_LOCAL,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,yes,preserve observable Base R semantics,R differential test + C++ unit test
ENV_CREATE,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,yes,preserve observable Base R semantics,R differential test + C++ unit test
ENV_LOOKUP_LOCAL,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,yes,preserve observable Base R semantics,R differential test + C++ unit test
ENV_LOOKUP_PARENT,include/r2cpp/runtime.hpp,C++17 helper,0.95,3,yes,preserve observable Base R semantics,R differential test + C++ unit test
ENV_PARENT_LINK,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,yes,preserve observable Base R semantics,R differential test + C++ unit test
ENV_SUPERASSIGN,include/r2cpp/runtime.hpp,C++17 helper,0.93,3,yes,preserve observable Base R semantics,R differential test + C++ unit test
EXPRESSION_VECTOR,include/r2cpp/runtime.hpp,C++17 helper,0.9,4,no,preserve observable Base R semantics,R differential test + C++ unit test
FLATTEN_ATOMIC,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
FLATTEN_RECURSIVE,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
FORMAL_BIND_PROMISES,include/r2cpp/runtime.hpp,C++17 helper,0.91,4,no,preserve observable Base R semantics,R differential test + C++ unit test
FS_LIST,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
FS_PATH,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
FS_REMOVE,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
FS_STAT,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
GATHER_ATOMIC,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
GATHER_LIST,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
INDEX_CHARACTER_NAMES,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
INDEX_DROP_POLICY,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
INDEX_LOGICAL_RECYCLE,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
INDEX_NA,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
INDEX_NEGATIVE_EXCLUDE,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
INDEX_NORMALIZE,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
INDEX_ONE_BASED,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
INDEX_ZERO_OMIT,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
INFINITY_POLICY,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
INTERNAL_GENERIC_LOOKUP,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
ITER_CREATE,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
ITER_NEXT,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
LANG_CALL_OBJECT,include/r2cpp/runtime.hpp,C++17 helper,0.93,3,no,preserve observable Base R semantics,R differential test + C++ unit test
LANG_CAPTURE_AST,include/r2cpp/runtime.hpp,C++17 helper,0.94,3,no,preserve observable Base R semantics,R differential test + C++ unit test
LANG_SYMBOL_OBJECT,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
LOGICAL_TRI_STATE,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
MATCH_HASH,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
MATCH_NA,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
MATCH_NOMATCH,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
MISSING_TRUTH_ERROR,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
NAMES_GET,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
NAMES_SET,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
NAN_DISTINGUISH,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
NA_PROPAGATE_ARITH,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
NUMERIC_SCALAR,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
NUMERIC_VECTOR,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
