table_index,name,kernel,arity,baseline_readiness
0,if,language,-1,0.951406
1,while,language,2,0.950758
2,for,language,3,0.950758
3,repeat,language,1,0.950758
4,break,language,0,0.950758
5,next,language,0,0.950758
6,return,language,-1,0.951406
7,function,language,-1,0.951406
8,<-,replacement,-1,0.953077
9,=,language,-1,0.951406
10,<<-,replacement,-1,0.953077
11,{,language,-1,0.951406
12,(,language,1,0.951471
13,.subset,subset,-1,0.9754
14,.subset2,subset,-1,0.9754
15,[,subset,-1,0.968077
16,[[,subset,-1,0.968077
17,$,subset,2,0.966667
18,@,language,2,0.950758
19,[<-,replacement,3,0.96027
20,[[<-,replacement,3,0.96027
21,$<-,replacement,3,0.96027
22,switch,language,-1,0.951406
23,browser,language,-1,0.952121
24,.primTrace,runtime,1,0.95413
25,.primUntrace,runtime,1,0.95413
26,.Internal,language,1,0.950758
27,.Primitive,runtime,1,0.95413
28,call,language,-1,0.951406
29,quote,language,1,0.950758
30,substitute,character,-1,0.960217
31,missing,language,1,0.950758
32,nargs,runtime,0,0.95413
33,on.exit,language,-1,0.951406
34,forceAndCall,language,-1,0.951406
35,declare,language,-1,0.951406
36,stop,runtime,2,0.95413
37,warning,runtime,4,0.95413
38,gettext,environment,3,0.959524
39,ngettext,environment,4,0.959524
40,bindtextdomain,runtime,2,0.95413
41,.addCondHands,runtime,5,0.95413
42,.addGlobHands,runtime,5,0.95413
43,.resetCondHands,runtime,1,0.95413
44,.signalCondition,runtime,3,0.95413
45,.dfltStop,runtime,2,0.95413
46,.dfltWarn,runtime,2,0.95413
47,.addRestart,runtime,1,0.95413
48,.getRestart,environment,1,0.959524
49,.invokeRestart,runtime,2,0.95413
50,.addTryHandlers,runtime,0,0.95413
51,geterrmessage,environment,0,0.959524
52,seterrmessage,runtime,1,0.95413
53,printDeferredWarnings,runtime,0,0.95413
54,interruptsSuspended,runtime,-1,0.955227
55,as.function.default,runtime,2,0.95413
56,debug,runtime,3,0.95413
57,undebug,runtime,1,0.95413
58,isdebugged,runtime,1,0.95413
59,debugonce,runtime,3,0.95413
60,Recall,language,-1,0.951406
61,delayedAssign,runtime,4,0.95413
62,makeLazy,runtime,5,0.95413
63,identical,runtime,8,0.95413
64,C_tryCatchHelper,runtime,-1,0.955227
65,getNamespaceValue,environment,3,0.959524
66,+,arithmetic,-1,0.979545
67,-,arithmetic,-1,0.979545
68,*,arithmetic,2,0.977391
69,/,arithmetic,2,0.977391
70,^,arithmetic,2,0.977391
71,%%,arithmetic,2,0.977391
72,%/%,arithmetic,2,0.977391
73,%*%,matrix,2,0.979531
74,==,relational,2,0.975313
75,!=,relational,2,0.975313
76,<,relational,2,0.975313
77,<=,relational,2,0.975313
78,>=,relational,2,0.975313
79,>,relational,2,0.975313
80,&,logical,2,0.975294
81,|,logical,2,0.975294
82,!,logical,1,0.975294
83,&&,logical-short-circuit,2,0.961591
84,||,logical-short-circuit,2,0.961591
85,:,runtime,2,0.95413
86,~,language,-1,0.951406
87,::,language,2,0.950758
88,:::,language,2,0.950758
89,all,logical-reduction,-1,0.977857
90,any,logical-reduction,-1,0.977857
91,...elt,environment,1,0.957895
92,...length,environment,0,0.957895
93,...names,attribute,0,0.974615
94,length,matrix,1,0.979032
95,length<-,replacement,2,0.960227
96,oldClass,attribute,1,0.974615
97,oldClass<-,replacement,2,0.960227
98,class,attribute,1,0.974615
99,.cache_class,attribute,2,0.974615
100,.class2,attribute,1,0.974615
101,class<-,replacement,2,0.960227
102,unclass,attribute,1,0.974615
103,names,attribute,1,0.974615
104,names<-,replacement,2,0.960227
105,dimnames,attribute,1,0.974615
106,dimnames<-,replacement,2,0.960227
107,dim,attribute,1,0.974615
108,dim<-,replacement,2,0.960227
109,attributes,attribute,1,0.974615
110,attributes<-,replacement,2,0.960227
111,attr,attribute,-1,0.978333
112,attr<-,replacement,3,0.960227
113,@<-,replacement,3,0.953793
114,levels<-,replacement,2,0.960227
115,vector,runtime,2,0.95413
116,complex,numeric-complex,3,0.976667
117,matrix,matrix,7,0.979531
118,array,matrix,3,0.979531
119,diag,matrix,3,0.979531
120,backsolve,matrix,5,0.979032
121,max.col,matrix,2,0.979032
122,row,matrix,1,0.979032
123,col,matrix,1,0.979032
124,unlist,combine,3,0.976
125,cbind,language,-1,0.951406
126,rbind,language,-1,0.951406
127,drop,matrix,1,0.979032
128,all.names,attribute,4,0.974615
129,comment,attribute,1,0.974545
130,comment<-,replacement,2,0.960227
131,get,environment,4,0.959524
132,get0,environment,5,0.959524
133,mget,environment,5,0.959524
134,exists,environment,4,0.959524
135,assign,environment,4,0.959524
136,list2env,environment,2,0.959524
137,remove,environment,3,0.959524
138,duplicated,matching,4,0.974615
139,unique,matching,4,0.974615
140,anyDuplicated,matching,3,0.974615
141,anyNA,missingness,-1,0.979167
142,which,runtime,1,0.95413
143,which.min,runtime,1,0.95413
144,pmin,reduction,-1,0.9795
145,pmax,reduction,-1,0.9795
146,which.max,runtime,1,0.95413
147,match,matching,4,0.974615
148,pmatch,matching,4,0.974615
149,charmatch,character,3,0.975385
150,match.call,matching,4,0.974615
151,crossprod,matrix,1,0.979531
152,tcrossprod,matrix,1,0.979531
153,asplit,matrix,8,0.979032
154,lengths,matrix,2,0.979032
155,sequence,runtime,4,0.95413
156,vhash,matching,-1,0.978333
157,attach,environment,3,0.957895
158,detach,environment,1,0.957895
159,search,environment,0,0.957895
160,setFileTime,io,2,0.970893
161,round,numeric-unary,-1,0.967692
162,signif,numeric-unary,-1,0.967692
163,log,numeric-unary,-1,0.967692
164,log10,numeric-unary,1,0.97775
165,log2,numeric-unary,1,0.97775
166,abs,numeric-unary,1,0.97775
