language,field,field_id
r,field_alternative,1
r,field_argument,2
r,field_arguments,3
r,field_body,4
r,field_close,5
r,field_condition,6
r,field_consequence,7
r,field_content,8
r,field_default,9
r,field_function,10
r,field_lhs,11
r,field_name,12
r,field_open,13
r,field_operator,14
r,field_parameter,15
r,field_parameters,16
r,field_rhs,17
r,field_sequence,18
r,field_value,19
r,field_variable,20
go,field_alias,1
go,field_alternative,2
go,field_arguments,3
go,field_body,4
go,field_capacity,5
go,field_channel,6
go,field_communication,7
go,field_condition,8
go,field_consequence,9
go,field_element,10
go,field_end,11
go,field_field,12
go,field_function,13
go,field_index,14
go,field_initializer,15
go,field_key,16
go,field_label,17
go,field_left,18
go,field_length,19
go,field_name,20
go,field_operand,21
go,field_operator,22
go,field_package,23
go,field_parameters,24
go,field_path,25
go,field_receiver,26
go,field_result,27
go,field_right,28
go,field_start,29
go,field_tag,30
go,field_type,31
go,field_type_arguments,32
go,field_type_parameters,33
go,field_update,34
go,field_value,35
rust,field_alias,1
rust,field_alternative,2
rust,field_argument,3
rust,field_arguments,4
rust,field_body,5
rust,field_bounds,6
rust,field_condition,7
rust,field_consequence,8
rust,field_default_type,9
rust,field_doc,10
rust,field_element,11
rust,field_field,12
rust,field_function,13
rust,field_inner,14
rust,field_left,15
rust,field_length,16
rust,field_list,17
rust,field_macro,18
rust,field_name,19
rust,field_operator,20
rust,field_outer,21
rust,field_parameters,22
rust,field_path,23
rust,field_pattern,24
rust,field_return_type,25
rust,field_right,26
rust,field_trait,27
rust,field_type,28
rust,field_type_arguments,29
rust,field_type_parameters,30
rust,field_value,31
cpp,field_alternative,1
cpp,field_argument,2
cpp,field_arguments,3
cpp,field_assembly_code,4
cpp,field_base,5
cpp,field_body,6
cpp,field_captures,7
cpp,field_clobbers,8
cpp,field_condition,9
cpp,field_consequence,10
cpp,field_constraint,11
cpp,field_declarator,12
cpp,field_default_type,13
cpp,field_default_value,14
cpp,field_delimiter,15
cpp,field_designator,16
cpp,field_directive,17
cpp,field_end,18
cpp,field_field,19
cpp,field_filter,20
cpp,field_function,21
cpp,field_goto_labels,22
cpp,field_header,23
cpp,field_indices,24
cpp,field_initializer,25
cpp,field_input_operands,26
cpp,field_label,27
cpp,field_left,28
cpp,field_length,29
cpp,field_member,30
cpp,field_message,31
cpp,field_name,32
cpp,field_namespace,33
cpp,field_operand,34
cpp,field_operator,35
cpp,field_output_operands,36
cpp,field_parameters,37
cpp,field_partition,38
cpp,field_path,39
cpp,field_pattern,40
cpp,field_placement,41
cpp,field_prefix,42
cpp,field_register,43
cpp,field_requirements,44
cpp,field_right,45
cpp,field_scope,46
cpp,field_size,47
cpp,field_start,48
cpp,field_symbol,49
cpp,field_template_parameters,50
cpp,field_type,51
cpp,field_update,52
cpp,field_value,53
c,field_alternative,1
c,field_argument,2
c,field_arguments,3
c,field_assembly_code,4
c,field_body,5
c,field_clobbers,6
c,field_condition,7
c,field_consequence,8
c,field_constraint,9
c,field_declarator,10
c,field_designator,11
c,field_directive,12
c,field_end,13
c,field_field,14
c,field_filter,15
c,field_function,16
c,field_goto_labels,17
c,field_index,18
c,field_initializer,19
c,field_input_operands,20
c,field_label,21
c,field_left,22
c,field_member,23
c,field_name,24
c,field_operand,25
c,field_operator,26
c,field_output_operands,27
c,field_parameters,28
c,field_path,29
c,field_prefix,30
c,field_register,31
c,field_right,32
c,field_size,33
c,field_start,34
c,field_symbol,35
c,field_type,36
c,field_underlying_type,37
c,field_update,38
c,field_value,39
python,field_alias,1
python,field_alternative,2
python,field_argument,3
python,field_arguments,4
python,field_attribute,5
python,field_body,6
python,field_cause,7
python,field_code,8
python,field_condition,9
python,field_consequence,10
python,field_definition,11
python,field_expression,12
python,field_format_specifier,13
python,field_function,14
python,field_guard,15
python,field_key,16
python,field_left,17
python,field_module_name,18
python,field_name,19
python,field_object,20
python,field_operator,21
python,field_operators,22
python,field_parameters,23
python,field_return_type,24
python,field_right,25
python,field_subject,26
python,field_subscript,27
python,field_superclasses,28
python,field_type,29
python,field_type_conversion,30
python,field_type_parameters,31
python,field_value,32
zig,field_alternative,1
zig,field_argument,2
zig,field_arguments,3
zig,field_body,4
zig,field_condition,5
zig,field_error,6
zig,field_function,7
zig,field_index,8
zig,field_left,9
zig,field_member,10
zig,field_name,11
zig,field_object,12
zig,field_ok,13
zig,field_operator,14
zig,field_right,15
zig,field_sentinel,16
zig,field_type,17
julia,field_alternative,1
julia,field_condition,2
julia,field_name,3
julia,field_prefix,4
julia,field_suffix,5
julia,field_value,6
nim,field_alternative,1
nim,field_body,2
nim,field_condition,3
nim,field_consequence,4
nim,field_first_argument,5
nim,field_function,6
nim,field_generic_arguments,7
nim,field_generic_parameters,8
nim,field_inherits,9
nim,field_label,10
nim,field_left,11
nim,field_module,12
nim,field_name,13
nim,field_operator,14
nim,field_parameters,15
nim,field_pragma,16
nim,field_pragmas,17
nim,field_refines,18
nim,field_return_type,19
