language,lexer_function,lex_state,transition_kind,target_lex_state,guard,guard_hash
r,ts_lex,0,ADVANCE,27,eof,22988607ff895660
r,ts_lex,0,SKIP,0,('\t' <= lookahead && lookahead <= '\r') || lookahead == ' ',1f8ddc7342cd63b6
r,ts_lex,0,ADVANCE,66,('1' <= lookahead && lookahead <= '9'),87bc4a5f013c5ea8
r,ts_lex,0,ADVANCE,95,"set_contains(sym_identifier_character_set_2, 669, lookahead)",d2fa185248f561d7
r,ts_lex,0,ADVANCE_MAP,,"'!', 32, '""', 71, '#', 96, '$', 58, '%', 5, '&', 41, '\'', 70, '*', 50, '+', 33, ',', 97, '-', 34, '.', 91, '/', 51, '0', 65, ':', 56, '<', 44, '=', 29, '>', 46, '?', 30, '@', 59, '\\', 28, '^', 53, '`', 10, '|', 40, '~', 31,",a1b6fb5f76646078
r,ts_lex,1,SKIP,1,('\t' <= lookahead && lookahead <= '\r') || lookahead == ' ',1f8ddc7342cd63b6
r,ts_lex,1,ADVANCE,95,"set_contains(sym_identifier_character_set_2, 669, lookahead)",d2fa185248f561d7
r,ts_lex,1,ADVANCE_MAP,,"'!', 8, '""', 71, '#', 96, '$', 58, '%', 5, '&', 41, '\'', 70, '*', 50, '+', 33, ',', 97, '-', 34, '.', 92, '/', 51, ':', 57, '<', 44, '=', 29, '>', 46, '?', 30, '@', 59, '^', 53, '`', 10, '|', 40, '~', 31,",5bb7f4de2b757263
r,ts_lex,2,SKIP,2,('\t' <= lookahead && lookahead <= '\r') || lookahead == ' ',1f8ddc7342cd63b6
r,ts_lex,2,ADVANCE,95,"set_contains(sym_identifier_character_set_2, 669, lookahead)",d2fa185248f561d7
r,ts_lex,2,ADVANCE_MAP,,"'!', 8, '#', 96, '$', 58, '%', 5, '&', 41, '*', 50, '+', 33, ',', 97, '-', 34, '.', 94, '/', 51, ':', 57, '<', 44, '=', 29, '>', 46, '?', 30, '@', 59, '^', 53, '`', 10, '|', 40, '~', 31,",12cad0277d5b31ca
r,ts_lex,3,ADVANCE,71,"lookahead == '""'",9e27817386ab0fdb
r,ts_lex,3,ADVANCE,76,lookahead == '#',38c19b89ce1b2fd3
r,ts_lex,3,ADVANCE,9,lookahead == '\\',e3a7db2e2f9a375e
r,ts_lex,3,ADVANCE,75,('\t' <= lookahead && lookahead <= '\r') || lookahead == ' ',1f8ddc7342cd63b6
r,ts_lex,3,ADVANCE,77,lookahead != 0,f17dad6061ff6bc7
r,ts_lex,4,ADVANCE,73,lookahead == '#',38c19b89ce1b2fd3
r,ts_lex,4,ADVANCE,70,lookahead == '\'',21a09e9b16c7d1af
r,ts_lex,4,ADVANCE,9,lookahead == '\\',e3a7db2e2f9a375e
r,ts_lex,4,ADVANCE,72,('\t' <= lookahead && lookahead <= '\r') || lookahead == ' ',1f8ddc7342cd63b6
r,ts_lex,4,ADVANCE,74,lookahead != 0,f17dad6061ff6bc7
r,ts_lex,5,ADVANCE,54,lookahead == '%',4cd4184f6936146a
r,ts_lex,5,ADVANCE,5,lookahead != 0 && lookahead != '\n' && lookahead != '\\',d42655c1da93b6fb
r,ts_lex,6,ADVANCE,36,lookahead == '-',092230c69dc29ffc
r,ts_lex,7,ADVANCE,63,lookahead == '.',6bbce737356f8bbd
r,ts_lex,7,ADVANCE,62,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f'),411c4d2f212957ef
r,ts_lex,8,ADVANCE,49,lookahead == '=',1b33f162b46f2f5f
r,ts_lex,9,ADVANCE,11,lookahead == 'U',4d7bf8e6087cb43b
r,ts_lex,9,ADVANCE,12,lookahead == 'u',535ae93c2fd2defa
r,ts_lex,9,ADVANCE,24,lookahead == 'x',86fff441cc93570e
r,ts_lex,9,ADVANCE,80,('0' <= lookahead && lookahead <= '7'),ef2b1dca36f0e0ac
r,ts_lex,9,ADVANCE,78,lookahead != 0 && (lookahead < '0' || '9' < lookahead),c0e0abebca1972b3
r,ts_lex,10,ADVANCE,26,lookahead == '\\',e3a7db2e2f9a375e
r,ts_lex,10,ADVANCE,90,lookahead == '`',128d00c3f8384046
r,ts_lex,10,ADVANCE,10,lookahead != 0,f17dad6061ff6bc7
r,ts_lex,11,ADVANCE,23,lookahead == '{',7a9fa7e45b0a8f3e
r,ts_lex,11,ADVANCE,87,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f'),411c4d2f212957ef
r,ts_lex,12,ADVANCE,25,lookahead == '{',7a9fa7e45b0a8f3e
r,ts_lex,12,ADVANCE,83,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f'),411c4d2f212957ef
r,ts_lex,13,ADVANCE,78,lookahead == '}',c76e6de4a8f7fee1
r,ts_lex,14,ADVANCE,78,lookahead == '}',c76e6de4a8f7fee1
r,ts_lex,14,ADVANCE,13,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f'),411c4d2f212957ef
r,ts_lex,15,ADVANCE,78,lookahead == '}',c76e6de4a8f7fee1
r,ts_lex,15,ADVANCE,14,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f'),411c4d2f212957ef
r,ts_lex,16,ADVANCE,78,lookahead == '}',c76e6de4a8f7fee1
r,ts_lex,16,ADVANCE,15,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f'),411c4d2f212957ef
r,ts_lex,17,ADVANCE,78,lookahead == '}',c76e6de4a8f7fee1
r,ts_lex,17,ADVANCE,16,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f'),411c4d2f212957ef
r,ts_lex,18,ADVANCE,78,lookahead == '}',c76e6de4a8f7fee1
r,ts_lex,18,ADVANCE,17,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f'),411c4d2f212957ef
r,ts_lex,19,ADVANCE,78,lookahead == '}',c76e6de4a8f7fee1
r,ts_lex,19,ADVANCE,18,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f'),411c4d2f212957ef
r,ts_lex,20,ADVANCE,78,lookahead == '}',c76e6de4a8f7fee1
r,ts_lex,20,ADVANCE,19,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f'),411c4d2f212957ef
r,ts_lex,21,ADVANCE,22,lookahead == '+' || lookahead == '-',5f9a0df90d8ac33b
