language,parse_state,primary_state
r,0,0
r,1,1
r,2,2
r,3,3
r,4,4
r,5,3
r,6,6
r,7,2
r,8,6
r,9,4
r,10,3
r,11,2
r,12,6
r,13,4
r,14,3
r,15,2
r,16,6
r,17,4
r,18,18
r,19,19
r,20,20
r,21,21
r,22,22
r,23,23
r,24,24
r,25,25
r,26,26
r,27,27
r,28,28
r,29,29
r,30,30
r,31,31
r,32,32
r,33,33
r,34,34
r,35,35
r,36,36
r,37,37
r,38,38
r,39,39
r,40,40
r,41,41
r,42,42
r,43,43
r,44,44
r,45,45
r,46,46
r,47,47
r,48,48
r,49,49
r,50,50
r,51,51
r,52,52
r,53,53
r,54,54
r,55,55
r,56,56
r,57,57
r,58,58
r,59,59
r,60,60
r,61,61
r,62,62
r,63,63
r,64,64
r,65,65
r,66,66
r,67,67
r,68,68
r,69,69
r,70,70
r,71,71
r,72,72
r,73,19
r,74,20
r,75,21
r,76,22
r,77,23
r,78,24
r,79,25
r,80,26
r,81,27
r,82,28
r,83,29
r,84,30
r,85,31
r,86,32
r,87,18
r,88,88
r,89,33
r,90,34
r,91,35
r,92,36
r,93,37
r,94,38
r,95,39
r,96,40
r,97,41
r,98,42
r,99,43
r,100,44
r,101,45
r,102,46
r,103,47
r,104,48
r,105,49
r,106,50
r,107,51
r,108,52
r,109,53
r,110,54
r,111,55
r,112,56
r,113,57
r,114,58
r,115,59
r,116,60
r,117,61
r,118,62
r,119,63
r,120,64
r,121,65
r,122,66
r,123,67
r,124,68
r,125,69
r,126,70
r,127,71
r,128,72
r,129,88
r,130,27
r,131,28
r,132,29
r,133,133
r,134,30
r,135,31
r,136,32
r,137,18
r,138,88
r,139,33
r,140,34
r,141,35
r,142,24
r,143,36
r,144,37
r,145,38
r,146,39
r,147,40
r,148,41
r,149,42
r,150,43
r,151,44
r,152,152
r,153,45
r,154,46
r,155,47
r,156,48
r,157,49
r,158,50
r,159,51
r,160,52
r,161,53
r,162,54
r,163,55
r,164,56
r,165,57
r,166,58
r,167,59
r,168,60
r,169,61
r,170,62
r,171,63
r,172,64
r,173,65
r,174,66
r,175,67
r,176,68
r,177,69
r,178,70
r,179,71
r,180,72
r,181,19
r,182,20
r,183,21
r,184,22
r,185,23
r,186,24
r,187,25
r,188,26
r,189,189
r,190,27
r,191,28
r,192,29
r,193,30
r,194,31
r,195,32
r,196,18
r,197,88
r,198,33
r,199,34
r,200,35
r,201,36
r,202,37
r,203,38
r,204,39
r,205,40
r,206,41
r,207,42
r,208,43
r,209,44
r,210,152
r,211,45
r,212,46
r,213,47
r,214,48
r,215,49
r,216,50
r,217,51
r,218,52
r,219,53
r,220,54
r,221,55
r,222,56
r,223,57
r,224,58
r,225,225
r,226,59
r,227,60
r,228,61
r,229,62
r,230,63
r,231,64
r,232,65
r,233,66
r,234,67
r,235,68
r,236,69
r,237,70
r,238,71
r,239,72
r,240,19
r,241,25
r,242,26
r,243,20
r,244,21
r,245,22
r,246,23
r,247,133
r,248,248
r,249,152
r,250,152
r,251,251
r,252,252
r,253,133
r,254,254
r,255,251
r,256,133
r,257,252
r,258,254
r,259,248
r,260,251
r,261,248
r,262,248
