true_parser_kernel_class,member_count,languages,constructs,implementation_classes
TPK_00f087eddd69b151,2,c;cpp,Finally,IMPL_e72e7955b098
TPK_012889a00346ffde,1,csharp,Range,IMPL_fad789c7b068
TPK_01d65720d94102cd,1,csharp,ForeignFFI,IMPL_54a78cc622db
TPK_037b06565a21bf5b,1,kotlin,VariableDeclaration,IMPL_02fbdf0d1dcb
TPK_053d771dd899887f,1,cpp,MacroPreprocessor,IMPL_fbf83b6e52a3
TPK_0652c76e222200f8,1,cpp,StructRecord,IMPL_4ef13b7bc45b
TPK_06b6d93523206cf7,1,csharp,Call,IMPL_62fd00586e3f
TPK_07af111ebe668d53,1,go,DeferCleanup,IMPL_9ef86f313d53
TPK_08940e3d7cf49d32,1,c,AnnotationAttribute,IMPL_dc28d4a4f7da
TPK_08fe35c641a78159,1,python,Finally,IMPL_e72e7955b098
TPK_09297083a830e142,1,cpp,Await,IMPL_23ca78757ab5
TPK_0aa5e30c04a0c6ac,1,csharp,Return,IMPL_603c55c6f56b
TPK_0ab56ff609ae22b5,1,nim,FunctionDeclaration,IMPL_4ac002efe842
TPK_0afa3ad51a009bd4,1,csharp,Parameter,IMPL_93f1b5dcf759
TPK_0b7cd556e2d24a35,1,kotlin,VisibilityModifier,IMPL_9a9e3f3a9ae7
TPK_0cc8ff394ce2b4eb,1,go,AggregateCollection,IMPL_6521a7e37bbf
TPK_0cd65e0dfa0eed96,1,go,Index,IMPL_bf593514388e
TPK_117adb453df194bd,1,cpp,GenericParameter,IMPL_780703a41fd7
TPK_1240181ac0f4427e,1,csharp,GenericParameter,IMPL_780703a41fd7
TPK_12502da9bd84b095,1,zig,Index,IMPL_bf593514388e
TPK_127b41bafeef7e2b,1,cpp,PointerReference,IMPL_f114c6eb76b3
TPK_1338d0660ee91618,3,c;cpp;r,IfConditional,IMPL_a2c0df54f6bd
TPK_13b33f573e357f0e,1,julia,Return,IMPL_603c55c6f56b
TPK_142a745d226f1585,1,c,ForLoop,IMPL_3c262e5a6671
TPK_1465d1afb501323f,1,r,Literal,IMPL_980f8398de6d
TPK_1466b2a40a12bfb6,1,java,CatchExcept,IMPL_2b9a5e8f7f5e
TPK_1487d6f72d543546,1,java,PatternDestructuring,IMPL_a0c603fee064
TPK_14de8132ab702f9d,1,rust,InterfaceTraitProtocol,IMPL_12d2cff6f289
TPK_1725ca3acd3eae97,1,csharp,SwitchMatchWhen,IMPL_56493f2e14c6
TPK_18509c09003da792,1,julia,ClosureLambda,IMPL_2fd52411c6e6
TPK_19560f7545e486fb,1,julia,Tuple,IMPL_00b2b59dbd2a
TPK_1b5882c7b78436fd,1,csharp,WhileLoop,IMPL_88fb7315dedd
TPK_1b792295e3dd39cd,1,julia,ModuleNamespace,IMPL_b43af1291396
TPK_1bb3526d30a503a9,1,python,AggregateCollection,IMPL_6521a7e37bbf
TPK_1c0d4d64ff84cabe,1,rust,Return,IMPL_603c55c6f56b
TPK_1c1d8279baf4b5e6,1,c,Index,IMPL_bf593514388e
TPK_1d65538d8335372a,1,nim,MacroPreprocessor,IMPL_fbf83b6e52a3
TPK_1d99bf2ebd3f8582,1,cpp,FunctionDeclaration,IMPL_4ac002efe842
TPK_1e37138cf19adb6f,1,rust,Continue,IMPL_44d79a6eef4e
TPK_1f69fab4203aa76a,1,csharp,ImportUse,IMPL_add64281873a
TPK_1fbc127eef960b77,1,zig,EnumVariant,IMPL_b4c7e0017532
TPK_204af2f7825b3475,1,kotlin,GenericParameter,IMPL_780703a41fd7
TPK_21e5cbf59878d27c,1,csharp,IfConditional,IMPL_a2c0df54f6bd
TPK_21fe93b96738d9fe,1,c,PointerReference,IMPL_f114c6eb76b3
TPK_227b3b226bdb4cd3,1,python,Break,IMPL_e2af9920d7c3
TPK_22d524574bb18ad3,1,rust,AnnotationAttribute,IMPL_dc28d4a4f7da
TPK_22da06ceb214e5a4,1,csharp,Class,IMPL_9e4e11710d3d
TPK_22dc02195c262d35,1,cpp,TypeAlias,IMPL_610b3b80bebb
TPK_2383dd8786571cd0,1,nim,DeferCleanup,IMPL_9ef86f313d53
TPK_24f256351b93de8e,1,csharp,TypeAssertTest,IMPL_4efc4b747e5c
TPK_250a4992c35deb9d,1,rust,Try,IMPL_2b9a5e8f7f5e
TPK_2539d45b0b120701,1,python,ClosureLambda,IMPL_2fd52411c6e6
TPK_2610b46849ab69e4,1,python,OperatorExpression,IMPL_daa19205d047
