"language","lexer_function","lex_state","transition_ordinal","transition_kind","target_lex_state","predicate_id","map_codepoint","source_guard_hash"
"c","ts_lex","0","0","ADVANCE","121","p_82f4a559b7e6a94c8695","","22988607ff895660"
"c","ts_lex","0","1","ADVANCE","188","p_96b652ea349e0e22be21","33","c0a73791fbdfbd5b"
"c","ts_lex","0","2","ADVANCE","287","p_1e5055b0fade8a804d20","34","c0a73791fbdfbd5b"
"c","ts_lex","0","3","ADVANCE","75","p_cf339ee67902d79d551b","35","c0a73791fbdfbd5b"
"c","ts_lex","0","4","ADVANCE","205","p_0e7dfd40a5eb02128d68","37","c0a73791fbdfbd5b"
"c","ts_lex","0","5","ADVANCE","214","p_2e8495cff48810e1b08c","38","c0a73791fbdfbd5b"
"c","ts_lex","0","6","ADVANCE","278","p_2a813b846de906c74850","39","c0a73791fbdfbd5b"
"c","ts_lex","0","7","ADVANCE","125","p_86c473d2c48f84006fd8","40","c0a73791fbdfbd5b"
"c","ts_lex","0","8","ADVANCE","128","p_0729fad0d11ad52d3501","41","c0a73791fbdfbd5b"
"c","ts_lex","0","9","ADVANCE","201","p_d47c8b81fcb85a93840d","42","c0a73791fbdfbd5b"
"c","ts_lex","0","10","ADVANCE","196","p_360c878e72d4394c09d3","43","c0a73791fbdfbd5b"
"c","ts_lex","0","11","ADVANCE","127","p_6b4c9152b68a091e6e64","44","c0a73791fbdfbd5b"
"c","ts_lex","0","12","ADVANCE","191","p_9a22cf9d9445fc85edac","45","c0a73791fbdfbd5b"
"c","ts_lex","0","13","ADVANCE","254","p_07b969f7126ee03cbc52","46","c0a73791fbdfbd5b"
"c","ts_lex","0","14","ADVANCE","203","p_2706c36b12ca5f250c46","47","c0a73791fbdfbd5b"
"c","ts_lex","0","15","ADVANCE","260","p_0bdabd7d3957ab59f368","48","c0a73791fbdfbd5b"
"c","ts_lex","0","16","ADVANCE","238","p_ca0b62d16f372e9057bd","58","c0a73791fbdfbd5b"
"c","ts_lex","0","17","ADVANCE","227","p_aa81444467645f1a1377","59","c0a73791fbdfbd5b"
"c","ts_lex","0","18","ADVANCE","221","p_f226dbb4402e72b7642b","60","c0a73791fbdfbd5b"
"c","ts_lex","0","19","ADVANCE","237","p_b726dc9f92888df0758d","61","c0a73791fbdfbd5b"
"c","ts_lex","0","20","ADVANCE","217","p_b6983a73bbd271d99c8d","62","c0a73791fbdfbd5b"
"c","ts_lex","0","21","ADVANCE","239","p_1b78153435201074d5bb","63","c0a73791fbdfbd5b"
"c","ts_lex","0","22","ADVANCE","302","p_b1d5e88a1bbf41a0ddad","76","c0a73791fbdfbd5b"
