language,parse_state,symbol_id,symbol_name,symbol_kind,dispatch_kind,next_state,action_list_id,table_kind
rust,0,314,sym_line_comment,nonterminal,STATE,0,,large
rust,0,318,sym_block_comment,nonterminal,STATE,0,,large
rust,0,0,ts_builtin_sym_end,terminal,ACTION,,1,large
rust,0,1,sym_identifier,terminal,ACTION,,1,large
rust,0,2,anon_sym_SEMI,terminal,ACTION,,1,large
rust,0,3,anon_sym_macro_rules_BANG,terminal,ACTION,,1,large
rust,0,4,anon_sym_LPAREN,terminal,ACTION,,1,large
rust,0,5,anon_sym_RPAREN,terminal,ACTION,,1,large
rust,0,6,anon_sym_LBRACK,terminal,ACTION,,1,large
rust,0,7,anon_sym_RBRACK,terminal,ACTION,,1,large
rust,0,8,anon_sym_LBRACE,terminal,ACTION,,1,large
rust,0,9,anon_sym_RBRACE,terminal,ACTION,,1,large
rust,0,10,anon_sym_EQ_GT,terminal,ACTION,,1,large
rust,0,11,anon_sym_COLON,terminal,ACTION,,1,large
rust,0,12,anon_sym_DOLLAR,terminal,ACTION,,1,large
rust,0,14,anon_sym_PLUS,terminal,ACTION,,1,large
rust,0,15,anon_sym_STAR,terminal,ACTION,,1,large
rust,0,16,anon_sym_QMARK,terminal,ACTION,,1,large
rust,0,17,anon_sym_block,terminal,ACTION,,1,large
rust,0,18,anon_sym_expr,terminal,ACTION,,1,large
rust,0,19,anon_sym_expr_2021,terminal,ACTION,,1,large
rust,0,20,anon_sym_ident,terminal,ACTION,,1,large
rust,0,21,anon_sym_item,terminal,ACTION,,1,large
rust,0,22,anon_sym_lifetime,terminal,ACTION,,1,large
rust,0,23,anon_sym_literal,terminal,ACTION,,1,large
rust,0,24,anon_sym_meta,terminal,ACTION,,1,large
rust,0,25,anon_sym_pat,terminal,ACTION,,1,large
rust,0,26,anon_sym_pat_param,terminal,ACTION,,1,large
rust,0,27,anon_sym_path,terminal,ACTION,,1,large
rust,0,28,anon_sym_stmt,terminal,ACTION,,1,large
rust,0,29,anon_sym_tt,terminal,ACTION,,1,large
rust,0,30,anon_sym_ty,terminal,ACTION,,1,large
rust,0,31,anon_sym_vis,terminal,ACTION,,1,large
rust,0,32,anon_sym_u8,terminal,ACTION,,1,large
rust,0,33,anon_sym_i8,terminal,ACTION,,1,large
rust,0,34,anon_sym_u16,terminal,ACTION,,1,large
rust,0,35,anon_sym_i16,terminal,ACTION,,1,large
rust,0,36,anon_sym_u32,terminal,ACTION,,1,large
rust,0,37,anon_sym_i32,terminal,ACTION,,1,large
rust,0,38,anon_sym_u64,terminal,ACTION,,1,large
rust,0,39,anon_sym_i64,terminal,ACTION,,1,large
rust,0,40,anon_sym_u128,terminal,ACTION,,1,large
rust,0,41,anon_sym_i128,terminal,ACTION,,1,large
rust,0,42,anon_sym_isize,terminal,ACTION,,1,large
rust,0,43,anon_sym_usize,terminal,ACTION,,1,large
rust,0,44,anon_sym_f32,terminal,ACTION,,1,large
rust,0,45,anon_sym_f64,terminal,ACTION,,1,large
rust,0,46,anon_sym_bool,terminal,ACTION,,1,large
rust,0,47,anon_sym_str,terminal,ACTION,,1,large
rust,0,48,anon_sym_char,terminal,ACTION,,1,large
rust,0,49,anon_sym_DASH,terminal,ACTION,,1,large
rust,0,50,anon_sym_SLASH,terminal,ACTION,,1,large
rust,0,51,anon_sym_PERCENT,terminal,ACTION,,1,large
rust,0,52,anon_sym_CARET,terminal,ACTION,,1,large
rust,0,53,anon_sym_BANG,terminal,ACTION,,1,large
rust,0,54,anon_sym_AMP,terminal,ACTION,,1,large
rust,0,55,anon_sym_PIPE,terminal,ACTION,,1,large
rust,0,56,anon_sym_AMP_AMP,terminal,ACTION,,1,large
rust,0,57,anon_sym_PIPE_PIPE,terminal,ACTION,,1,large
rust,0,58,anon_sym_LT_LT,terminal,ACTION,,1,large
rust,0,59,anon_sym_GT_GT,terminal,ACTION,,1,large
rust,0,60,anon_sym_PLUS_EQ,terminal,ACTION,,1,large
rust,0,61,anon_sym_DASH_EQ,terminal,ACTION,,1,large
rust,0,62,anon_sym_STAR_EQ,terminal,ACTION,,1,large
rust,0,63,anon_sym_SLASH_EQ,terminal,ACTION,,1,large
rust,0,64,anon_sym_PERCENT_EQ,terminal,ACTION,,1,large
rust,0,65,anon_sym_CARET_EQ,terminal,ACTION,,1,large
rust,0,66,anon_sym_AMP_EQ,terminal,ACTION,,1,large
rust,0,67,anon_sym_PIPE_EQ,terminal,ACTION,,1,large
rust,0,68,anon_sym_LT_LT_EQ,terminal,ACTION,,1,large
rust,0,69,anon_sym_GT_GT_EQ,terminal,ACTION,,1,large
rust,0,70,anon_sym_EQ,terminal,ACTION,,1,large
rust,0,71,anon_sym_EQ_EQ,terminal,ACTION,,1,large
rust,0,72,anon_sym_BANG_EQ,terminal,ACTION,,1,large
rust,0,73,anon_sym_GT,terminal,ACTION,,1,large
rust,0,74,anon_sym_LT,terminal,ACTION,,1,large
rust,0,75,anon_sym_GT_EQ,terminal,ACTION,,1,large
rust,0,76,anon_sym_LT_EQ,terminal,ACTION,,1,large
rust,0,77,anon_sym_AT,terminal,ACTION,,1,large
