language,parse_state,symbol_id,symbol_name,symbol_kind,dispatch_kind,next_state,action_list_id,table_kind
r,0,0,ts_builtin_sym_end,terminal,ACTION,,1,large
r,0,1,sym_identifier,terminal,ACTION,,1,large
r,0,2,anon_sym_BSLASH,terminal,ACTION,,1,large
r,0,3,anon_sym_function,terminal,ACTION,,1,large
r,0,4,anon_sym_EQ,terminal,ACTION,,1,large
r,0,5,anon_sym_if,terminal,ACTION,,1,large
r,0,6,anon_sym_for,terminal,ACTION,,1,large
r,0,7,anon_sym_in,terminal,ACTION,,1,large
r,0,8,anon_sym_while,terminal,ACTION,,1,large
r,0,9,anon_sym_repeat,terminal,ACTION,,1,large
r,0,10,anon_sym_QMARK,terminal,ACTION,,1,large
r,0,11,anon_sym_TILDE,terminal,ACTION,,1,large
r,0,12,anon_sym_BANG,terminal,ACTION,,1,large
r,0,13,anon_sym_PLUS,terminal,ACTION,,1,large
r,0,14,anon_sym_DASH,terminal,ACTION,,1,large
r,0,15,anon_sym_LT_DASH,terminal,ACTION,,1,large
r,0,16,anon_sym_LT_LT_DASH,terminal,ACTION,,1,large
r,0,17,anon_sym_COLON_EQ,terminal,ACTION,,1,large
r,0,18,anon_sym_DASH_GT,terminal,ACTION,,1,large
r,0,19,anon_sym_DASH_GT_GT,terminal,ACTION,,1,large
r,0,20,anon_sym_PIPE,terminal,ACTION,,1,large
r,0,21,anon_sym_AMP,terminal,ACTION,,1,large
r,0,22,anon_sym_PIPE_PIPE,terminal,ACTION,,1,large
r,0,23,anon_sym_AMP_AMP,terminal,ACTION,,1,large
r,0,24,anon_sym_LT,terminal,ACTION,,1,large
r,0,25,anon_sym_LT_EQ,terminal,ACTION,,1,large
r,0,26,anon_sym_GT,terminal,ACTION,,1,large
r,0,27,anon_sym_GT_EQ,terminal,ACTION,,1,large
r,0,28,anon_sym_EQ_EQ,terminal,ACTION,,1,large
r,0,29,anon_sym_BANG_EQ,terminal,ACTION,,1,large
r,0,30,anon_sym_STAR,terminal,ACTION,,1,large
r,0,31,anon_sym_SLASH,terminal,ACTION,,1,large
r,0,32,anon_sym_STAR_STAR,terminal,ACTION,,1,large
r,0,33,anon_sym_CARET,terminal,ACTION,,1,large
r,0,34,aux_sym_binary_operator_token1,terminal,ACTION,,1,large
r,0,35,anon_sym_PIPE_GT,terminal,ACTION,,1,large
r,0,36,anon_sym_COLON,terminal,ACTION,,1,large
r,0,37,anon_sym_DOLLAR,terminal,ACTION,,1,large
r,0,38,anon_sym_AT,terminal,ACTION,,1,large
r,0,39,anon_sym_COLON_COLON,terminal,ACTION,,1,large
r,0,40,anon_sym_COLON_COLON_COLON,terminal,ACTION,,1,large
r,0,41,anon_sym_L,terminal,ACTION,,1,large
r,0,42,anon_sym_i,terminal,ACTION,,1,large
r,0,43,sym__hex_literal,terminal,ACTION,,1,large
r,0,44,sym__number_literal,terminal,ACTION,,1,large
r,0,45,anon_sym_SQUOTE,terminal,ACTION,,1,large
r,0,46,anon_sym_DQUOTE,terminal,ACTION,,1,large
r,0,50,sym_dots,terminal,ACTION,,1,large
r,0,51,sym_dot_dot_i,terminal,ACTION,,1,large
r,0,52,sym_next,terminal,ACTION,,1,large
r,0,53,sym_break,terminal,ACTION,,1,large
r,0,54,sym_true,terminal,ACTION,,1,large
r,0,55,sym_false,terminal,ACTION,,1,large
r,0,56,sym_null,terminal,ACTION,,1,large
r,0,57,sym_inf,terminal,ACTION,,1,large
r,0,58,sym_nan,terminal,ACTION,,1,large
r,0,59,anon_sym_NA,terminal,ACTION,,1,large
r,0,60,anon_sym_NA_integer_,terminal,ACTION,,1,large
r,0,61,anon_sym_NA_real_,terminal,ACTION,,1,large
r,0,62,anon_sym_NA_complex_,terminal,ACTION,,1,large
r,0,63,anon_sym_NA_character_,terminal,ACTION,,1,large
r,0,64,sym_comment,terminal,ACTION,,3,large
r,0,65,sym_comma,terminal,ACTION,,1,large
r,0,66,sym__start,terminal,ACTION,,1,large
r,0,67,sym__newline,terminal,ACTION,,1,large
r,0,68,sym__semicolon,terminal,ACTION,,1,large
r,0,69,sym__raw_string_open,terminal,ACTION,,1,large
r,0,70,sym__raw_string_content,terminal,ACTION,,1,large
r,0,71,sym__raw_string_close,terminal,ACTION,,1,large
r,0,72,sym__external_else,terminal,ACTION,,1,large
r,0,73,sym__external_open_parenthesis,terminal,ACTION,,1,large
r,0,74,sym__external_close_parenthesis,terminal,ACTION,,1,large
r,0,75,sym__external_open_brace,terminal,ACTION,,1,large
r,0,76,sym__external_close_brace,terminal,ACTION,,1,large
r,0,77,sym__external_open_bracket,terminal,ACTION,,1,large
r,0,78,sym__external_close_bracket,terminal,ACTION,,1,large
r,0,79,sym__external_open_bracket2,terminal,ACTION,,1,large
r,0,80,sym__external_close_bracket2,terminal,ACTION,,1,large
r,0,81,sym__error_sentinel,terminal,ACTION,,1,large
r,1,82,sym_program,nonterminal,STATE,2098,,large
r,1,64,sym_comment,terminal,ACTION,,3,large
r,1,66,sym__start,terminal,ACTION,,5,large
r,2,98,sym_call_arguments,nonterminal,STATE,374,,large
r,2,99,sym_subset_arguments,nonterminal,STATE,375,,large
r,2,100,sym_subset2_arguments,nonterminal,STATE,376,,large
r,2,122,sym__else,nonterminal,STATE,510,,large
r,2,123,sym__open_parenthesis,nonterminal,STATE,271,,large
r,2,127,sym__open_bracket,nonterminal,STATE,272,,large
r,2,129,sym__open_bracket2,nonterminal,STATE,273,,large
r,2,0,ts_builtin_sym_end,terminal,ACTION,,7,large
r,2,1,sym_identifier,terminal,ACTION,,9,large
r,2,2,anon_sym_BSLASH,terminal,ACTION,,7,large
r,2,3,anon_sym_function,terminal,ACTION,,9,large
r,2,4,anon_sym_EQ,terminal,ACTION,,11,large
r,2,5,anon_sym_if,terminal,ACTION,,9,large
r,2,6,anon_sym_for,terminal,ACTION,,9,large
r,2,8,anon_sym_while,terminal,ACTION,,9,large
r,2,9,anon_sym_repeat,terminal,ACTION,,9,large
r,2,10,anon_sym_QMARK,terminal,ACTION,,7,large
r,2,11,anon_sym_TILDE,terminal,ACTION,,13,large
r,2,12,anon_sym_BANG,terminal,ACTION,,9,large
r,2,13,anon_sym_PLUS,terminal,ACTION,,15,large
r,2,14,anon_sym_DASH,terminal,ACTION,,17,large
r,2,15,anon_sym_LT_DASH,terminal,ACTION,,19,large
r,2,16,anon_sym_LT_LT_DASH,terminal,ACTION,,19,large
r,2,17,anon_sym_COLON_EQ,terminal,ACTION,,19,large
r,2,18,anon_sym_DASH_GT,terminal,ACTION,,21,large
r,2,19,anon_sym_DASH_GT_GT,terminal,ACTION,,23,large
r,2,20,anon_sym_PIPE,terminal,ACTION,,25,large
r,2,21,anon_sym_AMP,terminal,ACTION,,27,large
r,2,22,anon_sym_PIPE_PIPE,terminal,ACTION,,29,large
r,2,23,anon_sym_AMP_AMP,terminal,ACTION,,31,large
r,2,24,anon_sym_LT,terminal,ACTION,,33,large
r,2,25,anon_sym_LT_EQ,terminal,ACTION,,35,large
r,2,26,anon_sym_GT,terminal,ACTION,,33,large
r,2,27,anon_sym_GT_EQ,terminal,ACTION,,35,large
r,2,28,anon_sym_EQ_EQ,terminal,ACTION,,35,large
r,2,29,anon_sym_BANG_EQ,terminal,ACTION,,35,large
r,2,30,anon_sym_STAR,terminal,ACTION,,37,large
r,2,31,anon_sym_SLASH,terminal,ACTION,,39,large
r,2,32,anon_sym_STAR_STAR,terminal,ACTION,,41,large
r,2,33,anon_sym_CARET,terminal,ACTION,,41,large
r,2,34,aux_sym_binary_operator_token1,terminal,ACTION,,43,large
r,2,35,anon_sym_PIPE_GT,terminal,ACTION,,43,large
r,2,36,anon_sym_COLON,terminal,ACTION,,45,large
r,2,37,anon_sym_DOLLAR,terminal,ACTION,,47,large
r,2,38,anon_sym_AT,terminal,ACTION,,47,large
r,2,43,sym__hex_literal,terminal,ACTION,,7,large
r,2,44,sym__number_literal,terminal,ACTION,,9,large
r,2,45,anon_sym_SQUOTE,terminal,ACTION,,7,large
r,2,46,anon_sym_DQUOTE,terminal,ACTION,,7,large
r,2,50,sym_dots,terminal,ACTION,,9,large
r,2,51,sym_dot_dot_i,terminal,ACTION,,9,large
r,2,52,sym_next,terminal,ACTION,,9,large
r,2,53,sym_break,terminal,ACTION,,9,large
r,2,54,sym_true,terminal,ACTION,,9,large
r,2,55,sym_false,terminal,ACTION,,9,large
r,2,56,sym_null,terminal,ACTION,,9,large
r,2,57,sym_inf,terminal,ACTION,,9,large
r,2,58,sym_nan,terminal,ACTION,,9,large
r,2,59,anon_sym_NA,terminal,ACTION,,9,large
r,2,60,anon_sym_NA_integer_,terminal,ACTION,,9,large
r,2,61,anon_sym_NA_real_,terminal,ACTION,,9,large
r,2,62,anon_sym_NA_complex_,terminal,ACTION,,9,large
r,2,63,anon_sym_NA_character_,terminal,ACTION,,9,large
r,2,64,sym_comment,terminal,ACTION,,3,large
r,2,67,sym__newline,terminal,ACTION,,7,large
r,2,68,sym__semicolon,terminal,ACTION,,7,large
r,2,69,sym__raw_string_open,terminal,ACTION,,7,large
r,2,72,sym__external_else,terminal,ACTION,,49,large
r,2,73,sym__external_open_parenthesis,terminal,ACTION,,51,large
r,2,75,sym__external_open_brace,terminal,ACTION,,7,large
r,2,77,sym__external_open_bracket,terminal,ACTION,,53,large
r,2,79,sym__external_open_bracket2,terminal,ACTION,,55,large
r,3,98,sym_call_arguments,nonterminal,STATE,402,,large
r,3,99,sym_subset_arguments,nonterminal,STATE,403,,large
r,3,100,sym_subset2_arguments,nonterminal,STATE,371,,large
r,3,122,sym__else,nonterminal,STATE,833,,large
r,3,123,sym__open_parenthesis,nonterminal,STATE,276,,large
r,3,127,sym__open_bracket,nonterminal,STATE,277,,large
r,3,129,sym__open_bracket2,nonterminal,STATE,278,,large
r,3,1,sym_identifier,terminal,ACTION,,57,large
r,3,2,anon_sym_BSLASH,terminal,ACTION,,59,large
r,3,3,anon_sym_function,terminal,ACTION,,57,large
r,3,4,anon_sym_EQ,terminal,ACTION,,61,large
r,3,5,anon_sym_if,terminal,ACTION,,57,large
r,3,6,anon_sym_for,terminal,ACTION,,57,large
r,3,8,anon_sym_while,terminal,ACTION,,57,large
r,3,9,anon_sym_repeat,terminal,ACTION,,57,large
r,3,10,anon_sym_QMARK,terminal,ACTION,,59,large
