language,parse_state,symbol_id,symbol_name,symbol_kind,dispatch_kind,next_state,action_list_id,table_kind
swift,0,0,ts_builtin_sym_end,terminal,ACTION,,1,large
swift,0,1,anon_sym_BANG,terminal,ACTION,,1,large
swift,0,3,sym_comment,nonterminal,ACTION,,3,large
swift,0,5,aux_sym_simple_identifier_token2,nonterminal,ACTION,,1,large
swift,0,6,aux_sym_simple_identifier_token3,nonterminal,ACTION,,1,large
swift,0,7,aux_sym_simple_identifier_token4,nonterminal,ACTION,,1,large
swift,0,8,anon_sym_actor,terminal,ACTION,,1,large
swift,0,9,anon_sym_async,terminal,ACTION,,1,large
swift,0,10,anon_sym_consume,terminal,ACTION,,1,large
swift,0,11,anon_sym_discard,terminal,ACTION,,1,large
swift,0,12,anon_sym_each,terminal,ACTION,,1,large
swift,0,13,anon_sym_lazy,terminal,ACTION,,1,large
swift,0,14,anon_sym_repeat,terminal,ACTION,,1,large
swift,0,15,anon_sym_package,terminal,ACTION,,1,large
swift,0,16,sym_real_literal,nonterminal,ACTION,,1,large
swift,0,17,sym_integer_literal,nonterminal,ACTION,,1,large
swift,0,18,sym_hex_literal,nonterminal,ACTION,,1,large
swift,0,19,sym_oct_literal,nonterminal,ACTION,,1,large
swift,0,20,sym_bin_literal,nonterminal,ACTION,,1,large
swift,0,21,anon_sym_true,terminal,ACTION,,1,large
swift,0,22,anon_sym_false,terminal,ACTION,,1,large
swift,0,23,sym_nil_literal,nonterminal,ACTION,,1,large
swift,0,24,anon_sym_DQUOTE,terminal,ACTION,,1,large
swift,0,26,anon_sym_BSLASH,terminal,ACTION,,1,large
swift,0,27,anon_sym_u,terminal,ACTION,,1,large
swift,0,29,anon_sym_DQUOTE_DQUOTE_DQUOTE,terminal,ACTION,,1,large
swift,0,30,anon_sym_RPAREN,terminal,ACTION,,1,large
swift,0,32,anon_sym_BSLASH_LPAREN,terminal,ACTION,,1,large
swift,0,33,anon_sym_COMMA,terminal,ACTION,,1,large
swift,0,34,sym__escaped_identifier,nonterminal,ACTION,,1,large
