language,production_id,field_map_entry_count,alias_entry_count
r,0,0,0
r,1,3,0
r,2,2,0
r,3,1,0
r,4,2,0
r,5,2,1
r,6,2,0
r,7,2,0
r,8,1,0
r,9,3,0
r,10,3,0
r,11,1,0
r,12,2,0
r,13,1,0
r,14,1,0
r,15,2,0
r,16,3,2
r,17,3,0
r,18,2,0
r,19,1,0
r,20,1,0
r,21,3,0
r,22,3,0
r,23,2,0
r,24,3,0
r,25,3,0
r,26,3,0
r,27,3,0
r,28,1,0
r,29,3,0
r,30,3,0
r,31,2,0
r,32,1,0
r,33,4,0
r,34,2,0
r,35,2,0
r,36,3,0
r,37,4,0
r,38,4,0
r,39,4,0
r,40,2,0
r,41,4,0
r,42,4,0
r,43,4,0
r,44,4,0
r,45,5,0
r,46,4,0
r,47,5,0
r,48,4,0
r,49,5,0
r,50,5,0
r,51,5,0
r,52,5,0
r,53,5,0
r,54,5,0
r,55,5,0
r,56,5,0
r,57,5,0
r,58,5,0
go,0,0,0
go,1,0,1
go,2,0,1
go,3,1,0
go,4,1,0
go,5,1,0
go,6,2,0
go,7,1,0
go,8,0,1
go,9,1,0
go,10,2,0
go,11,2,1
go,12,2,1
go,13,2,0
go,14,2,0
go,15,2,0
go,16,2,1
go,17,2,0
go,18,2,0
go,19,1,0
go,20,2,0
go,21,2,0
go,22,2,0
go,23,1,0
go,24,2,1
go,25,1,1
go,26,1,1
go,27,1,0
go,28,2,0
go,29,1,0
go,30,1,0
go,31,2,2
go,32,3,0
go,33,2,0
go,34,2,1
go,35,2,0
go,36,3,0
go,37,2,0
go,38,1,0
go,39,3,0
go,40,2,0
go,41,1,0
go,42,3,0
go,43,3,0
go,44,3,0
go,45,3,1
go,46,3,0
go,47,1,0
go,48,2,0
go,49,2,1
go,50,3,1
go,51,1,1
go,52,2,1
go,53,2,1
go,54,2,0
go,55,2,1
go,56,1,0
go,57,1,0
go,58,1,0
go,59,3,0
go,60,1,0
go,61,2,0
go,62,1,0
go,63,2,0
go,64,3,0
go,65,3,0
go,66,3,0
go,67,2,0
go,68,2,1
go,69,4,0
go,70,4,0
go,71,4,0
go,72,4,1
go,73,4,1
go,74,3,1
go,75,2,1
go,76,2,0
go,77,1,1
go,78,3,1
go,79,3,1
go,80,3,1
go,81,2,0
go,82,3,0
go,83,3,0
go,84,2,0
go,85,2,0
go,86,2,0
go,87,2,0
go,88,1,0
go,89,1,0
go,90,2,0
go,91,2,0
go,92,2,0
go,93,2,0
go,94,4,0
go,95,4,0
go,96,3,1
go,97,5,0
go,98,5,1
go,99,4,1
go,100,3,0
go,101,2,0
go,102,1,0
go,103,3,0
go,104,4,0
go,105,2,0
go,106,3,0
go,107,2,0
go,108,2,0
go,109,4,0
go,110,3,0
rust,0,0,0
rust,1,0,1
rust,2,1,0
rust,3,1,0
rust,4,1,0
rust,5,0,1
rust,6,1,0
rust,7,1,1
rust,8,1,0
rust,9,0,1
rust,10,2,1
rust,11,2,0
rust,12,2,0
rust,13,2,0
rust,14,3,0
rust,15,2,0
rust,16,2,1
rust,17,2,2
rust,18,1,0
rust,19,1,1
rust,20,1,1
rust,21,1,0
rust,22,2,1
rust,23,1,0
rust,24,2,1
rust,25,2,0
rust,26,1,0
rust,27,1,0
rust,28,1,1
rust,29,1,0
rust,30,2,1
rust,31,2,0
rust,32,2,0
rust,33,1,1
rust,34,2,1
rust,35,2,0
rust,36,1,1
rust,37,1,0
rust,38,2,0
rust,39,1,0
rust,40,2,0
rust,41,2,0
rust,42,1,0
rust,43,1,0
rust,44,1,0
rust,45,2,0
rust,46,1,0
rust,47,2,0
rust,48,2,1
rust,49,2,0
rust,50,2,1
rust,51,2,1
rust,52,2,2
rust,53,3,0
rust,54,2,0
rust,55,2,0
rust,56,2,1
rust,57,2,0
rust,58,2,0
rust,59,3,1
rust,60,1,1
rust,61,1,0
rust,62,2,2
rust,63,2,1
rust,64,1,0
rust,65,1,1
rust,66,1,1
rust,67,2,1
rust,68,1,0
rust,69,2,0
rust,70,1,1
rust,71,1,0
rust,72,1,0
rust,73,1,0
rust,74,2,0
rust,75,2,1
rust,76,2,0
rust,77,1,1
rust,78,1,0
rust,79,2,0
rust,80,2,1
rust,81,3,1
rust,82,2,0
rust,83,3,0
rust,84,3,0
rust,85,2,1
rust,86,2,0
rust,87,2,0
rust,88,3,0
rust,89,2,0
rust,90,1,0
rust,91,2,1
rust,92,3,1
rust,93,2,1
rust,94,2,0
rust,95,2,1
rust,96,2,1
rust,97,2,1
rust,98,2,0
rust,99,2,0
rust,100,1,0
rust,101,2,0
rust,102,1,1
rust,103,1,0
rust,104,3,0
rust,105,1,0
rust,106,1,0
rust,107,2,0
rust,108,1,1
rust,109,1,0
rust,110,2,0
rust,111,1,1
rust,112,1,0
rust,113,0,1
rust,114,3,1
rust,115,1,0
rust,116,3,0
rust,117,1,1
rust,118,3,0
rust,119,2,0
rust,120,2,0
rust,121,2,1
rust,122,3,1
rust,123,3,0
rust,124,4,0
rust,125,3,0
rust,126,3,0
rust,127,2,0
rust,128,2,1
rust,129,2,1
rust,130,3,1
rust,131,3,0
rust,132,2,0
rust,133,3,0
rust,134,2,0
rust,135,0,1
rust,136,2,0
rust,137,3,1
rust,138,4,1
rust,139,2,1
rust,140,3,1
rust,141,2,0
rust,142,3,0
rust,143,2,0
rust,144,2,1
rust,145,3,1
rust,146,3,1
rust,147,2,0
rust,148,2,1
rust,149,2,0
rust,150,3,0
rust,151,2,1
rust,152,2,1
rust,153,1,0
rust,154,2,0
rust,155,1,0
rust,156,2,1
rust,157,1,1
rust,158,2,1
rust,159,2,0
rust,160,1,0
rust,161,0,1
rust,162,2,0
