language,repository,commit,parser_c_url,status,parser_c_sha256,scanner_status,scanner_path,scanner_sha256
r,r-lib/tree-sitter-r,58a22794466c0fc15b0d3b40531db751593721e8,https://raw.githubusercontent.com/r-lib/tree-sitter-r/58a22794466c0fc15b0d3b40531db751593721e8/src/parser.c,downloaded,43ec2413de8aec823c76e6994991fe07d9877e019ab2e1892534a76ce81a0771,downloaded,raw_parser_c\r\scanner.c,e99e003ab8b0463dee975432b6f9f7e39cd75eb0047989f064fdf57927fa8e9d
go,tree-sitter/tree-sitter-go,2346a3ab1bb3857b48b29d779a1ef9799a248cd7,https://raw.githubusercontent.com/tree-sitter/tree-sitter-go/2346a3ab1bb3857b48b29d779a1ef9799a248cd7/src/parser.c,downloaded,3dbf6ed1238b5dfcf2be4d2f2d4cb27a14d34f34d7784eccccbfd532fd4a6d85,none,,
rust,tree-sitter/tree-sitter-rust,77a3747266f4d621d0757825e6b11edcbf991ca5,https://raw.githubusercontent.com/tree-sitter/tree-sitter-rust/77a3747266f4d621d0757825e6b11edcbf991ca5/src/parser.c,downloaded,9602518f9e57919910bf0e777e52f6bfc9325d4c182e998bdb4efd5682b76e4a,downloaded,raw_parser_c\rust\scanner.c,9609a2f92dbb7c32bc056fd8fb94e5478428f04496696aa08b048a9b66caf283
cpp,tree-sitter/tree-sitter-cpp,8b5b49eb196bec7040441bee33b2c9a4838d6967,https://raw.githubusercontent.com/tree-sitter/tree-sitter-cpp/8b5b49eb196bec7040441bee33b2c9a4838d6967/src/parser.c,downloaded,0007727b6e1fbc07657b6a4bf5dc39f524c6009fa347f9faaf180fa9ab17e999,downloaded,raw_parser_c\cpp\scanner.c,cf60387d290271f4d2fb558d0569b2b9ef879cb72206a9df5cc73b0b1a4b20ff
c,tree-sitter/tree-sitter-c,b780e47fc780ddc8da13afa35a3f4ed5c157823d,https://raw.githubusercontent.com/tree-sitter/tree-sitter-c/b780e47fc780ddc8da13afa35a3f4ed5c157823d/src/parser.c,downloaded,f2883ff9b21f4a5bd5553c1b10366c418947d17a7bc6bf256124a7542f079dd2,none,,
python,tree-sitter/tree-sitter-python,26855eabccb19c6abf499fbc5b8dc7cc9ab8bc64,https://raw.githubusercontent.com/tree-sitter/tree-sitter-python/26855eabccb19c6abf499fbc5b8dc7cc9ab8bc64/src/parser.c,downloaded,53a7bd87ba22c4fdbb8566a2caf848a1478f3ac9d47a1b32677a71de75d75db6,downloaded,raw_parser_c\python\scanner.c,6db82134ac2d4c90a1a1475487a625cface02662ebda9b7478cad9c7147e9afe
zig,tree-sitter-grammars/tree-sitter-zig,6479aa13f32f701c383083d8b28360ebd682fb7d,https://raw.githubusercontent.com/tree-sitter-grammars/tree-sitter-zig/6479aa13f32f701c383083d8b28360ebd682fb7d/src/parser.c,downloaded,d6975b3bcbcaae6a393850e55a2547dff52cf187e870c75316304b8401e14d34,none,,
julia,tree-sitter/tree-sitter-julia,e0f9dcd180fdcfcfa8d79a3531e11d99e79321d3,https://raw.githubusercontent.com/tree-sitter/tree-sitter-julia/e0f9dcd180fdcfcfa8d79a3531e11d99e79321d3/src/parser.c,downloaded,420e28372baae12a7de3009a0dca532b5e99a23c3df9e24c82aa46e9a4e29914,downloaded,raw_parser_c\julia\scanner.c,e6350a2f2725d966115d56142bf4e3e43dc13e3a3060744dd25f695363886e30
nim,alaviss/tree-sitter-nim,ac72ba30d16edf0be021588a9301ede4accd6cf4,https://raw.githubusercontent.com/alaviss/tree-sitter-nim/ac72ba30d16edf0be021588a9301ede4accd6cf4/src/parser.c,downloaded,810c6891bfd3ac5e45380cb673b7c490c5f1f7b749a8d27766d788bce5713b20,downloaded,raw_parser_c\nim\scanner.c,0d3fb9955a3fe49f89037890bc4154f0862a6959338a0d9ef5e79bcb7e7e2892
csharp,tree-sitter/tree-sitter-c-sharp,9150f7d56bb47f1a809fa23623f1ba1413e93fa9,https://raw.githubusercontent.com/tree-sitter/tree-sitter-c-sharp/9150f7d56bb47f1a809fa23623f1ba1413e93fa9/src/parser.c,downloaded,2549deeed0c8aeb84f42f9ccd3cf9de047a0c609387075a97784fddb2d1770cd,downloaded,raw_parser_c\csharp\scanner.c,2ee1241a6a275e72a06838f5df927700bd405c16b48f986e2c33d1264cae4818
java,tree-sitter/tree-sitter-java,e10607b45ff745f5f876bfa3e94fbcc6b44bdc11,https://raw.githubusercontent.com/tree-sitter/tree-sitter-java/e10607b45ff745f5f876bfa3e94fbcc6b44bdc11/src/parser.c,downloaded,4add5150cf4531eb5dd97f3343dcf65cd11704c84711348b328582b83424a0e4,none,,
kotlin,fwcd/tree-sitter-kotlin,1852ea17b7f60fb3f9d84e0b1555d56b46b39fb1,https://raw.githubusercontent.com/fwcd/tree-sitter-kotlin/1852ea17b7f60fb3f9d84e0b1555d56b46b39fb1/src/parser.c,downloaded,70f193db454cfb1315d17d2d85879619e4b62295325bc4cbd4fe0f9fb96098e1,downloaded,raw_parser_c\kotlin\scanner.c,8a300c7da25290d5de076605fb46cc6b53b188d99aa9e8f34e928dbb7191935f
swift,alex-pinkus/tree-sitter-swift,73c7923ac17ba6b9ebc0a2688bbddd0b75b725d6,https://raw.githubusercontent.com/alex-pinkus/tree-sitter-swift/73c7923ac17ba6b9ebc0a2688bbddd0b75b725d6/src/parser.c,download_error:HTTPError,,not_checked,,
