language,lex_state,priority,predicate_kind,range_start,range_end,negated,eof,next_state,skip,accept_symbol_id,accept_symbol_name,immediate
,0,0,OPAQUE,,,false,false,27,false,,,false
,0,0,OPAQUE,,,false,false,0,true,,,false
,0,0,OPAQUE,,,false,false,66,false,,,false
,0,0,OPAQUE,,,false,false,95,false,,,false
,0,0,CHAR,!,!,false,false,32,false,,,false
,0,0,CHAR,"""","""",false,false,71,false,,,false
,0,0,CHAR,#,#,false,false,96,false,,,false
,0,0,CHAR,$,$,false,false,58,false,,,false
,0,0,CHAR,%,%,false,false,5,false,,,false
,0,0,CHAR,&,&,false,false,41,false,,,false
,0,0,CHAR,\',\',false,false,70,false,,,false
,0,0,CHAR,*,*,false,false,50,false,,,false
,0,0,CHAR,+,+,false,false,33,false,,,false
,0,0,CHAR,",",",",false,false,97,false,,,false
,0,0,CHAR,-,-,false,false,34,false,,,false
,0,0,CHAR,.,.,false,false,91,false,,,false
,0,0,CHAR,/,/,false,false,51,false,,,false
,0,0,CHAR,0,0,false,false,65,false,,,false
,0,0,CHAR,:,:,false,false,56,false,,,false
,0,0,CHAR,<,<,false,false,44,false,,,false
,0,0,CHAR,=,=,false,false,29,false,,,false
,0,0,CHAR,>,>,false,false,46,false,,,false
,0,0,CHAR,?,?,false,false,30,false,,,false
,0,0,CHAR,@,@,false,false,59,false,,,false
,0,0,CHAR,\\,\\,false,false,28,false,,,false
,0,0,CHAR,^,^,false,false,53,false,,,false
,0,0,CHAR,`,`,false,false,10,false,,,false
,0,0,CHAR,|,|,false,false,40,false,,,false
,0,0,CHAR,~,~,false,false,31,false,,,false
,1,0,OPAQUE,,,false,false,1,true,,,false
,1,0,OPAQUE,,,false,false,95,false,,,false
,1,0,CHAR,!,!,false,false,8,false,,,false
,1,0,CHAR,"""","""",false,false,71,false,,,false
,1,0,CHAR,#,#,false,false,96,false,,,false
,1,0,CHAR,$,$,false,false,58,false,,,false
,1,0,CHAR,%,%,false,false,5,false,,,false
,1,0,CHAR,&,&,false,false,41,false,,,false
,1,0,CHAR,\',\',false,false,70,false,,,false
,1,0,CHAR,*,*,false,false,50,false,,,false
,1,0,CHAR,+,+,false,false,33,false,,,false
,1,0,CHAR,",",",",false,false,97,false,,,false
,1,0,CHAR,-,-,false,false,34,false,,,false
,1,0,CHAR,.,.,false,false,92,false,,,false
,1,0,CHAR,/,/,false,false,51,false,,,false
,1,0,CHAR,:,:,false,false,57,false,,,false
,1,0,CHAR,<,<,false,false,44,false,,,false
,1,0,CHAR,=,=,false,false,29,false,,,false
,1,0,CHAR,>,>,false,false,46,false,,,false
,1,0,CHAR,?,?,false,false,30,false,,,false
,1,0,CHAR,@,@,false,false,59,false,,,false
,1,0,CHAR,^,^,false,false,53,false,,,false
,1,0,CHAR,`,`,false,false,10,false,,,false
,1,0,CHAR,|,|,false,false,40,false,,,false
,1,0,CHAR,~,~,false,false,31,false,,,false
,2,0,OPAQUE,,,false,false,2,true,,,false
,2,0,OPAQUE,,,false,false,95,false,,,false
,2,0,CHAR,!,!,false,false,8,false,,,false
,2,0,CHAR,#,#,false,false,96,false,,,false
,2,0,CHAR,$,$,false,false,58,false,,,false
,2,0,CHAR,%,%,false,false,5,false,,,false
,2,0,CHAR,&,&,false,false,41,false,,,false
,2,0,CHAR,*,*,false,false,50,false,,,false
,2,0,CHAR,+,+,false,false,33,false,,,false
,2,0,CHAR,",",",",false,false,97,false,,,false
,2,0,CHAR,-,-,false,false,34,false,,,false
,2,0,CHAR,.,.,false,false,94,false,,,false
,2,0,CHAR,/,/,false,false,51,false,,,false
,2,0,CHAR,:,:,false,false,57,false,,,false
,2,0,CHAR,<,<,false,false,44,false,,,false
,2,0,CHAR,=,=,false,false,29,false,,,false
,2,0,CHAR,>,>,false,false,46,false,,,false
,2,0,CHAR,?,?,false,false,30,false,,,false
,2,0,CHAR,@,@,false,false,59,false,,,false
,2,0,CHAR,^,^,false,false,53,false,,,false
,2,0,CHAR,`,`,false,false,10,false,,,false
,2,0,CHAR,|,|,false,false,40,false,,,false
,2,0,CHAR,~,~,false,false,31,false,,,false
,3,0,OPAQUE,,,false,false,71,false,,,false
,3,0,OPAQUE,,,false,false,76,false,,,false
,3,0,OPAQUE,,,false,false,9,false,,,false
,3,0,OPAQUE,,,false,false,75,false,,,false
,3,0,OPAQUE,,,false,false,77,false,,,false
,4,0,OPAQUE,,,false,false,73,false,,,false
,4,0,OPAQUE,,,false,false,70,false,,,false
,4,0,OPAQUE,,,false,false,9,false,,,false
,4,0,OPAQUE,,,false,false,72,false,,,false
,4,0,OPAQUE,,,false,false,74,false,,,false
,5,0,OPAQUE,,,false,false,54,false,,,false
,5,0,OPAQUE,,,false,false,5,false,,,false
,6,0,OPAQUE,,,false,false,36,false,,,false
,7,0,OPAQUE,,,false,false,63,false,,,false
,7,0,OPAQUE,,,false,false,62,false,,,false
,8,0,OPAQUE,,,false,false,49,false,,,false
,9,0,OPAQUE,,,false,false,11,false,,,false
,9,0,OPAQUE,,,false,false,12,false,,,false
,9,0,OPAQUE,,,false,false,24,false,,,false
,9,0,OPAQUE,,,false,false,80,false,,,false
,9,0,OPAQUE,,,false,false,78,false,,,false
,10,0,OPAQUE,,,false,false,26,false,,,false
,10,0,OPAQUE,,,false,false,90,false,,,false
,10,0,OPAQUE,,,false,false,10,false,,,false
,11,0,OPAQUE,,,false,false,23,false,,,false
,11,0,OPAQUE,,,false,false,87,false,,,false
,12,0,OPAQUE,,,false,false,25,false,,,false
,12,0,OPAQUE,,,false,false,83,false,,,false
,13,0,OPAQUE,,,false,false,78,false,,,false
,14,0,OPAQUE,,,false,false,78,false,,,false
,14,0,OPAQUE,,,false,false,13,false,,,false
,15,0,OPAQUE,,,false,false,78,false,,,false
,15,0,OPAQUE,,,false,false,14,false,,,false
,16,0,OPAQUE,,,false,false,78,false,,,false
,16,0,OPAQUE,,,false,false,15,false,,,false
,17,0,OPAQUE,,,false,false,78,false,,,false
,17,0,OPAQUE,,,false,false,16,false,,,false
,18,0,OPAQUE,,,false,false,78,false,,,false
,18,0,OPAQUE,,,false,false,17,false,,,false
,19,0,OPAQUE,,,false,false,78,false,,,false
,19,0,OPAQUE,,,false,false,18,false,,,false
,20,0,OPAQUE,,,false,false,78,false,,,false
,20,0,OPAQUE,,,false,false,19,false,,,false
,21,0,OPAQUE,,,false,false,22,false,,,false
,21,0,OPAQUE,,,false,false,64,false,,,false
,22,0,OPAQUE,,,false,false,64,false,,,false
