language,action_list_id,action_ordinal,action_count,reusable,action_kind,target_state,extra,lhs_symbol_id,lhs_symbol_name,child_count,dynamic_precedence,production_id
,0,0,0,false,EMPTY,,,,,,,
,1,0,1,false,RECOVER,,,,,,,
,3,0,1,true,SHIFT_EXTRA,,,,,,,
,5,0,1,true,SHIFT,443,,,,,,
,7,0,1,true,REDUCE,sym_if_statement,,205,,5,0,37
,9,0,1,false,REDUCE,sym_if_statement,,205,,5,0,37
,11,0,1,false,SHIFT,636,,,,,,
,13,0,1,true,SHIFT,637,,,,,,
,15,0,1,true,SHIFT,638,,,,,,
,17,0,1,false,SHIFT,638,,,,,,
,19,0,1,true,SHIFT,639,,,,,,
,21,0,1,false,SHIFT,640,,,,,,
,23,0,1,true,SHIFT,640,,,,,,
,25,0,1,false,SHIFT,641,,,,,,
,27,0,1,false,SHIFT,642,,,,,,
,29,0,1,true,SHIFT,641,,,,,,
,31,0,1,true,SHIFT,642,,,,,,
,33,0,1,false,SHIFT,643,,,,,,
,35,0,1,true,SHIFT,643,,,,,,
,37,0,1,false,SHIFT,644,,,,,,
,39,0,1,true,SHIFT,644,,,,,,
,41,0,1,true,SHIFT,645,,,,,,
,43,0,1,true,SHIFT,646,,,,,,
,45,0,1,false,SHIFT,647,,,,,,
,47,0,1,true,SHIFT,133,,,,,,
,49,0,1,true,SHIFT,510,,,,,,
,51,0,1,true,SHIFT,271,,,,,,
,53,0,1,true,SHIFT,272,,,,,,
,55,0,1,true,SHIFT,273,,,,,,
,57,0,1,false,REDUCE,sym_if_statement,,205,,7,0,46
,59,0,1,true,REDUCE,sym_if_statement,,205,,7,0,46
,61,0,1,false,SHIFT,776,,,,,,
,63,0,1,true,SHIFT,777,,,,,,
,65,0,1,true,SHIFT,778,,,,,,
,67,0,1,false,SHIFT,778,,,,,,
,69,0,1,true,SHIFT,779,,,,,,
,71,0,1,false,SHIFT,780,,,,,,
,73,0,1,true,SHIFT,780,,,,,,
