repair_id,demand_id,covers
AR001,RC0001,0
AR002,RC0001,0
AR003,RC0001,0
AR004,RC0001,0
AR005,RC0001,0
AR006,RC0001,0
AR007,RC0001,1
AR001,RC0002,0
AR002,RC0002,0
AR003,RC0002,0
AR004,RC0002,1
AR005,RC0002,0
AR006,RC0002,1
AR007,RC0002,0
AR001,RC0003,1
AR002,RC0003,1
AR003,RC0003,0
AR004,RC0003,1
AR005,RC0003,0
AR006,RC0003,1
AR007,RC0003,0
AR001,RC0004,1
AR002,RC0004,1
AR003,RC0004,0
AR004,RC0004,1
AR005,RC0004,0
AR006,RC0004,1
AR007,RC0004,0
AR001,RC0005,1
AR002,RC0005,1
AR003,RC0005,1
AR004,RC0005,1
AR005,RC0005,0
AR006,RC0005,1
AR007,RC0005,0
AR001,RC0006,1
AR002,RC0006,1
AR003,RC0006,1
AR004,RC0006,1
AR005,RC0006,0
AR006,RC0006,1
AR007,RC0006,0
AR001,RC0007,0
AR002,RC0007,0
AR003,RC0007,1
AR004,RC0007,1
AR005,RC0007,0
AR006,RC0007,1
AR007,RC0007,0
AR001,RC0008,1
AR002,RC0008,1
AR003,RC0008,1
AR004,RC0008,1
AR005,RC0008,0
AR006,RC0008,1
AR007,RC0008,0
AR001,RC0009,1
AR002,RC0009,1
AR003,RC0009,0
AR004,RC0009,1
AR005,RC0009,0
AR006,RC0009,1
AR007,RC0009,0
AR001,RC0010,1
AR002,RC0010,1
AR003,RC0010,0
AR004,RC0010,0
AR005,RC0010,0
AR006,RC0010,1
AR007,RC0010,0
AR001,RC0011,1
AR002,RC0011,1
AR003,RC0011,0
AR004,RC0011,0
AR005,RC0011,0
AR006,RC0011,1
AR007,RC0011,0
AR001,RC0012,1
AR002,RC0012,1
AR003,RC0012,1
AR004,RC0012,0
AR005,RC0012,0
AR006,RC0012,1
AR007,RC0012,0
AR001,RC0013,1
AR002,RC0013,1
AR003,RC0013,1
AR004,RC0013,0
AR005,RC0013,0
AR006,RC0013,1
AR007,RC0013,0
AR001,RC0014,1
AR002,RC0014,1
AR003,RC0014,0
AR004,RC0014,1
AR005,RC0014,0
AR006,RC0014,1
AR007,RC0014,0
AR001,RC0015,1
AR002,RC0015,1
AR003,RC0015,1
AR004,RC0015,1
AR005,RC0015,0
AR006,RC0015,1
AR007,RC0015,0
AR001,RC0016,1
AR002,RC0016,1
AR003,RC0016,1
AR004,RC0016,1
AR005,RC0016,0
AR006,RC0016,1
AR007,RC0016,0
AR001,RC0017,1
AR002,RC0017,1
AR003,RC0017,1
AR004,RC0017,0
AR005,RC0017,0
AR006,RC0017,1
AR007,RC0017,0
AR001,RC0018,1
AR002,RC0018,1
AR003,RC0018,0
AR004,RC0018,0
AR005,RC0018,0
AR006,RC0018,1
AR007,RC0018,0
AR001,RC0019,1
AR002,RC0019,1
AR003,RC0019,0
AR004,RC0019,0
AR005,RC0019,0
AR006,RC0019,1
AR007,RC0019,0
AR001,RC0020,1
AR002,RC0020,1
AR003,RC0020,0
AR004,RC0020,1
AR005,RC0020,0
AR006,RC0020,1
AR007,RC0020,0
AR001,RC0021,1
AR002,RC0021,1
AR003,RC0021,0
AR004,RC0021,0
AR005,RC0021,0
AR006,RC0021,1
AR007,RC0021,0
AR001,RC0022,1
AR002,RC0022,1
AR003,RC0022,0
AR004,RC0022,1
AR005,RC0022,0
AR006,RC0022,1
AR007,RC0022,0
AR001,RC0023,1
AR002,RC0023,1
AR003,RC0023,0
AR004,RC0023,1
AR005,RC0023,0
AR006,RC0023,1
AR007,RC0023,0
AR001,RC0024,1
AR002,RC0024,1
AR003,RC0024,0
AR004,RC0024,1
AR005,RC0024,0
AR006,RC0024,1
AR007,RC0024,0
AR001,RC0025,1
AR002,RC0025,1
AR003,RC0025,0
AR004,RC0025,1
AR005,RC0025,0
AR006,RC0025,1
AR007,RC0025,0
AR001,RC0026,1
AR002,RC0026,1
AR003,RC0026,0
AR004,RC0026,1
AR005,RC0026,0
AR006,RC0026,1
AR007,RC0026,0
AR001,RC0027,1
AR002,RC0027,1
AR003,RC0027,0
AR004,RC0027,1
AR005,RC0027,0
AR006,RC0027,1
AR007,RC0027,0
AR001,RC0028,1
AR002,RC0028,1
AR003,RC0028,0
AR004,RC0028,1
AR005,RC0028,0
AR006,RC0028,1
AR007,RC0028,0
AR001,RC0029,1
AR002,RC0029,1
AR003,RC0029,0
AR004,RC0029,1
AR005,RC0029,0
AR006,RC0029,1
AR007,RC0029,0
AR001,RC0030,1
AR002,RC0030,1
AR003,RC0030,0
AR004,RC0030,0
AR005,RC0030,0
AR006,RC0030,1
AR007,RC0030,0
AR001,RC0031,1
AR002,RC0031,1
AR003,RC0031,0
AR004,RC0031,0
AR005,RC0031,0
AR006,RC0031,1
AR007,RC0031,0
AR001,RC0032,1
AR002,RC0032,1
AR003,RC0032,0
AR004,RC0032,0
AR005,RC0032,0
AR006,RC0032,1
AR007,RC0032,0
AR001,RC0033,1
AR002,RC0033,1
AR003,RC0033,0
AR004,RC0033,0
AR005,RC0033,0
AR006,RC0033,1
AR007,RC0033,0
AR001,RC0034,1
AR002,RC0034,1
AR003,RC0034,0
AR004,RC0034,0
AR005,RC0034,0
AR006,RC0034,1
AR007,RC0034,0
AR001,RC0035,0
AR002,RC0035,0
AR003,RC0035,0
AR004,RC0035,0
AR005,RC0035,0
AR006,RC0035,1
AR007,RC0035,0
AR001,RC0036,1
AR002,RC0036,1
AR003,RC0036,0
AR004,RC0036,0
AR005,RC0036,0
AR006,RC0036,1
AR007,RC0036,0
AR001,RC0037,1
AR002,RC0037,1
AR003,RC0037,0
AR004,RC0037,0
AR005,RC0037,0
AR006,RC0037,1
AR007,RC0037,0
AR001,RC0038,0
AR002,RC0038,0
AR003,RC0038,0
AR004,RC0038,0
AR005,RC0038,0
AR006,RC0038,1
AR007,RC0038,0
AR001,RC0039,0
AR002,RC0039,0
AR003,RC0039,0
AR004,RC0039,0
AR005,RC0039,0
AR006,RC0039,1
AR007,RC0039,0
AR001,RC0040,0
AR002,RC0040,0
AR003,RC0040,0
AR004,RC0040,0
AR005,RC0040,0
AR006,RC0040,1
AR007,RC0040,0
AR001,RC0041,1
AR002,RC0041,1
AR003,RC0041,0
AR004,RC0041,0
AR005,RC0041,0
AR006,RC0041,1
AR007,RC0041,0
AR001,RC0042,1
AR002,RC0042,1
AR003,RC0042,0
AR004,RC0042,0
AR005,RC0042,0
AR006,RC0042,1
AR007,RC0042,0
AR001,RC0043,1
AR002,RC0043,1
AR003,RC0043,0
AR004,RC0043,1
AR005,RC0043,0
AR006,RC0043,1
AR007,RC0043,0
AR001,RC0044,1
AR002,RC0044,1
AR003,RC0044,0
AR004,RC0044,1
AR005,RC0044,0
AR006,RC0044,1
AR007,RC0044,0
AR001,RC0045,1
AR002,RC0045,1
AR003,RC0045,0
AR004,RC0045,0
AR005,RC0045,0
AR006,RC0045,1
AR007,RC0045,0
AR001,RC0046,1
AR002,RC0046,1
AR003,RC0046,0
AR004,RC0046,0
AR005,RC0046,0
AR006,RC0046,1
AR007,RC0046,0
AR001,RC0047,1
AR002,RC0047,1
AR003,RC0047,0
AR004,RC0047,1
AR005,RC0047,0
AR006,RC0047,1
AR007,RC0047,0
AR001,RC0048,1
AR002,RC0048,1
AR003,RC0048,0
AR004,RC0048,1
AR005,RC0048,0
AR006,RC0048,1
AR007,RC0048,0
AR001,RC0049,1
AR002,RC0049,1
AR003,RC0049,0
AR004,RC0049,1
AR005,RC0049,0
AR006,RC0049,1
AR007,RC0049,0
AR001,RC0050,1
AR002,RC0050,1
AR003,RC0050,0
AR004,RC0050,1
AR005,RC0050,0
AR006,RC0050,1
AR007,RC0050,0
AR001,RC0051,1
AR002,RC0051,1
AR003,RC0051,0
AR004,RC0051,1
AR005,RC0051,0
AR006,RC0051,1
AR007,RC0051,0
AR001,RC0052,1
AR002,RC0052,1
AR003,RC0052,0
AR004,RC0052,1
