demand_id,repair_id,minimal_witness_case,violated_truths
RC0001,AR007,04963a27fcb254e9c27d3ed7d84b1eadcfbfe825174ad3eb058e51093d61d9f9,
RC0002,AR004,06beed9f0d4ce09c0d919126ec6c18fd9da326ea7bb968edbfad6297a4cde790,
RC0002,AR006,06beed9f0d4ce09c0d919126ec6c18fd9da326ea7bb968edbfad6297a4cde790,
RC0003,AR001,72d07b730daa8d6df99a8de7dfb49911f0974627e15483b39a49b5951c979bca,
RC0003,AR002,72d07b730daa8d6df99a8de7dfb49911f0974627e15483b39a49b5951c979bca,
RC0003,AR004,72d07b730daa8d6df99a8de7dfb49911f0974627e15483b39a49b5951c979bca,
RC0003,AR006,72d07b730daa8d6df99a8de7dfb49911f0974627e15483b39a49b5951c979bca,
RC0004,AR001,08a1bb8b1e94f5b7bacdab1686d7d403ad2b3e7fa31dd83a125d856d653f8d2f,
RC0004,AR002,08a1bb8b1e94f5b7bacdab1686d7d403ad2b3e7fa31dd83a125d856d653f8d2f,
RC0004,AR004,08a1bb8b1e94f5b7bacdab1686d7d403ad2b3e7fa31dd83a125d856d653f8d2f,
RC0004,AR006,08a1bb8b1e94f5b7bacdab1686d7d403ad2b3e7fa31dd83a125d856d653f8d2f,
RC0005,AR001,89cd50a3c0c7796a620c0037fe75013fed43d877388f75c91faefa44f2bae5fb,
RC0005,AR002,89cd50a3c0c7796a620c0037fe75013fed43d877388f75c91faefa44f2bae5fb,
RC0005,AR003,89cd50a3c0c7796a620c0037fe75013fed43d877388f75c91faefa44f2bae5fb,
RC0005,AR004,89cd50a3c0c7796a620c0037fe75013fed43d877388f75c91faefa44f2bae5fb,
RC0005,AR006,89cd50a3c0c7796a620c0037fe75013fed43d877388f75c91faefa44f2bae5fb,
RC0006,AR001,77aa6e978e6139abcb5b8464755320c96a9dccbfb74e421d89dd0f397db90855,
RC0006,AR002,77aa6e978e6139abcb5b8464755320c96a9dccbfb74e421d89dd0f397db90855,
RC0006,AR003,77aa6e978e6139abcb5b8464755320c96a9dccbfb74e421d89dd0f397db90855,
RC0006,AR004,77aa6e978e6139abcb5b8464755320c96a9dccbfb74e421d89dd0f397db90855,
RC0006,AR006,77aa6e978e6139abcb5b8464755320c96a9dccbfb74e421d89dd0f397db90855,
RC0007,AR003,380fca17fd1e1b18152731c68ae9af96c2745855e1464b628ebf842c55ff9dd7,
RC0007,AR004,380fca17fd1e1b18152731c68ae9af96c2745855e1464b628ebf842c55ff9dd7,
RC0007,AR006,380fca17fd1e1b18152731c68ae9af96c2745855e1464b628ebf842c55ff9dd7,
