case_id,language,case_name,axis,feature,value
0,r,Function No Body With Assignment,tree_sitter_node,binary_operator,1
0,r,Function No Body With Assignment,tree_sitter_node,comma,1
0,r,Function No Body With Assignment,tree_sitter_node,function_definition,1
0,r,Function No Body With Assignment,tree_sitter_node,identifier,1
0,r,Function No Body With Assignment,tree_sitter_node,parameter,1
0,r,Function No Body With Assignment,tree_sitter_node,parameters,1
0,r,Function No Body With Assignment,tree_sitter_node,program,1
1,r,Function No Body Inside Another Function,tree_sitter_node,identifier,1
1,r,Function No Body Inside Another Function,tree_sitter_node,parameters,1
1,r,Function No Body Inside Another Function,tree_sitter_node,program,1
2,r,"Not A Call, Subset, Or Subset2",tree_sitter_node,identifier,1
2,r,"Not A Call, Subset, Or Subset2",tree_sitter_node,parenthesized_expression,1
2,r,"Not A Call, Subset, Or Subset2",tree_sitter_node,program,1
3,r,"Not A Call, Subset, Or Subset2 Due To Sequential Arguments",tree_sitter_node,argument,1
3,r,"Not A Call, Subset, Or Subset2 Due To Sequential Arguments",tree_sitter_node,arguments,1
3,r,"Not A Call, Subset, Or Subset2 Due To Sequential Arguments",tree_sitter_node,call,1
3,r,"Not A Call, Subset, Or Subset2 Due To Sequential Arguments",tree_sitter_node,comma,1
3,r,"Not A Call, Subset, Or Subset2 Due To Sequential Arguments",tree_sitter_node,identifier,1
3,r,"Not A Call, Subset, Or Subset2 Due To Sequential Arguments",tree_sitter_node,program,1
3,r,"Not A Call, Subset, Or Subset2 Due To Sequential Arguments",tree_sitter_node,subset,1
3,r,"Not A Call, Subset, Or Subset2 Due To Sequential Arguments",tree_sitter_node,subset2,1
4,r,Not A Parenthesized Expression 1,tree_sitter_node,program,1
5,r,Not A Parenthesized Expression 2,tree_sitter_node,float,1
5,r,Not A Parenthesized Expression 2,tree_sitter_node,parenthesized_expression,1
5,r,Not A Parenthesized Expression 2,tree_sitter_node,program,1
6,r,Not A Parenthesized Expression 3,tree_sitter_node,float,1
6,r,Not A Parenthesized Expression 3,tree_sitter_node,parenthesized_expression,1
6,r,Not A Parenthesized Expression 3,tree_sitter_node,program,1
7,r,"Dollar, At, Namespace, Namespace Internal With `if` RHS",tree_sitter_node,comment,1
7,r,"Dollar, At, Namespace, Namespace Internal With `if` RHS",tree_sitter_node,extract_operator,1
7,r,"Dollar, At, Namespace, Namespace Internal With `if` RHS",tree_sitter_node,identifier,1
7,r,"Dollar, At, Namespace, Namespace Internal With `if` RHS",tree_sitter_node,namespace_operator,1
7,r,"Dollar, At, Namespace, Namespace Internal With `if` RHS",tree_sitter_node,program,1
8,r,"Dollar, At, Namespace, Namespace Internal With Newline Before Operator",tree_sitter_node,comment,1
8,r,"Dollar, At, Namespace, Namespace Internal With Newline Before Operator",tree_sitter_node,identifier,1
8,r,"Dollar, At, Namespace, Namespace Internal With Newline Before Operator",tree_sitter_node,program,1
9,r,Closing Brace,tree_sitter_node,program,1
10,r,Closing Parenthesis,tree_sitter_node,program,1
11,r,Closing Bracket,tree_sitter_node,program,1
12,r,"Opening Brace, Closing Parenthesis",tree_sitter_node,comment,1
12,r,"Opening Brace, Closing Parenthesis",tree_sitter_node,program,1
13,r,"Opening Parenthesis, Closing Brace",tree_sitter_node,program,1
14,r,"Opening Parenthesis, Closing Bracket",tree_sitter_node,program,1
15,r,"Opening Bracket2, Unmatched Closing Bracket",tree_sitter_node,identifier,1
15,r,"Opening Bracket2, Unmatched Closing Bracket",tree_sitter_node,program,1
16,r,"Opening Bracket and Bracket2, Unmatched Closing Bracket",tree_sitter_node,identifier,1
16,r,"Opening Bracket and Bracket2, Unmatched Closing Bracket",tree_sitter_node,program,1
17,r,"Opening Bracket2 and Bracket, Matched Closing Bracket",tree_sitter_node,argument,1
17,r,"Opening Bracket2 and Bracket, Matched Closing Bracket",tree_sitter_node,arguments,1
17,r,"Opening Bracket2 and Bracket, Matched Closing Bracket",tree_sitter_node,float,1
17,r,"Opening Bracket2 and Bracket, Matched Closing Bracket",tree_sitter_node,identifier,1
17,r,"Opening Bracket2 and Bracket, Matched Closing Bracket",tree_sitter_node,program,1
17,r,"Opening Bracket2 and Bracket, Matched Closing Bracket",tree_sitter_node,subset,1
17,r,"Opening Bracket2 and Bracket, Matched Closing Bracket",tree_sitter_node,subset2,1
18,r,"Opening Bracket2 and Bracket, Unmatched Closing Bracket",tree_sitter_node,argument,1
18,r,"Opening Bracket2 and Bracket, Unmatched Closing Bracket",tree_sitter_node,arguments,1
18,r,"Opening Bracket2 and Bracket, Unmatched Closing Bracket",tree_sitter_node,float,1
18,r,"Opening Bracket2 and Bracket, Unmatched Closing Bracket",tree_sitter_node,identifier,1
18,r,"Opening Bracket2 and Bracket, Unmatched Closing Bracket",tree_sitter_node,program,1
18,r,"Opening Bracket2 and Bracket, Unmatched Closing Bracket",tree_sitter_node,subset,1
19,r,Calls With NA As Argument Name,tree_sitter_node,comment,1
19,r,Calls With NA As Argument Name,tree_sitter_node,identifier,1
19,r,Calls With NA As Argument Name,tree_sitter_node,na,1
19,r,Calls With NA As Argument Name,tree_sitter_node,program,1
20,r,Unsupported Subset2 With `]]` Over Multiple Lines (#177),tree_sitter_node,identifier,1
20,r,Unsupported Subset2 With `]]` Over Multiple Lines (#177),tree_sitter_node,program,1
20,r,Unsupported Subset2 With `]]` Over Multiple Lines (#177),tree_sitter_node,string,1
20,r,Unsupported Subset2 With `]]` Over Multiple Lines (#177),tree_sitter_node,string_close,1
20,r,Unsupported Subset2 With `]]` Over Multiple Lines (#177),tree_sitter_node,string_content,1
20,r,Unsupported Subset2 With `]]` Over Multiple Lines (#177),tree_sitter_node,string_open,1
21,r,Functions,tree_sitter_node,binary_operator,1
21,r,Functions,tree_sitter_node,braced_expression,1
21,r,Functions,tree_sitter_node,comma,1
21,r,Functions,tree_sitter_node,comment,1
21,r,Functions,tree_sitter_node,float,1
21,r,Functions,tree_sitter_node,for_statement,1
21,r,Functions,tree_sitter_node,function_definition,1
21,r,Functions,tree_sitter_node,identifier,1
21,r,Functions,tree_sitter_node,parameter,1
21,r,Functions,tree_sitter_node,parameters,1
21,r,Functions,tree_sitter_node,program,1
22,r,Functions With `return` As Parameter Name,tree_sitter_node,comment,1
22,r,Functions With `return` As Parameter Name,tree_sitter_node,float,1
22,r,Functions With `return` As Parameter Name,tree_sitter_node,function_definition,1
22,r,Functions With `return` As Parameter Name,tree_sitter_node,identifier,1
22,r,Functions With `return` As Parameter Name,tree_sitter_node,parameter,1
22,r,Functions With `return` As Parameter Name,tree_sitter_node,parameters,1
22,r,Functions With `return` As Parameter Name,tree_sitter_node,program,1
23,r,Function Dots And Dot Dot I,tree_sitter_node,argument,1
23,r,Function Dots And Dot Dot I,tree_sitter_node,arguments,1
23,r,Function Dots And Dot Dot I,tree_sitter_node,binary_operator,1
23,r,Function Dots And Dot Dot I,tree_sitter_node,braced_expression,1
23,r,Function Dots And Dot Dot I,tree_sitter_node,call,1
23,r,Function Dots And Dot Dot I,tree_sitter_node,comma,1
23,r,Function Dots And Dot Dot I,tree_sitter_node,comment,1
23,r,Function Dots And Dot Dot I,tree_sitter_node,dot_dot_i,1
23,r,Function Dots And Dot Dot I,tree_sitter_node,dots,1
23,r,Function Dots And Dot Dot I,tree_sitter_node,float,1
23,r,Function Dots And Dot Dot I,tree_sitter_node,function_definition,1
23,r,Function Dots And Dot Dot I,tree_sitter_node,identifier,1
23,r,Function Dots And Dot Dot I,tree_sitter_node,parameter,1
23,r,Function Dots And Dot Dot I,tree_sitter_node,parameters,1
23,r,Function Dots And Dot Dot I,tree_sitter_node,program,1
23,r,Function Dots And Dot Dot I,tree_sitter_node,string,1
23,r,Function Dots And Dot Dot I,tree_sitter_node,string_close,1
23,r,Function Dots And Dot Dot I,tree_sitter_node,string_content,1
23,r,Function Dots And Dot Dot I,tree_sitter_node,string_open,1
24,r,Function No Body,tree_sitter_node,comma,1
24,r,Function No Body,tree_sitter_node,function_definition,1
24,r,Function No Body,tree_sitter_node,identifier,1
24,r,Function No Body,tree_sitter_node,parameter,1
24,r,Function No Body,tree_sitter_node,parameters,1
24,r,Function No Body,tree_sitter_node,program,1
25,r,Lambda Function,tree_sitter_node,argument,1
25,r,Lambda Function,tree_sitter_node,arguments,1
25,r,Lambda Function,tree_sitter_node,binary_operator,1
25,r,Lambda Function,tree_sitter_node,braced_expression,1
25,r,Lambda Function,tree_sitter_node,call,1
25,r,Lambda Function,tree_sitter_node,comma,1
25,r,Lambda Function,tree_sitter_node,comment,1
25,r,Lambda Function,tree_sitter_node,dots,1
25,r,Lambda Function,tree_sitter_node,float,1
25,r,Lambda Function,tree_sitter_node,function_definition,1
25,r,Lambda Function,tree_sitter_node,identifier,1
25,r,Lambda Function,tree_sitter_node,parameter,1
25,r,Lambda Function,tree_sitter_node,parameters,1
25,r,Lambda Function,tree_sitter_node,program,1
26,r,Relational,tree_sitter_node,binary_operator,1
26,r,Relational,tree_sitter_node,identifier,1
26,r,Relational,tree_sitter_node,program,1
27,r,Arithmetic Operator,tree_sitter_node,binary_operator,1
27,r,Arithmetic Operator,tree_sitter_node,identifier,1
27,r,Arithmetic Operator,tree_sitter_node,program,1
28,r,Not An Arithmetic Operator,tree_sitter_node,identifier,1
