operator,language_count,total_occurrences,r,go,rust,cpp,c,python,zig,julia,nim,csharp,java,kotlin,swift
ALIAS,13,811,22,16,29,176,110,18,8,41,196,89,8,34,64
BLANK,13,1575,16,132,156,189,97,80,109,82,103,149,108,153,201
CHOICE,13,3105,36,241,290,455,234,159,171,170,244,292,213,254,346
FIELD,13,2318,162,130,192,466,291,141,118,11,178,261,203,7,158
IMMEDIATE_TOKEN,13,72,1,3,5,8,7,2,1,10,21,3,3,2,6
PATTERN,13,847,17,110,22,111,76,32,43,29,148,81,67,45,66
PREC,13,415,4,11,30,63,42,25,20,13,121,48,10,6,22
PREC_DYNAMIC,11,78,0,7,0,29,10,3,1,1,1,11,2,5,8
PREC_LEFT,13,375,30,9,23,51,40,22,30,16,27,31,25,29,42
PREC_RIGHT,13,257,14,7,4,35,18,7,24,21,38,17,6,22,44
REPEAT,13,806,50,61,58,128,76,35,31,26,40,118,71,40,72
REPEAT1,12,186,2,0,2,48,21,20,31,5,18,5,7,12,15
SEQ,13,3600,69,265,276,525,263,216,239,166,282,387,271,254,387
STRING,13,6787,66,367,579,891,384,287,360,831,1293,609,339,356,425
SYMBOL,13,7534,239,304,645,1165,631,432,363,426,574,876,516,516,847
TOKEN,13,285,2,6,4,10,8,6,5,29,138,9,24,17,27
