language,rule,class_id,atom_count,max_depth,ALIAS,BLANK,CHOICE,FIELD,IMMEDIATE_TOKEN,PATTERN,PREC,PREC_DYNAMIC,PREC_LEFT,PREC_RIGHT,REPEAT,REPEAT1,SEQ,STRING,SYMBOL,TOKEN
r,program,fb8b1b110e3f8541,7,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,4,0
r,function_definition,54a435410f035532,14,4,0,0,1,3,0,0,0,0,1,0,2,0,1,2,4,0
r,parameters,8367fa618ef08baa,15,6,0,1,1,4,0,0,0,0,0,0,1,0,3,0,5,0
r,parameter,02a29a0f5cbb4fe5,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
r,_parameter_with_default,bdbaf2fe094b4805,5,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0
r,_parameter_without_default,dabb3e5604a9cd2f,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
r,_parameter_name,4ff1c32e117cab06,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
r,if_statement,1a0de565a7cd7cf7,23,5,0,1,1,5,0,0,0,0,0,1,3,0,2,1,9,0
r,for_statement,20dbbc13736b4183,18,3,0,0,0,5,0,0,0,0,1,0,2,0,1,2,7,0
r,while_statement,c5a4b56fc4d1771b,15,3,0,0,0,4,0,0,0,0,1,0,2,0,1,1,6,0
r,repeat_statement,37cc22acdacc1fad,7,3,0,0,0,1,0,0,0,0,1,0,1,0,1,1,2,0
r,braced_expression,115b98450d1aaa4a,12,5,0,0,1,3,0,0,1,0,0,0,1,0,1,0,5,0
r,parenthesized_expression,8c614565ee68ba7e,8,3,0,0,0,3,0,0,1,0,0,0,0,0,1,0,3,0
r,call,65b180091be188d6,7,4,1,0,0,2,0,0,0,0,0,1,0,0,1,0,2,0
r,subset,65b180091be188d6,7,4,1,0,0,2,0,0,0,0,0,1,0,0,1,0,2,0
r,subset2,65b180091be188d6,7,4,1,0,0,2,0,0,0,0,0,1,0,0,1,0,2,0
r,call_arguments,0e4399f7a4d7f5fe,17,6,0,2,2,4,0,0,0,0,0,0,1,0,3,0,5,0
r,subset_arguments,0e4399f7a4d7f5fe,17,6,0,2,2,4,0,0,0,0,0,0,1,0,3,0,5,0
r,subset2_arguments,0e4399f7a4d7f5fe,17,6,0,2,2,4,0,0,0,0,0,0,1,0,3,0,5,0
r,argument,02a29a0f5cbb4fe5,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
r,_argument_named,63264c094734b4c5,7,2,0,1,1,1,0,0,0,0,0,0,0,0,1,1,2,0
r,_argument_unnamed,dabb3e5604a9cd2f,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
r,_argument_value,4ff1c32e117cab06,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
r,unary_operator,701bac7f6c3434b6,41,4,0,0,1,10,0,0,0,0,5,0,5,0,5,5,10,0
r,binary_operator,1836bd7c59219530,272,5,1,0,1,81,0,1,0,0,21,6,27,0,27,26,81,0
r,extract_operator,a3ecb3db902dba94,25,5,0,2,3,6,0,0,0,0,0,2,2,0,2,2,6,0
r,namespace_operator,1b6f70460afb16ca,21,5,0,2,3,6,0,0,0,0,0,2,0,0,2,2,4,0
r,integer,ae514ed4e52f5b1c,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
r,complex,ae514ed4e52f5b1c,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
r,float,dabb3e5604a9cd2f,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
r,_hex_literal,cb0bb6e59e8ad50b,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
r,_number_literal,cb0bb6e59e8ad50b,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
r,_float_literal,02a29a0f5cbb4fe5,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
r,string,b618999e0af0ba30,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
r,_raw_string,44c22950bc2eb2d2,12,4,3,1,1,3,0,0,0,0,0,0,0,0,1,0,3,0
r,_single_quoted_string,5fefb454e6673a94,12,4,3,1,1,3,0,0,0,0,0,0,0,0,1,2,1,0
r,_double_quoted_string,5fefb454e6673a94,12,4,3,1,1,3,0,0,0,0,0,0,0,0,1,2,1,0
r,_single_quoted_string_content,7f13ed73a2189584,4,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
r,_double_quoted_string_content,7f13ed73a2189584,4,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
r,escape_sequence,333793ca2df3e204,11,3,0,0,1,0,1,7,0,0,0,0,0,0,1,1,0,0
r,dots,1514c28779358c33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
r,dot_dot_i,cb0bb6e59e8ad50b,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
r,identifier,6c82a8281eee1746,5,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1
r,_identifier,b618999e0af0ba30,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
r,_string_or_identifier,02a29a0f5cbb4fe5,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
r,_argument_name_string_or_identifier_or_null,c10ecb6ed9aba28a,4,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0
r,next,1514c28779358c33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
r,break,1514c28779358c33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
r,true,1514c28779358c33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
r,false,1514c28779358c33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
r,null,1514c28779358c33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
r,inf,1514c28779358c33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
r,nan,1514c28779358c33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
r,na,b6e3dfd70ec77f08,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0
r,_expression,7a77caf3faa49294,30,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,0
r,comment,1ce73b933cd17406,5,3,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1
r,comma,1514c28779358c33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
r,_else,56dd8a13fc61cdde,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
r,_open_parenthesis,56dd8a13fc61cdde,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
r,_close_parenthesis,56dd8a13fc61cdde,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
r,_open_brace,56dd8a13fc61cdde,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
