language,rule,shape_class,surface_class,shape_json,surface_json
r,program,880f3efeef5e8915d107,880f3efeef5e8915d107,"{""members"":[{""name"":""SYM"",""type"":""SYMBOL""},{""content"":{""members"":[{""name"":""SYM"",""type"":""SYMBOL""},{""name"":""SYM"",""type"":""SYMBOL""},{""name"":""SYM"",""type"":""SYMBOL""}],""type"":""CHOICE""},""type"":""REPEAT""}],""type"":""SEQ""}","{""members"":[{""name"":""SYM"",""type"":""SYMBOL""},{""content"":{""members"":[{""name"":""SYM"",""type"":""SYMBOL""},{""name"":""SYM"",""type"":""SYMBOL""},{""name"":""SYM"",""type"":""SYMBOL""}],""type"":""CHOICE""},""type"":""REPEAT""}],""type"":""SEQ""}"
r,function_definition,70d7a112b0e20a6286e1,ba07cb65fad1f2ca603a,"{""content"":{""members"":[{""content"":{""members"":[{""type"":""STRING"",""value"":""LITERAL""},{""type"":""STRING"",""value"":""LITERAL""}],""type"":""CHOICE""},""name"":""NAME"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""}],""type"":""SEQ""},""type"":""PREC_LEFT"",""value"":""PREC_VALUE""}","{""content"":{""members"":[{""content"":{""members"":[{""type"":""STRING"",""value"":""\\""},{""type"":""STRING"",""value"":""function""}],""type"":""CHOICE""},""name"":""name"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""parameters"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""body"",""type"":""FIELD""}],""type"":""SEQ""},""type"":""PREC_LEFT"",""value"":2}"
r,parameters,edc7dae3a926dea02949,3823a93a954d495c4cf4,"{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""},{""members"":[{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""},{""content"":{""members"":[{""name"":""SYM"",""type"":""SYMBOL""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""}],""type"":""SEQ""},""type"":""REPEAT""}],""type"":""SEQ""},{""type"":""BLANK""}],""type"":""CHOICE""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""}],""type"":""SEQ""}","{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""open"",""type"":""FIELD""},{""members"":[{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""parameter"",""type"":""FIELD""},{""content"":{""members"":[{""name"":""SYM"",""type"":""SYMBOL""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""parameter"",""type"":""FIELD""}],""type"":""SEQ""},""type"":""REPEAT""}],""type"":""SEQ""},{""type"":""BLANK""}],""type"":""CHOICE""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""close"",""type"":""FIELD""}],""type"":""SEQ""}"
r,parameter,5dcf6ecd3e3e7257720e,5dcf6ecd3e3e7257720e,"{""members"":[{""name"":""SYM"",""type"":""SYMBOL""},{""name"":""SYM"",""type"":""SYMBOL""}],""type"":""CHOICE""}","{""members"":[{""name"":""SYM"",""type"":""SYMBOL""},{""name"":""SYM"",""type"":""SYMBOL""}],""type"":""CHOICE""}"
r,_parameter_with_default,e8e11ec769c51e6ca350,94b44541acf2f6639099,"{""members"":[{""name"":""SYM"",""type"":""SYMBOL""},{""type"":""STRING"",""value"":""LITERAL""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""}],""type"":""SEQ""}","{""members"":[{""name"":""SYM"",""type"":""SYMBOL""},{""type"":""STRING"",""value"":""=""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""default"",""type"":""FIELD""}],""type"":""SEQ""}"
r,_parameter_without_default,7ea618fd7062ab5ffb1e,7ea618fd7062ab5ffb1e,"{""name"":""SYM"",""type"":""SYMBOL""}","{""name"":""SYM"",""type"":""SYMBOL""}"
r,_parameter_name,6c416db3c88c5cfbf9a7,88c963363b68052014fd,"{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""}","{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""name"",""type"":""FIELD""}"
r,if_statement,58b807be18aa86d62d96,cf76eeb9da63df3785e6,"{""content"":{""members"":[{""type"":""STRING"",""value"":""LITERAL""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""},{""members"":[{""members"":[{""name"":""SYM"",""type"":""SYMBOL""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""}],""type"":""SEQ""},{""type"":""BLANK""}],""type"":""CHOICE""}],""type"":""SEQ""},""type"":""PREC_RIGHT"",""value"":""PREC_VALUE""}","{""content"":{""members"":[{""type"":""STRING"",""value"":""if""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""open"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""condition"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""close"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""consequence"",""type"":""FIELD""},{""members"":[{""members"":[{""name"":""SYM"",""type"":""SYMBOL""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""alternative"",""type"":""FIELD""}],""type"":""SEQ""},{""type"":""BLANK""}],""type"":""CHOICE""}],""type"":""SEQ""},""type"":""PREC_RIGHT"",""value"":3}"
r,for_statement,691ea613c213b8ca2cd1,588c627b223c168e68ce,"{""content"":{""members"":[{""type"":""STRING"",""value"":""LITERAL""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""},{""type"":""STRING"",""value"":""LITERAL""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""}],""type"":""SEQ""},""type"":""PREC_LEFT"",""value"":""PREC_VALUE""}","{""content"":{""members"":[{""type"":""STRING"",""value"":""for""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""open"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""variable"",""type"":""FIELD""},{""type"":""STRING"",""value"":""in""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""sequence"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""close"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""body"",""type"":""FIELD""}],""type"":""SEQ""},""type"":""PREC_LEFT"",""value"":2}"
r,while_statement,632a5633f8d804803571,409896cc128d29f19943,"{""content"":{""members"":[{""type"":""STRING"",""value"":""LITERAL""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""}],""type"":""SEQ""},""type"":""PREC_LEFT"",""value"":""PREC_VALUE""}","{""content"":{""members"":[{""type"":""STRING"",""value"":""while""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""open"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""condition"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""close"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""body"",""type"":""FIELD""}],""type"":""SEQ""},""type"":""PREC_LEFT"",""value"":2}"
