class_id,member_count,language_count,languages,members
5dcf6ecd3e3e7257720e,57,11,c|cpp|csharp|go|java|kotlin|nim|python|r|rust|swift,r:parameter|r:argument|r:_float_literal|r:_string_or_identifier|go:_type|go:_interface_elem|go:literal_element|go:_string_literal|rust:_statement|rust:_expression|rust:comment|cpp:statement|cpp:expression|cpp:_constructor_specifiers|cpp:_function_exception_specification|c:statement|c:expression|python:_statement|python:_named_expression_lhs|python:_expressions|python:_left_hand_side|nim:_statement|nim:_simple_statement|nim:_import_body|nim:_if_branch|nim:_try_branch|nim:_prefix_expression|csharp:_attribute_list|csharp:_namespace_member_declaration|csharp:_simple_name|csharp:_scoped_base_type|csharp:expression|csharp:_select_or_group_clause|csharp:collection_element|csharp:identifier|java:_toplevel_statement|java:string_literal|java:pattern|java:_annotation|java:_variable_initializer|java:_type|java:_unannotated_type|kotlin:_statement_annotation|kotlin:control_structure_body|kotlin:_function_literal|kotlin:annotation|kotlin:character_escape_seq|kotlin:_lexical_identifier|swift:_semi|swift:_line_string_content|swift:str_escaped_char|swift:_range_operator|swift:_else_options|swift:type_constraint|swift:_class_member_separator|swift:throws|swift:_modifier
2f06ca86caf84d1cd5ef,27,9,cpp|csharp|go|java|julia|kotlin|nim|r|swift,r:string|r:_identifier|go:_declaration|cpp:_string|julia:_block_form|julia:_array|nim:statement_list|nim:_object_field_declaration_branch_list|nim:_call_extended|nim:_string_literal|nim:_symbol|csharp:_extension_member_declaration|csharp:_name|csharp:_object_creation_type|java:_name|kotlin:_expression_no_trailing_lambda|kotlin:_loop_statement|kotlin:_expression|kotlin:when_condition|kotlin:_postfix_unary_suffix|kotlin:_type_parameter_modifier|swift:_string_literal|swift:regex_literal|swift:_navigable_type_expression|swift:_if_condition_sequence_item|swift:as_operator|swift:_locally_permitted_modifier
02c3a7ae1fbdcbf9c12d,11,9,c|csharp|go|julia|kotlin|nim|python|rust|swift,go:_simple_statement|rust:_literal|c:_declarator|c:_assignment_left_expression|python:_right_hand_side|julia:_definition|nim:_literal|csharp:type_declaration|csharp:_pointer_base_type|kotlin:_unary_expression|swift:_non_local_scope_modifier
2081cc4ccd4c57fec528,13,8,c|cpp|csharp|go|java|kotlin|rust|zig,go:parenthesized_type|go:parenthesized_expression|rust:parenthesized_expression|cpp:preproc_parenthesized_expression|c:preproc_parenthesized_expression|zig:parenthesized_expression|csharp:parenthesized_pattern|csharp:parenthesized_expression|csharp:_parenthesized_lvalue_expression|csharp:preproc_parenthesized_expression|java:parenthesized_expression|kotlin:parenthesized_type|kotlin:parenthesized_expression
a5a1922f08a940ed104f,12,8,c|cpp|csharp|go|kotlin|python|rust|swift,go:_top_level_declaration|rust:_tokens|cpp:ms_pointer_modifier|cpp:init_statement|c:ms_pointer_modifier|c:_abstract_declarator|python:_f_expression|csharp:_nullable_base_type|kotlin:_class_member_declaration|swift:_local_statement|swift:_top_level_statement|swift:_universally_allowed_pattern
7ea618fd7062ab5ffb1e,13,7,go|julia|kotlin|nim|python|r|swift,r:_parameter_without_default|r:_argument_unnamed|r:float|go:expression_statement|python:lambda_parameters|julia:identifier|nim:variant_discriminator_declaration|nim:_command_complex_expression_argument_list|nim:_left_hand_side|kotlin:_type_projection_modifier|kotlin:_semi|swift:directly_assignable_expression|swift:function_body
e6cd6a7085bb157f319c,15,6,c|cpp|csharp|java|rust|zig,rust:declaration_list|cpp:declaration_list|cpp:field_declaration_list|cpp:requirement_seq|c:declaration_list|c:compound_statement|c:field_declaration_list|zig:block|csharp:declaration_list|csharp:accessor_list|csharp:block|csharp:switch_body|java:block|java:module_body|java:class_body
d8064b71a2ebe2b4df0d,7,6,c|csharp|java|julia|python|rust,rust:_token_pattern|rust:_use_clause|c:_declaration_modifiers|python:expression_statement|julia:_string|csharp:_query_clause|java:module_directive
4ee7630f74c3383671b3,6,6,csharp|julia|kotlin|rust|swift|zig,rust:boolean_literal|zig:boolean|julia:boolean_literal|csharp:boolean_literal|kotlin:boolean_literal|swift:boolean_literal
731d7eee799d2f114fe6,17,5,cpp|csharp|kotlin|swift|zig,cpp:explicit_object_parameter_declaration|cpp:_splice_specialization_specifier|zig:if_statement|zig:labeled_type_expression|zig:builtin_function|csharp:class_declaration|csharp:struct_declaration|csharp:interface_declaration|csharp:record_declaration|csharp:constructor_declaration|csharp:generic_name|csharp:query_expression|kotlin:constructor_invocation|kotlin:_generic_call_suffix_no_trailing_lambda|swift:for_statement_await|swift:_throw_statement|swift:_binding_kind_and_pattern
a626d9213dff51ca8ae7,6,5,c|csharp|julia|python|rust,rust:_literal_pattern|c:type_specifier|python:pattern|julia:_operation|csharp:_array_base_type|csharp:_expression_statement_expression
1ce4d06e4add6469371d,5,5,c|cpp|csharp|java|zig,cpp:_empty_declaration|c:_empty_declaration|zig:expression_statement|csharp:expression_statement|java:expression_statement
abd668d9b452791d8332,5,5,csharp|go|java|nim|swift,go:blank_identifier|nim:blank_identifier|csharp:discard|java:underscore_pattern|swift:wildcard_pattern
4384a5d12d64099b855c,5,4,c|cpp|csharp|java,cpp:_old_style_parameter_list|c:_old_style_parameter_list|c:argument_list|csharp:parameter_list|java:record_pattern_body
79e52653bf251c53dd4a,5,4,c|cpp|csharp|java,cpp:preproc_argument_list|c:preproc_argument_list|csharp:argument_list|csharp:parenthesized_variable_designation|java:argument_list
4d203aefffaa5a1534e8,4,4,c|cpp|go|rust,go:_type_identifier|rust:_type_identifier|cpp:_type_identifier|c:_type_identifier
4dad19f3786a2dac3f73,4,4,c|cpp|java|python,cpp:translation_unit|c:translation_unit|python:module|java:program
acee32b2b435fa963d04,4,4,c|cpp|go|rust,go:_field_identifier|rust:_field_identifier|cpp:_field_identifier|c:_field_identifier
ade15b4a3aa9dbf3551d,4,4,csharp|java|kotlin|nim,nim:_expression|csharp:type|java:expression|kotlin:_binary_expression
b1633ca2433ec44ad83e,4,4,kotlin|python|rust|swift,rust:shorthand_field_initializer|python:block|kotlin:_annotated_delegation_specifier|swift:_annotated_inheritance_specifier
c2591cd9547893ed5073,4,4,csharp|go|kotlin|python,go:type_parameter_list|python:type_parameter|csharp:bracketed_argument_list|kotlin:indexing_suffix
ff58d9acef15b5ded578,4,4,c|cpp|python|r,r:dots|cpp:variadic_parameter|c:variadic_parameter|python:ellipsis
9b586892993e7b7cff40,10,3,kotlin|nim|swift,nim:_call_block_argument_list|kotlin:_call_suffix_no_trailing_lambda|swift:_local_property_declaration|swift:_local_typealias_declaration|swift:_local_function_declaration|swift:_local_class_declaration|swift:property_declaration|swift:typealias_declaration|swift:class_declaration|swift:_possibly_async_binding_pattern_kind
4ade28878a6f69caadad,6,3,c|cpp|csharp,cpp:preproc_else|cpp:preproc_else_in_field_declaration_list|cpp:preproc_else_in_block|c:preproc_else|c:preproc_else_in_field_declaration_list|csharp:preproc_else
8a1e28b4db44c7f448d3,6,3,csharp|java|julia,julia:curly_expression|csharp:_switch_expression_body|csharp:initializer_expression|csharp:_with_body|java:element_value_array_initializer|java:array_initializer
a0ce9b76f5ece565dc06,5,3,csharp|kotlin|python,python:expression|csharp:_ref_base_type|csharp:literal|kotlin:_declaration|kotlin:_modifier
a3b594f1f2f5d5e058b6,5,3,go|java|nim,go:field_name_list|go:expression_list|nim:refinement_list|nim:_concept_parameter_list|java:type_list
1323205515279382b852,4,3,cpp|csharp|kotlin,cpp:module_name|csharp:qualified_identifier|kotlin:user_type|kotlin:identifier
497362bb9d820bf9c2f3,4,3,go|python|swift,go:keyed_element|python:_key_value_pattern|python:pair|swift:_dictionary_literal_item
5375cd9b2866655da585,4,3,c|cpp|zig,cpp:bitfield_clause|cpp:module_partition|c:bitfield_clause|zig:break_label
729c2e68bc89cad27864,4,3,kotlin|python|swift,python:_compound_statement|python:parameter|kotlin:_literal_constant|swift:_basic_literal
a3e78e3d91fb55af0944,4,3,kotlin|python|zig,python:_tuple_pattern|zig:parameters|zig:arguments|kotlin:value_arguments
bdee62440ba58a9e5217,4,3,go|kotlin|swift,go:block|kotlin:class_body|swift:class_body|swift:protocol_body
c503c269bc84e56eaaaa,4,3,java|rust|swift,rust:_expression_ending_with_block|java:_literal|swift:_binary_expression|swift:_global_declaration
07746accf1086ba9cfd5,3,3,c|cpp|java,cpp:_type_definition_declarators|c:_type_definition_declarators|java:_variable_declarator_list
13f511473b2e54785e6d,3,3,c|cpp|csharp,cpp:break_statement|c:break_statement|csharp:break_statement
18122d995a5c72a8f40e,3,3,csharp|java|kotlin,csharp:labeled_statement|java:labeled_statement|kotlin:parameter
27255186ed35c90816e5,3,3,c|cpp|csharp,cpp:preproc_directive|c:preproc_directive|csharp:preproc_directive
32bb6627dd2673a9f056,3,3,c|cpp|java,cpp:do_statement|c:do_statement|java:do_statement
52afe7d542265c1b6320,3,3,csharp|java|kotlin,csharp:null_literal|java:null_literal|kotlin:null_literal
608d3cad07310d2e49ef,3,3,c|cpp|java,cpp:switch_statement|c:switch_statement|java:switch_expression
782c10243ec38b36e0c7,3,3,c|cpp|java,cpp:while_statement|c:while_statement|java:while_statement
7b2423b137b2bdd0b3c2,3,3,csharp|go|rust,go:empty_statement|rust:empty_statement|csharp:empty_statement
ae22f5c77018561fa149,3,3,csharp|java|kotlin,csharp:finally_clause|java:finally_clause|kotlin:finally_block
bc4c4d5a36043fec1ebe,3,3,c|cpp|java,cpp:attributed_statement|c:attributed_statement|java:annotated_type
c15fa1d62e60e797ad46,3,3,c|cpp|csharp,cpp:preproc_arg|c:preproc_arg|csharp:preproc_arg
d458415e97c316cbd2e0,3,3,c|cpp|csharp,cpp:continue_statement|c:continue_statement|csharp:continue_statement
e03298ff299d6d70ebcb,3,3,julia|kotlin|python,python:if_clause|julia:if_clause|kotlin:guard_condition
f276f80c84c1920e31b0,3,3,c|cpp|zig,cpp:field_designator|c:field_designator|zig:anonymous_struct_initializer
4e84687b2e083630f0fe,8,2,kotlin|swift,kotlin:import_list|kotlin:type_projection_modifiers|kotlin:type_modifiers|kotlin:type_parameter_modifiers|swift:precedence_group_attributes|swift:parameter_modifiers|swift:type_modifiers|swift:type_parameter_modifiers
6c3d1988472aa3b3b8b9,6,2,c|cpp,cpp:attributed_declarator|cpp:attributed_field_declarator|cpp:attributed_type_declarator|c:attributed_declarator|c:attributed_field_declarator|c:attributed_type_declarator
97a8f233159909f6eb83,6,2,c|cpp,cpp:parenthesized_declarator|cpp:parenthesized_field_declarator|cpp:parenthesized_type_declarator|c:parenthesized_declarator|c:parenthesized_field_declarator|c:parenthesized_type_declarator
a3b8a6f43d34d8c3b5a4,6,2,c|cpp,cpp:array_declarator|cpp:array_field_declarator|cpp:array_type_declarator|c:array_declarator|c:array_field_declarator|c:array_type_declarator
d6271b0f285566f244a9,6,2,c|cpp,cpp:pointer_declarator|cpp:pointer_field_declarator|cpp:pointer_type_declarator|c:pointer_declarator|c:pointer_field_declarator|c:pointer_type_declarator
04da120c4f2dbbb9a561,4,2,kotlin|python,python:_parameters|python:_patterns|kotlin:_enum_entries|kotlin:lambda_parameters
707d72d52104d48fb343,4,2,c|cpp,cpp:gnu_asm_output_operand_list|cpp:gnu_asm_input_operand_list|c:gnu_asm_output_operand_list|c:gnu_asm_input_operand_list
8fcdf13b74261f4e5682,4,2,c|cpp,cpp:gnu_asm_output_operand|cpp:gnu_asm_input_operand|c:gnu_asm_output_operand|c:gnu_asm_input_operand
03c892efea649a05e9f9,3,2,c|cpp,cpp:preproc_unary_expression|c:preproc_unary_expression|c:unary_expression
361c399c7ed88c435f71,3,2,java|python,python:wildcard_import|python:keyword_separator|java:asterisk
711fdf9d7099a62fd252,3,2,c|cpp,cpp:preproc_elif_in_field_declaration_list|cpp:preproc_elif_in_block|c:preproc_elif_in_field_declaration_list
7145fb5fc611ec624429,3,2,nim|swift,nim:_declaration|swift:_unary_expression|swift:_type_level_declaration
7c9db981152af71a2c75,3,2,c|cpp,cpp:for_statement|cpp:for_range_loop|c:for_statement
87a1af46ecb883c8cdc9,3,2,c|cpp,cpp:preproc_elifdef_in_field_declaration_list|cpp:preproc_elifdef_in_block|c:preproc_elifdef_in_field_declaration_list
9da704bf48b184705772,3,2,c|cpp,cpp:function_type_declarator|c:function_field_declarator|c:function_type_declarator
db5c061d6a00e42a1bdd,3,2,c|cpp,cpp:preproc_if_in_field_declaration_list|cpp:preproc_if_in_block|c:preproc_if_in_field_declaration_list
e496e4c7eb2f4ef91486,3,2,c|cpp,cpp:preproc_ifdef_in_field_declaration_list|cpp:preproc_ifdef_in_block|c:preproc_ifdef_in_field_declaration_list
f2709a3bd21414e0b39d,3,2,c|cpp,cpp:preproc_binary_expression|c:preproc_binary_expression|c:binary_expression
00af6a39cefb9c3e7f66,2,2,c|cpp,cpp:_declaration_specifiers|c:_declaration_specifiers
011e5b155f2ccb89e3a4,2,2,c|cpp,cpp:gnu_asm_goto_list|c:gnu_asm_goto_list
0327b0718d74831ef474,2,2,c|cpp,cpp:preproc_function_def|c:preproc_function_def
039e586e44b6c1ecbcf3,2,2,c|cpp,cpp:parameter_declaration|c:parameter_declaration
072683af00f216fe70e2,2,2,c|cpp,cpp:preproc_call_expression|c:preproc_call_expression
07ee00b61929dbf3e619,2,2,julia|nim,julia:macrocall_expression|nim:_post_expression_do_block
0968b00c851399e7a063,2,2,c|cpp,cpp:ms_based_modifier|c:ms_based_modifier
0c252ac7b0ecb020f3a7,2,2,c|cpp,cpp:preproc_if_in_enumerator_list_no_comma|c:preproc_if_in_enumerator_list_no_comma
11008ad9d0089bcc39b1,2,2,c|cpp,cpp:preproc_call|c:preproc_call
134e7c146fb988c232c5,2,2,kotlin|zig,zig:comment|kotlin:line_comment
1565a4d76689eeb11215,2,2,c|cpp,cpp:_field_declaration_declarator|c:_field_declaration_declarator
17a89f00114ffcf93fd3,2,2,c|cpp,cpp:goto_statement|c:goto_statement
1aba0fd30eb0030d0424,2,2,kotlin|swift,kotlin:parameter_with_optional_type|swift:type_parameter
1eb8a4a3ab56a6ed35fa,2,2,cpp|csharp,cpp:throw_statement|csharp:throw_statement
20202582c012d2923800,2,2,c|cpp,cpp:_old_style_function_declarator|c:_old_style_function_declarator
2155f4920f6f918dfa55,2,2,c|cpp,cpp:declaration|c:declaration
228735ca1aaba3447fe5,2,2,c|cpp,cpp:system_lib_string|c:system_lib_string
239566ba8f6a4fae496e,2,2,nim|zig,zig:source_file|nim:source_file
24cec4488269bf3292ac,2,2,c|cpp,cpp:attribute_specifier|c:attribute_specifier
28a690d7221d4f8b04d2,2,2,c|cpp,cpp:ms_call_modifier|c:ms_call_modifier
293abf3452f02ce34e7e,2,2,c|cpp,cpp:update_expression|c:update_expression
2949a5f8ecacb9157b3c,2,2,c|cpp,cpp:else_clause|c:else_clause
2b6bd0a8fe27bccf8086,2,2,c|cpp,cpp:preproc_elifdef_in_enumerator_list|c:preproc_elifdef_in_enumerator_list
2e3f9968e8975896e4d0,2,2,c|cpp,cpp:alignof_expression|c:alignof_expression
2e9fb5d9e4956547276a,2,2,c|rust,rust:call_expression|c:call_expression
2efb750bc3af21092a8e,2,2,julia|r,r:break|julia:break_statement
2fc6ed7f13630d500d5e,2,2,c|cpp,cpp:ms_declspec_modifier|c:ms_declspec_modifier
307b738e59f5fdf507aa,2,2,kotlin|swift,kotlin:bin_literal|swift:bin_literal
33878cde1e0333e9c29d,2,2,csharp|rust,rust:unsafe_block|csharp:unsafe_statement
3948f36857b5b14f3b54,2,2,c|cpp,cpp:conditional_expression|c:conditional_expression
3cd8a31e5cce18191d3d,2,2,rust|zig,rust:mut_pattern|zig:struct_initializer
3cf4eb6140280f8b70f2,2,2,c|cpp,cpp:_type_definition_type|c:_type_definition_type
3dbc9e7b0d66a5c7371c,2,2,c|cpp,cpp:identifier|c:identifier
