language,tree_sitter_node_type,tree_sitter_rule,evidence_class,uast_structure,uast_facets,uast_relations,uast_fields,execution_primitives,mapping_kind,support_case_count,counterexample_case_count,mapping_status
c,consequence,,ts_0006,,,,effects,,IMPLICATION,1,48,MAPPED
c,consequence,,ts_0006,,,,id,,IMPLICATION,1,48,MAPPED
c,consequence,,ts_0006,,,,kind,,IMPLICATION,1,48,MAPPED
c,consequence,,ts_0006,,,,members,,IMPLICATION,1,43,MAPPED
c,consequence,,ts_0006,,,,name,,IMPLICATION,1,39,MAPPED
c,consequence,,ts_0006,,,,operation,,IMPLICATION,1,48,MAPPED
c,consequence,,ts_0006,,,,type_origin,,IMPLICATION,1,48,MAPPED
c,consequence,,ts_0006,,,,type_ref,,IMPLICATION,1,48,MAPPED
c,consequence,,ts_0006,,,,value,,IMPLICATION,1,26,MAPPED
c,directive,,ts_0008,,,,effects,,IMPLICATION,1,48,MAPPED
c,directive,,ts_0008,,,,id,,IMPLICATION,1,48,MAPPED
c,directive,,ts_0008,,,,kind,,IMPLICATION,1,48,MAPPED
c,directive,,ts_0008,,,,operation,,IMPLICATION,1,48,MAPPED
c,directive,,ts_0008,,,,scope_id,,IMPLICATION,1,25,MAPPED
c,directive,,ts_0008,,,,type_origin,,IMPLICATION,1,48,MAPPED
c,directive,,ts_0008,,,,type_ref,,IMPLICATION,1,48,MAPPED
c,field,,ts_0006,,,,effects,,IMPLICATION,1,48,MAPPED
c,field,,ts_0006,,,,id,,IMPLICATION,1,48,MAPPED
c,field,,ts_0006,,,,kind,,IMPLICATION,1,48,MAPPED
c,field,,ts_0006,,,,members,,IMPLICATION,1,43,MAPPED
c,field,,ts_0006,,,,name,,IMPLICATION,1,39,MAPPED
c,field,,ts_0006,,,,operation,,IMPLICATION,1,48,MAPPED
c,field,,ts_0006,,,,type_origin,,IMPLICATION,1,48,MAPPED
c,field,,ts_0006,,,,type_ref,,IMPLICATION,1,48,MAPPED
c,field,,ts_0006,,,,value,,IMPLICATION,1,26,MAPPED
c,index,,ts_0009,,,,effects,,IMPLICATION,2,47,MAPPED
c,index,,ts_0009,,,,id,,IMPLICATION,2,47,MAPPED
c,index,,ts_0009,,,,kind,,IMPLICATION,2,47,MAPPED
c,index,,ts_0009,,,,members,,IMPLICATION,2,42,MAPPED
c,index,,ts_0009,,,,name,,IMPLICATION,2,38,MAPPED
c,index,,ts_0009,,,,operation,,IMPLICATION,2,47,MAPPED
c,index,,ts_0009,,,,type_origin,,IMPLICATION,2,47,MAPPED
c,index,,ts_0009,,,,type_ref,,IMPLICATION,2,47,MAPPED
c,index,,ts_0009,,,,value,,IMPLICATION,2,25,MAPPED
c,initializer,,ts_0010,,,,binding_refs,,IMPLICATION,1,2,MAPPED
