language,axis,feature,exact_vector_class,support_cases
c,facet,UASF_0051,uast_0001,49
c,facet,UASF_0181,uast_0002,4
c,facet,UASF_0182,uast_0003,6
c,facet,UASF_0217,uast_0004,20
c,facet,UASF_0219,uast_0005,42
c,facet,UASF_0220,uast_0006,8
c,facet,UASF_0221,uast_0007,9
c,facet,UASF_0224,uast_0008,23
c,facet,UASF_0225,uast_0009,35
c,facet,UASF_0231,uast_0010,2
c,facet,UASF_0236,uast_0011,1
c,field,arguments,uast_0007,9
c,field,binding_refs,uast_0012,3
c,field,body,uast_0013,1
c,field,branches,uast_0014,1
c,field,callee,uast_0015,3
c,field,condition,uast_0016,3
c,field,dispatch,uast_0017,8
c,field,effects,uast_0001,49
c,field,evaluation_order,uast_0018,7
c,field,id,uast_0001,49
c,field,kind,uast_0001,49
c,field,members,uast_0019,44
c,field,name,uast_0020,40
c,field,operands,uast_0021,25
c,field,operation,uast_0001,49
c,field,parameters,uast_0022,13
c,field,scope_id,uast_0023,26
c,field,type_origin,uast_0001,49
c,field,type_ref,uast_0001,49
c,field,value,uast_0024,27
cpp,facet,UASF_0051,uast_0025,139
cpp,facet,UASF_0054,uast_0026,2
cpp,facet,UASF_0179,uast_0026,2
cpp,facet,UASF_0181,uast_0027,13
cpp,facet,UASF_0182,uast_0028,9
cpp,facet,UASF_0217,uast_0029,75
cpp,facet,UASF_0219,uast_0030,108
cpp,facet,UASF_0220,uast_0031,26
cpp,facet,UASF_0221,uast_0032,26
cpp,facet,UASF_0224,uast_0033,55
cpp,facet,UASF_0225,uast_0034,78
cpp,facet,UASF_0231,uast_0035,6
cpp,facet,UASF_0236,uast_0036,1
cpp,facet,UASF_0304,uast_0037,1
cpp,field,arguments,uast_0038,21
cpp,field,binding_refs,uast_0039,10
cpp,field,body,uast_0040,1
cpp,field,branches,uast_0041,1
cpp,field,callee,uast_0042,14
cpp,field,condition,uast_0043,2
cpp,field,dispatch,uast_0044,21
cpp,field,effects,uast_0025,139
cpp,field,evaluation_order,uast_0045,20
cpp,field,id,uast_0025,139
cpp,field,kind,uast_0025,139
cpp,field,members,uast_0046,126
cpp,field,name,uast_0047,92
cpp,field,operands,uast_0048,59
cpp,field,operation,uast_0025,139
cpp,field,parameters,uast_0049,42
cpp,field,scope_id,uast_0050,54
cpp,field,type_origin,uast_0025,139
cpp,field,type_ref,uast_0025,139
cpp,field,value,uast_0051,63
cpp,relation,binding.declares,uast_0031,26
cpp,relation,binding.refers,uast_0039,10
cpp,relation,call.calls,uast_0042,14
cpp,relation,control.false,uast_0041,1
cpp,relation,control.next,uast_0043,2
cpp,relation,control.true,uast_0041,1
cpp,relation,data.def_use,uast_0052,61
cpp,relation,data.operand,uast_0048,59
cpp,relation,effect.has,uast_0053,82
cpp,relation,name.resolves,uast_0039,10
cpp,relation,operation.kind,uast_0054,20
cpp,relation,syntax.child,uast_0046,126
cpp,relation,type.has,uast_0055,7
cpp,relation,type.origin,uast_0055,7
cpp,structure,AddressOf,uast_0056,2
cpp,structure,AggregateExpr,uast_0057,16
cpp,structure,AssignStmt,uast_0031,26
cpp,structure,CallExpr,uast_0032,26
cpp,structure,ClosureExpr,uast_0029,75
cpp,structure,Deref,uast_0058,5
cpp,structure,ForEachStmt,uast_0026,2
cpp,structure,IfStmt,uast_0059,7
cpp,structure,IndexExpr,uast_0060,10
cpp,structure,LiteralExpr,uast_0061,46
cpp,structure,LoopStmt,uast_0062,2
cpp,structure,MemberAccessExpr,uast_0063,5
cpp,structure,ModuleDecl,uast_0037,1
cpp,structure,NilLiteral,uast_0036,1
cpp,structure,OperationExpr,uast_0064,70
cpp,structure,ReturnStmt,uast_0027,13
cpp,structure,Scope,uast_0025,139
cpp,structure,SymbolRef,uast_0030,108
