language,axis,feature,exact_vector_class,support_cases
c,field,alternative,ts_0001,5
c,field,argument,ts_0002,4
c,field,arguments,ts_0003,4
c,field,body,ts_0004,12
c,field,condition,ts_0005,6
c,field,consequence,ts_0006,1
c,field,declarator,ts_0007,14
c,field,directive,ts_0008,1
c,field,field,ts_0006,1
c,field,function,ts_0003,4
c,field,index,ts_0009,2
c,field,initializer,ts_0010,1
c,field,left,ts_0011,4
c,field,name,ts_0012,12
c,field,parameters,ts_0013,9
c,field,path,ts_0014,2
c,field,right,ts_0011,4
c,field,type,ts_0007,14
c,field,underlying_type,ts_0015,1
c,field,update,ts_0010,1
c,field,value,ts_0016,8
c,node,abstract_array_declarator,ts_0017,1
c,node,abstract_function_declarator,ts_0018,1
c,node,abstract_pointer_declarator,ts_0019,8
c,node,alignas_qualifier,ts_0020,1
c,node,alignof_expression,ts_0021,1
c,node,argument_list,ts_0022,24
c,node,array_declarator,ts_0023,4
c,node,assignment_expression,ts_0024,12
c,node,attribute,ts_0025,2
c,node,attribute_declaration,ts_0025,2
c,node,attribute_specifier,ts_0026,4
c,node,attributed_declarator,ts_0027,1
c,node,attributed_statement,ts_0025,2
c,node,binary_expression,ts_0028,12
c,node,bitfield_clause,ts_0029,1
c,node,break_statement,ts_0030,1
c,node,call_expression,ts_0031,23
c,node,case_statement,ts_0032,3
c,node,cast_expression,ts_0033,3
c,node,char_literal,ts_0034,4
c,node,character,ts_0034,4
c,node,comma_expression,ts_0035,4
c,node,comment,ts_0036,15
c,node,compound_literal_expression,ts_0037,2
c,node,compound_statement,ts_0038,48
c,node,concatenated_string,ts_0039,6
c,node,conditional_expression,ts_0040,2
c,node,declaration,ts_0041,37
c,node,declaration_list,ts_0042,1
c,node,do_statement,ts_0043,2
c,node,else_clause,ts_0044,2
c,node,enum_specifier,ts_0045,3
c,node,enumerator,ts_0045,3
c,node,enumerator_list,ts_0045,3
c,node,escape_sequence,ts_0046,7
c,node,expression_statement,ts_0047,43
c,node,extension_expression,ts_0048,1
c,node,false,ts_0049,1
c,node,field_declaration,ts_0050,9
c,node,field_declaration_list,ts_0051,10
c,node,field_designator,ts_0017,1
c,node,field_expression,ts_0052,4
c,node,field_identifier,ts_0053,15
c,node,for_statement,ts_0054,4
c,node,function_declarator,ts_0055,52
c,node,function_definition,ts_0038,48
c,node,generic_expression,ts_0056,1
c,node,gnu_asm_clobber_list,ts_0057,2
c,node,gnu_asm_expression,ts_0058,4
c,node,gnu_asm_input_operand,ts_0057,2
c,node,gnu_asm_input_operand_list,ts_0057,2
c,node,gnu_asm_output_operand,ts_0057,2
c,node,gnu_asm_output_operand_list,ts_0057,2
c,node,gnu_asm_qualifier,ts_0059,1
c,node,goto_statement,ts_0060,2
c,node,identifier,ts_0061,79
c,node,if_statement,ts_0062,4
c,node,init_declarator,ts_0063,12
c,node,initializer_list,ts_0064,3
c,node,initializer_pair,ts_0017,1
c,node,labeled_statement,ts_0060,2
c,node,linkage_specification,ts_0042,1
c,node,macro_type_specifier,ts_0065,2
c,node,ms_call_modifier,ts_0066,1
c,node,ms_declspec_modifier,ts_0067,1
c,node,ms_pointer_modifier,ts_0068,2
c,node,ms_restrict_modifier,ts_0068,2
c,node,ms_signed_ptr_modifier,ts_0010,1
c,node,ms_unaligned_ptr_modifier,ts_0010,1
c,node,ms_unsigned_ptr_modifier,ts_0010,1
c,node,null,ts_0049,1
c,node,number_literal,ts_0069,35
c,node,offsetof_expression,ts_0070,1
c,node,parameter_declaration,ts_0071,17
c,node,parameter_list,ts_0055,52
c,node,parenthesized_declarator,ts_0072,2
c,node,parenthesized_expression,ts_0073,11
c,node,pointer_declarator,ts_0074,15
c,node,pointer_expression,ts_0075,4
c,node,preproc_arg,ts_0076,7
c,node,preproc_call,ts_0077,2
c,node,preproc_def,ts_0078,4
c,node,preproc_defined,ts_0079,3
c,node,preproc_directive,ts_0077,2
c,node,preproc_elif,ts_0080,4
c,node,preproc_elifdef,ts_0081,2
c,node,preproc_else,ts_0082,7
c,node,preproc_function_def,ts_0083,3
c,node,preproc_if,ts_0084,5
c,node,preproc_ifdef,ts_0085,5
c,node,preproc_include,ts_0014,2
c,node,preproc_params,ts_0083,3
c,node,primitive_type,ts_0086,73
c,node,return_statement,ts_0087,9
c,node,seh_except_clause,ts_0088,1
c,node,seh_finally_clause,ts_0088,1
c,node,seh_leave_statement,ts_0088,1
c,node,seh_try_statement,ts_0088,1
c,node,sized_type_specifier,ts_0089,6
c,node,sizeof_expression,ts_0018,1
c,node,statement_identifier,ts_0060,2
c,node,storage_class_specifier,ts_0090,6
c,node,string_content,ts_0091,16
c,node,string_literal,ts_0091,16
c,node,struct_specifier,ts_0092,13
c,node,subscript_designator,ts_0017,1
c,node,subscript_expression,ts_0093,4
c,node,subscript_range_designator,ts_0017,1
c,node,switch_statement,ts_0032,3
c,node,system_lib_string,ts_0014,2
c,node,translation_unit,ts_0094,85
c,node,true,ts_0095,2
c,node,type_definition,ts_0096,4
c,node,type_descriptor,ts_0097,12
c,node,type_identifier,ts_0098,24
c,node,type_qualifier,ts_0099,12
c,node,unary_expression,ts_0100,5
c,node,union_specifier,ts_0101,4
c,node,update_expression,ts_0102,6
c,node,variadic_parameter,ts_0103,2
c,node,while_statement,ts_0104,2
cpp,field,alternative,ts_0105,4
cpp,field,argument,ts_0106,8
cpp,field,arguments,ts_0107,10
cpp,field,base,ts_0108,1
cpp,field,body,ts_0109,23
cpp,field,captures,ts_0110,1
cpp,field,condition,ts_0111,7
cpp,field,consequence,ts_0112,3
cpp,field,declarator,ts_0113,22
cpp,field,default_type,ts_0114,1
cpp,field,default_value,ts_0115,1
cpp,field,delimiter,ts_0116,1
cpp,field,directive,ts_0117,1
cpp,field,field,ts_0118,2
cpp,field,function,ts_0119,6
cpp,field,header,ts_0120,1
cpp,field,indices,ts_0121,2
cpp,field,initializer,ts_0122,3
cpp,field,left,ts_0123,8
cpp,field,message,ts_0116,1
cpp,field,name,ts_0124,25
cpp,field,parameters,ts_0125,19
cpp,field,partition,ts_0126,2
cpp,field,path,ts_0127,2
cpp,field,pattern,ts_0110,1
cpp,field,right,ts_0128,9
cpp,field,scope,ts_0129,7
cpp,field,size,ts_0110,1
cpp,field,type,ts_0130,24
cpp,field,update,ts_0131,1
cpp,field,value,ts_0132,14
cpp,node,abstract_array_declarator,ts_0133,1
cpp,node,abstract_function_declarator,ts_0134,6
cpp,node,abstract_pointer_declarator,ts_0135,12
cpp,node,abstract_reference_declarator,ts_0136,13
cpp,node,access_specifier,ts_0137,10
cpp,node,alias_declaration,ts_0138,5
cpp,node,alignas_qualifier,ts_0139,1
cpp,node,alignof_expression,ts_0140,2
cpp,node,annotation,ts_0141,1
cpp,node,argument_list,ts_0142,63
cpp,node,array_declarator,ts_0143,4
cpp,node,assignment_expression,ts_0144,19
cpp,node,attribute,ts_0145,11
cpp,node,attribute_declaration,ts_0146,12
cpp,node,attribute_specifier,ts_0147,5
cpp,node,attributed_declarator,ts_0148,2
cpp,node,attributed_statement,ts_0149,3
cpp,node,auto,ts_0150,20
cpp,node,base_class_clause,ts_0151,8
cpp,node,binary_expression,ts_0152,31
cpp,node,bitfield_clause,ts_0153,1
cpp,node,break_statement,ts_0154,2
cpp,node,call_expression,ts_0155,54
cpp,node,case_statement,ts_0156,5
cpp,node,cast_expression,ts_0157,4
cpp,node,catch_clause,ts_0158,6
cpp,node,char_literal,ts_0159,4
cpp,node,character,ts_0159,4
cpp,node,class_specifier,ts_0160,24
cpp,node,co_await_expression,ts_0161,1
cpp,node,co_return_statement,ts_0162,2
cpp,node,co_yield_statement,ts_0162,2
cpp,node,comma_expression,ts_0163,5
cpp,node,comment,ts_0164,26
cpp,node,compound_literal_expression,ts_0165,11
cpp,node,compound_requirement,ts_0166,3
cpp,node,compound_statement,ts_0167,105
cpp,node,concatenated_string,ts_0168,7
cpp,node,concept_definition,ts_0169,6
cpp,node,condition_clause,ts_0170,15
cpp,node,conditional_expression,ts_0171,1
cpp,node,consteval_block_declaration,ts_0172,1
cpp,node,constraint_conjunction,ts_0173,1
cpp,node,constraint_disjunction,ts_0173,1
cpp,node,declaration,ts_0174,79
cpp,node,declaration_list,ts_0175,3
cpp,node,decltype,ts_0176,4
cpp,node,default_method_clause,ts_0177,2
cpp,node,delete_expression,ts_0178,2
cpp,node,delete_method_clause,ts_0179,1
cpp,node,dependent_name,ts_0180,3
cpp,node,dependent_type,ts_0181,6
cpp,node,destructor_name,ts_0182,6
cpp,node,do_statement,ts_0183,2
cpp,node,else_clause,ts_0184,3
cpp,node,enum_specifier,ts_0185,4
cpp,node,enumerator,ts_0185,4
cpp,node,enumerator_list,ts_0185,4
cpp,node,escape_sequence,ts_0186,7
cpp,node,expansion_statement,ts_0187,1
cpp,node,explicit_function_specifier,ts_0188,5
cpp,node,explicit_object_parameter_declaration,ts_0189,1
cpp,node,export_declaration,ts_0190,4
cpp,node,expression_statement,ts_0191,69
cpp,node,extension_expression,ts_0192,1
cpp,node,false,ts_0193,7
cpp,node,field_declaration,ts_0194,25
cpp,node,field_declaration_list,ts_0195,44
cpp,node,field_designator,ts_0196,2
cpp,node,field_expression,ts_0197,17
cpp,node,field_identifier,ts_0198,42
cpp,node,field_initializer,ts_0199,7
cpp,node,field_initializer_list,ts_0199,7
cpp,node,fold_expression,ts_0200,3
cpp,node,for_range_loop,ts_0201,4
cpp,node,for_statement,ts_0202,5
cpp,node,friend_declaration,ts_0203,2
cpp,node,function_declarator,ts_0204,117
cpp,node,function_definition,ts_0205,103
cpp,node,generic_expression,ts_0206,1
cpp,node,global_module_fragment_declaration,ts_0207,1
cpp,node,gnu_asm_clobber_list,ts_0208,1
cpp,node,gnu_asm_expression,ts_0209,3
