failure_atom,exact_column_class,observations
LEXER,failure_column_001,18
PARSER,failure_column_002,554
DECLARATION,failure_column_003,283
EXPRESSION,failure_column_004,441
TYPE,failure_column_005,254
CONTROL_FLOW,failure_column_006,75
CONTAINER,failure_column_007,243
INDEX_SLICE,failure_column_008,18
CALL,failure_column_009,245
FUNCTION,failure_column_010,213
CLOSURE,failure_column_011,22
AGGREGATE,failure_column_012,246
COMPREHENSION,failure_column_013,3
PATTERN,failure_column_014,112
EXCEPTION,failure_column_015,4
ASYNC,failure_column_016,2
GENERIC,failure_column_017,82
RELATION,failure_column_018,1
FIELD,failure_column_019,164
SEMANTIC_LOWERING,failure_column_020,2
UAST_VALIDATION,failure_column_021,0
