language,rule,path,operation,name,value
r,program,$,SEQ,,
r,program,$.members[0],SYMBOL,_start,
r,program,$.members[1],REPEAT,,
r,program,$.members[1].content,CHOICE,,
r,program,$.members[1].content.members[0],SYMBOL,_expression,
r,program,$.members[1].content.members[1],SYMBOL,_semicolon,
r,program,$.members[1].content.members[2],SYMBOL,_newline,
r,function_definition,$,PREC_LEFT,,2
r,function_definition,$.content,SEQ,,
r,function_definition,$.content.members[0],FIELD,name,
r,function_definition,$.content.members[0].content,CHOICE,,
r,function_definition,$.content.members[0].content.members[0],STRING,,"""\\"""
r,function_definition,$.content.members[0].content.members[1],STRING,,"""function"""
r,function_definition,$.content.members[1],REPEAT,,
r,function_definition,$.content.members[1].content,SYMBOL,_newline,
r,function_definition,$.content.members[2],FIELD,parameters,
r,function_definition,$.content.members[2].content,SYMBOL,parameters,
r,function_definition,$.content.members[3],REPEAT,,
r,function_definition,$.content.members[3].content,SYMBOL,_newline,
r,function_definition,$.content.members[4],FIELD,body,
r,function_definition,$.content.members[4].content,SYMBOL,_expression,
r,parameters,$,SEQ,,
r,parameters,$.members[0],FIELD,open,
r,parameters,$.members[0].content,SYMBOL,_open_parenthesis,
r,parameters,$.members[1],CHOICE,,
r,parameters,$.members[1].members[0],SEQ,,
r,parameters,$.members[1].members[0].members[0],FIELD,parameter,
r,parameters,$.members[1].members[0].members[0].content,SYMBOL,parameter,
r,parameters,$.members[1].members[0].members[1],REPEAT,,
r,parameters,$.members[1].members[0].members[1].content,SEQ,,
r,parameters,$.members[1].members[0].members[1].content.members[0],SYMBOL,comma,
r,parameters,$.members[1].members[0].members[1].content.members[1],FIELD,parameter,
r,parameters,$.members[1].members[0].members[1].content.members[1].content,SYMBOL,parameter,
r,parameters,$.members[1].members[1],BLANK,,
r,parameters,$.members[2],FIELD,close,
r,parameters,$.members[2].content,SYMBOL,_close_parenthesis,
r,parameter,$,CHOICE,,
r,parameter,$.members[0],SYMBOL,_parameter_with_default,
r,parameter,$.members[1],SYMBOL,_parameter_without_default,
r,_parameter_with_default,$,SEQ,,
r,_parameter_with_default,$.members[0],SYMBOL,_parameter_name,
r,_parameter_with_default,$.members[1],STRING,,"""="""
r,_parameter_with_default,$.members[2],FIELD,default,
r,_parameter_with_default,$.members[2].content,SYMBOL,_expression,
r,_parameter_without_default,$,SYMBOL,_parameter_name,
r,_parameter_name,$,FIELD,name,
r,_parameter_name,$.content,SYMBOL,_identifier,
r,if_statement,$,PREC_RIGHT,,3
r,if_statement,$.content,SEQ,,
r,if_statement,$.content.members[0],STRING,,"""if"""
r,if_statement,$.content.members[1],REPEAT,,
r,if_statement,$.content.members[1].content,SYMBOL,_newline,
r,if_statement,$.content.members[2],FIELD,open,
r,if_statement,$.content.members[2].content,SYMBOL,_open_parenthesis,
r,if_statement,$.content.members[3],FIELD,condition,
r,if_statement,$.content.members[3].content,SYMBOL,_expression,
r,if_statement,$.content.members[4],FIELD,close,
r,if_statement,$.content.members[4].content,SYMBOL,_close_parenthesis,
r,if_statement,$.content.members[5],REPEAT,,
r,if_statement,$.content.members[5].content,SYMBOL,_newline,
r,if_statement,$.content.members[6],FIELD,consequence,
r,if_statement,$.content.members[6].content,SYMBOL,_expression,
r,if_statement,$.content.members[7],CHOICE,,
r,if_statement,$.content.members[7].members[0],SEQ,,
r,if_statement,$.content.members[7].members[0].members[0],SYMBOL,_else,
r,if_statement,$.content.members[7].members[0].members[1],REPEAT,,
r,if_statement,$.content.members[7].members[0].members[1].content,SYMBOL,_newline,
r,if_statement,$.content.members[7].members[0].members[2],FIELD,alternative,
r,if_statement,$.content.members[7].members[0].members[2].content,SYMBOL,_expression,
r,if_statement,$.content.members[7].members[1],BLANK,,
r,for_statement,$,PREC_LEFT,,2
r,for_statement,$.content,SEQ,,
r,for_statement,$.content.members[0],STRING,,"""for"""
r,for_statement,$.content.members[1],REPEAT,,
r,for_statement,$.content.members[1].content,SYMBOL,_newline,
r,for_statement,$.content.members[2],FIELD,open,
r,for_statement,$.content.members[2].content,SYMBOL,_open_parenthesis,
r,for_statement,$.content.members[3],FIELD,variable,
r,for_statement,$.content.members[3].content,SYMBOL,_identifier,
r,for_statement,$.content.members[4],STRING,,"""in"""
r,for_statement,$.content.members[5],FIELD,sequence,
r,for_statement,$.content.members[5].content,SYMBOL,_expression,
r,for_statement,$.content.members[6],FIELD,close,
r,for_statement,$.content.members[6].content,SYMBOL,_close_parenthesis,
r,for_statement,$.content.members[7],REPEAT,,
r,for_statement,$.content.members[7].content,SYMBOL,_newline,
r,for_statement,$.content.members[8],FIELD,body,
r,for_statement,$.content.members[8].content,SYMBOL,_expression,
r,while_statement,$,PREC_LEFT,,2
r,while_statement,$.content,SEQ,,
r,while_statement,$.content.members[0],STRING,,"""while"""
r,while_statement,$.content.members[1],REPEAT,,
r,while_statement,$.content.members[1].content,SYMBOL,_newline,
r,while_statement,$.content.members[2],FIELD,open,
r,while_statement,$.content.members[2].content,SYMBOL,_open_parenthesis,
r,while_statement,$.content.members[3],FIELD,condition,
r,while_statement,$.content.members[3].content,SYMBOL,_expression,
r,while_statement,$.content.members[4],FIELD,close,
r,while_statement,$.content.members[4].content,SYMBOL,_close_parenthesis,
r,while_statement,$.content.members[5],REPEAT,,
r,while_statement,$.content.members[5].content,SYMBOL,_newline,
r,while_statement,$.content.members[6],FIELD,body,
r,while_statement,$.content.members[6].content,SYMBOL,_expression,
r,repeat_statement,$,PREC_LEFT,,2
r,repeat_statement,$.content,SEQ,,
r,repeat_statement,$.content.members[0],STRING,,"""repeat"""
