language,symbol,kind,source_rule
r,_expression,NONTERMINAL,program
r,_newline,NONTERMINAL,program
r,_semicolon,NONTERMINAL,program
r,_start,NONTERMINAL,program
r,_expression,NONTERMINAL,function_definition
r,_newline,NONTERMINAL,function_definition
r,parameters,NONTERMINAL,function_definition
r,_close_parenthesis,NONTERMINAL,parameters
r,_open_parenthesis,NONTERMINAL,parameters
r,comma,NONTERMINAL,parameters
r,parameter,NONTERMINAL,parameters
r,_parameter_with_default,NONTERMINAL,parameter
r,_parameter_without_default,NONTERMINAL,parameter
r,_expression,NONTERMINAL,_parameter_with_default
r,_parameter_name,NONTERMINAL,_parameter_with_default
r,_parameter_name,NONTERMINAL,_parameter_without_default
r,_identifier,NONTERMINAL,_parameter_name
r,_close_parenthesis,NONTERMINAL,if_statement
r,_else,NONTERMINAL,if_statement
r,_expression,NONTERMINAL,if_statement
r,_newline,NONTERMINAL,if_statement
r,_open_parenthesis,NONTERMINAL,if_statement
r,_close_parenthesis,NONTERMINAL,for_statement
r,_expression,NONTERMINAL,for_statement
r,_identifier,NONTERMINAL,for_statement
r,_newline,NONTERMINAL,for_statement
r,_open_parenthesis,NONTERMINAL,for_statement
r,_close_parenthesis,NONTERMINAL,while_statement
r,_expression,NONTERMINAL,while_statement
r,_newline,NONTERMINAL,while_statement
r,_open_parenthesis,NONTERMINAL,while_statement
r,_expression,NONTERMINAL,repeat_statement
r,_newline,NONTERMINAL,repeat_statement
r,_close_brace,NONTERMINAL,braced_expression
r,_expression,NONTERMINAL,braced_expression
r,_newline,NONTERMINAL,braced_expression
r,_open_brace,NONTERMINAL,braced_expression
r,_semicolon,NONTERMINAL,braced_expression
r,_close_parenthesis,NONTERMINAL,parenthesized_expression
r,_expression,NONTERMINAL,parenthesized_expression
r,_open_parenthesis,NONTERMINAL,parenthesized_expression
r,_expression,NONTERMINAL,call
r,call_arguments,NONTERMINAL,call
r,_expression,NONTERMINAL,subset
r,subset_arguments,NONTERMINAL,subset
r,_expression,NONTERMINAL,subset2
r,subset2_arguments,NONTERMINAL,subset2
r,_close_parenthesis,NONTERMINAL,call_arguments
r,_open_parenthesis,NONTERMINAL,call_arguments
r,argument,NONTERMINAL,call_arguments
r,comma,NONTERMINAL,call_arguments
r,_close_bracket,NONTERMINAL,subset_arguments
r,_open_bracket,NONTERMINAL,subset_arguments
r,argument,NONTERMINAL,subset_arguments
r,comma,NONTERMINAL,subset_arguments
r,_close_bracket2,NONTERMINAL,subset2_arguments
r,_open_bracket2,NONTERMINAL,subset2_arguments
r,argument,NONTERMINAL,subset2_arguments
r,comma,NONTERMINAL,subset2_arguments
r,_argument_named,NONTERMINAL,argument
r,_argument_unnamed,NONTERMINAL,argument
r,_argument_name_string_or_identifier_or_null,NONTERMINAL,_argument_named
r,_argument_value,NONTERMINAL,_argument_named
r,_argument_value,NONTERMINAL,_argument_unnamed
r,_expression,NONTERMINAL,_argument_value
r,_expression,NONTERMINAL,unary_operator
r,_newline,NONTERMINAL,unary_operator
r,_expression,NONTERMINAL,binary_operator
r,_newline,NONTERMINAL,binary_operator
r,_expression,NONTERMINAL,extract_operator
r,_newline,NONTERMINAL,extract_operator
r,_string_or_identifier,NONTERMINAL,extract_operator
r,_string_or_identifier,NONTERMINAL,namespace_operator
r,_float_literal,NONTERMINAL,integer
r,_float_literal,NONTERMINAL,complex
r,_float_literal,NONTERMINAL,float
r,_hex_literal,NONTERMINAL,_float_literal
r,_number_literal,NONTERMINAL,_float_literal
r,_double_quoted_string,NONTERMINAL,string
r,_raw_string,NONTERMINAL,string
r,_single_quoted_string,NONTERMINAL,string
r,_raw_string_close,NONTERMINAL,_raw_string
r,_raw_string_content,NONTERMINAL,_raw_string
r,_raw_string_open,NONTERMINAL,_raw_string
r,_single_quoted_string_content,NONTERMINAL,_single_quoted_string
r,_double_quoted_string_content,NONTERMINAL,_double_quoted_string
r,escape_sequence,NONTERMINAL,_single_quoted_string_content
r,escape_sequence,NONTERMINAL,_double_quoted_string_content
r,dot_dot_i,NONTERMINAL,_identifier
r,dots,NONTERMINAL,_identifier
r,identifier,NONTERMINAL,_identifier
r,_identifier,NONTERMINAL,_string_or_identifier
r,string,NONTERMINAL,_string_or_identifier
r,_string_or_identifier,NONTERMINAL,_argument_name_string_or_identifier_or_null
r,null,NONTERMINAL,_argument_name_string_or_identifier_or_null
r,binary_operator,NONTERMINAL,_expression
r,braced_expression,NONTERMINAL,_expression
r,break,NONTERMINAL,_expression
r,call,NONTERMINAL,_expression
r,complex,NONTERMINAL,_expression
r,dot_dot_i,NONTERMINAL,_expression
r,dots,NONTERMINAL,_expression
r,extract_operator,NONTERMINAL,_expression
r,false,NONTERMINAL,_expression
r,float,NONTERMINAL,_expression
r,for_statement,NONTERMINAL,_expression
r,function_definition,NONTERMINAL,_expression
r,identifier,NONTERMINAL,_expression
r,if_statement,NONTERMINAL,_expression
r,inf,NONTERMINAL,_expression
r,integer,NONTERMINAL,_expression
r,na,NONTERMINAL,_expression
r,namespace_operator,NONTERMINAL,_expression
r,nan,NONTERMINAL,_expression
r,next,NONTERMINAL,_expression
r,null,NONTERMINAL,_expression
r,parenthesized_expression,NONTERMINAL,_expression
r,repeat_statement,NONTERMINAL,_expression
r,string,NONTERMINAL,_expression
r,subset,NONTERMINAL,_expression
r,subset2,NONTERMINAL,_expression
r,true,NONTERMINAL,_expression
r,unary_operator,NONTERMINAL,_expression
r,while_statement,NONTERMINAL,_expression
r,_external_else,NONTERMINAL,_else
r,_external_open_parenthesis,NONTERMINAL,_open_parenthesis
r,_external_close_parenthesis,NONTERMINAL,_close_parenthesis
r,_external_open_brace,NONTERMINAL,_open_brace
r,_external_close_brace,NONTERMINAL,_close_brace
r,_external_open_bracket,NONTERMINAL,_open_bracket
r,_external_close_bracket,NONTERMINAL,_close_bracket
r,_external_open_bracket2,NONTERMINAL,_open_bracket2
r,_external_close_bracket2,NONTERMINAL,_close_bracket2
go,_statement,NONTERMINAL,source_file
go,_top_level_declaration,NONTERMINAL,source_file
go,function_declaration,NONTERMINAL,_top_level_declaration
go,import_declaration,NONTERMINAL,_top_level_declaration
go,method_declaration,NONTERMINAL,_top_level_declaration
go,package_clause,NONTERMINAL,_top_level_declaration
go,_package_identifier,NONTERMINAL,package_clause
