language,repository,repository_url,default_branch,commit_sha,archive_sha256,license_files,grammar_name,rule_count,node_type_count,has_external_scanner,tree_sitter_metadata_json
r,r-lib/tree-sitter-r,https://github.com/r-lib/tree-sitter-r,main,58a22794466c0fc15b0d3b40531db751593721e8,a23a9ce581552d694b6d0c49c72728f53a6e6c218b63fb57ae60a0e44d5c9225,LICENSE,r,66,95,True,"{""grammars"":[{""name"":""r"",""camelcase"":""R"",""scope"":""source.R"",""path"":""."",""file-types"":[""R"",""r""],""highlights"":""queries/highlights.scm"",""tags"":""queries/tags.scm"",""injection-regex"":""^[Rr]$"",""first-line-regex"":""#!.*\\bRscript$""}],""metadata"":{""version"":""1.3.0"",""license"":""MIT"",""description"":""R grammar for tree-sitter"",""authors"":[{""name"":""Davis Vaughan"",""email"":""davis@posit.co""},{""name"":""Kevin Ushey"",""email"":""kevin@posit.co""},{""name"":""Jim Hester"",""email"":""james.f.hester@gmail.com""}],""links"":{""repository"":""https://github.com/r-lib/tree-sitter-r""}},""bindings"":{""c"":true,""go"":true,""node"":true,""python"":true,""rust"":true,""swift"":true}}"
go,tree-sitter/tree-sitter-go,https://github.com/tree-sitter/tree-sitter-go,master,2346a3ab1bb3857b48b29d779a1ef9799a248cd7,2e2e2820739c868d08860a2465fcf305c352e010f0ffbf43f864892d168437fd,LICENSE,go,116,188,False,"{""grammars"":[{""name"":""go"",""camelcase"":""Go"",""scope"":""source.go"",""path"":""."",""file-types"":[""go""],""highlights"":""queries/highlights.scm"",""tags"":""queries/tags.scm""}],""metadata"":{""version"":""0.25.0"",""license"":""MIT"",""description"":""Go grammar for tree-sitter"",""authors"":[{""name"":""Max Brunsfeld"",""email"":""maxbrunsfeld@gmail.com""},{""name"":""Amaan Qureshi"",""email"":""amaanq12@gmail.com""}],""links"":{""repository"":""https://github.com/tree-sitter/tree-sitter-go""}},""bindings"":{""c"":true,""go"":true,""node"":true,""python"":true,""rust"":true,""swift"":true}}"
rust,tree-sitter/tree-sitter-rust,https://github.com/tree-sitter/tree-sitter-rust,master,77a3747266f4d621d0757825e6b11edcbf991ca5,58b27e4777aa7b8a007eff1fc897d92aa945af3991de3dfc62ef5dc4530dc3ec,LICENSE,rust,182,280,True,"{""grammars"":[{""name"":""rust"",""camelcase"":""Rust"",""scope"":""source.rust"",""path"":""."",""file-types"":[""rs""],""highlights"":[""queries/highlights.scm""],""injections"":[""queries/injections.scm""],""tags"":[""queries/tags.scm""],""injection-regex"":""rust""}],""metadata"":{""version"":""0.24.2"",""license"":""MIT"",""description"":""Rust grammar for tree-sitter"",""authors"":[{""name"":""Maxim Sokolov"",""email"":""maxim0xff@gmail.com""},{""name"":""Max Brunsfeld"",""email"":""maxbrunsfeld@gmail.com""},{""name"":""Amaan Qureshi"",""email"":""amaanq12@gmail.com""}],""links"":{""repository"":""https://github.com/tree-sitter/tree-sitter-rust""}},""bindings"":{""c"":true,""go"":true,""node"":true,""python"":true,""rust"":true,""swift"":true}}"
cpp,tree-sitter/tree-sitter-cpp,https://github.com/tree-sitter/tree-sitter-cpp,master,8b5b49eb196bec7040441bee33b2c9a4838d6967,20104050b8e21e7809b33a29901f7455a712ce64a4a97f2b5d3e795959154464,LICENSE,cpp,326,430,True,"{""grammars"":[{""name"":""cpp"",""camelcase"":""CPP"",""scope"":""source.cpp"",""path"":""."",""file-types"":[""cc"",""cpp"",""cxx"",""hpp"",""hxx"",""h""],""highlights"":[""node_modules/tree-sitter-c/queries/highlights.scm"",""queries/highlights.scm""],""injections"":""queries/injections.scm"",""tags"":""queries/tags.scm"",""injection-regex"":""^(cc|cpp)$""}],""metadata"":{""version"":""0.23.4"",""license"":""MIT"",""description"":""C++ grammar for tree-sitter"",""authors"":[{""name"":""Max Brunsfeld"",""email"":""maxbrunsfeld@gmail.com""},{""name"":""Amaan Qureshi"",""email"":""amaanq12@gmail.com""},{""name"":""John Drouhard"",""email"":""john@drouhard.dev""}],""links"":{""repository"":""https://github.com/tree-sitter/tree-sitter-cpp""}},""bindings"":{""c"":true,""go"":true,""node"":true,""python"":true,""rust"":true,""swift"":true}}"
c,tree-sitter/tree-sitter-c,https://github.com/tree-sitter/tree-sitter-c,master,b780e47fc780ddc8da13afa35a3f4ed5c157823d,0933767ca290607182f73b9c66c7e08422757a02fca54cd0e965b714cf988c44,LICENSE,c,182,275,False,"{""$schema"":""https://tree-sitter.github.io/tree-sitter/assets/schemas/config.schema.json"",""grammars"":[{""name"":""c"",""camelcase"":""C"",""scope"":""source.c"",""path"":""."",""file-types"":[""c"",""h""],""highlights"":""queries/highlights.scm"",""tags"":""queries/tags.scm"",""injection-regex"":""^(c|h)$""}],""metadata"":{""version"":""0.24.2"",""license"":""MIT"",""description"":""C grammar for tree-sitter"",""authors"":[{""name"":""Max Brunsfeld"",""email"":""maxbrunsfeld@gmail.com""},{""name"":""Amaan Qureshi"",""email"":""amaanq12@gmail.com""}],""links"":{""repository"":""https://github.com/tree-sitter/tree-sitter-c""}},""bindings"":{""c"":true,""go"":true,""java"":false,""node"":true,""python"":true,""rust"":true,""swift"":true,""zig"":true}}"
python,tree-sitter/tree-sitter-python,https://github.com/tree-sitter/tree-sitter-python,master,26855eabccb19c6abf499fbc5b8dc7cc9ab8bc64,3ce3f4af1b03a825e87fa0e8b72bba5ee5e4404ffd0495e42306899a2c1c1739,LICENSE,python,150,218,True,"{""grammars"":[{""name"":""python"",""camelcase"":""Python"",""scope"":""source.python"",""path"":""."",""file-types"":[""py""],""highlights"":""queries/highlights.scm"",""tags"":""queries/tags.scm"",""injection-regex"":""py""}],""metadata"":{""version"":""0.25.0"",""license"":""MIT"",""description"":""Python grammar for tree-sitter"",""authors"":[{""name"":""Max Brunsfeld"",""email"":""maxbrunsfeld@gmail.com""},{""name"":""Amaan Qureshi"",""email"":""amaanq12@gmail.com""}],""links"":{""repository"":""https://github.com/tree-sitter/tree-sitter-python""}},""bindings"":{""c"":true,""go"":true,""node"":true,""python"":true,""rust"":true,""swift"":true}}"
zig,tree-sitter-grammars/tree-sitter-zig,https://github.com/tree-sitter-grammars/tree-sitter-zig,master,6479aa13f32f701c383083d8b28360ebd682fb7d,5a4d67cc16e245cda8e6a7b9d18e45e880af6f85537cac068cfcfd98bcacda1b,LICENSE,zig,108,242,False,"{""$schema"":""https://tree-sitter.github.io/tree-sitter/assets/schemas/config.schema.json"",""grammars"":[{""name"":""zig"",""camelcase"":""Zig"",""scope"":""source.zig"",""file-types"":[""zig""],""highlights"":""queries/highlights.scm"",""injections"":""queries/injections.scm"",""injection-regex"":""^zig$""}],""metadata"":{""version"":""1.1.2"",""license"":""MIT"",""description"":""Zig grammar for tree-sitter"",""authors"":[{""name"":""Amaan Qureshi"",""email"":""amaanq12@gmail.com""}],""links"":{""repository"":""https://github.com/tree-sitter-grammars/tree-sitter-zig""}},""bindings"":{""c"":false,""go"":false,""node"":true,""python"":false,""rust"":true,""swift"":false,""zig"":true}}"
julia,tree-sitter/tree-sitter-julia,https://github.com/tree-sitter/tree-sitter-julia,master,e0f9dcd180fdcfcfa8d79a3531e11d99e79321d3,8462677423d64605fd909d31854b30b39ac8fc0b8cc236c917bdc61e6c7755ce,LICENSE,julia,127,148,True,"{""grammars"":[{""name"":""julia"",""camelcase"":""Julia"",""path"":""."",""scope"":""source.julia"",""injection-regex"":""^(jl|julia)$"",""file-types"":[""jl""],""highlights"":""queries/highlights.scm"",""injections"":""queries/injections.scm"",""locals"":""queries/locals.scm""}],""metadata"":{""version"":""0.25.0"",""license"":""MIT"",""description"":""Julia grammar for tree-sitter"",""authors"":[{""name"":""Max Brunsfeld"",""email"":""maxbrunsfeld@gmail.com""},{""name"":""Sergio A. Vargas"",""email"":""savargasqu+git@unal.edu.co""}],""links"":{""repository"":""https://github.com/tree-sitter/tree-sitter-julia""}}}"
nim,alaviss/tree-sitter-nim,https://github.com/alaviss/tree-sitter-nim,main,ac72ba30d16edf0be021588a9301ede4accd6cf4,384a2486484ed26a653899b67395bf3927b3aac3a9c0383f86544a221ff365d1,LICENSE.txt,nim,219,221,True,"{""$schema"":""https://tree-sitter.github.io/tree-sitter/assets/schemas/config.schema.json"",""grammars"":[{""name"":""nim"",""camelcase"":""Nim"",""title"":""Nim"",""scope"":""source.nim"",""file-types"":[""nimble"",""nims"",""nim""],""highlights"":""queries/highlights.scm"",""injection-regex"":""^nim$"",""class-name"":""TreeSitterNim""}],""metadata"":{""version"":""0.6.2"",""license"":""MPL-2.0"",""description"":""Nim grammar for tree-sitter"",""authors"":[{""name"":""leorize"",""email"":""leorize+oss@disroot.org"",""url"":""https://github.com/alaviss""}],""links"":{""repository"":""https://github.com/alaviss/tree-sitter-nim"",""funding"":""https://github.com/sponsors/alaviss""}},""bindings"":{""c"":true,""go"":true,""node"":true,""python"":true,""rust"":true,""swift"":true,""zig"":false}}"
csharp,tree-sitter/tree-sitter-c-sharp,https://github.com/tree-sitter/tree-sitter-c-sharp,master,9150f7d56bb47f1a809fa23623f1ba1413e93fa9,758526c83e35c91c0ff9fb1d2bf4392949e74d0e11de1cd635e8482745cc0acb,LICENSE,c_sharp,290,416,True,"{""grammars"":[{""name"":""c-sharp"",""camelcase"":""CSharp"",""scope"":""source.cs"",""path"":""."",""file-types"":[""cs""],""highlights"":[""queries/highlights.scm""],""tags"":[""queries/tags.scm""],""injection-regex"":""cs""}],""metadata"":{""version"":""0.23.5"",""license"":""MIT"",""description"":""C# grammar for tree-sitter"",""authors"":[{""name"":""Max Brunsfeld"",""email"":""maxbrunsfeld@gmail.com""},{""name"":""Amaan Qureshi"",""email"":""amaanq12@gmail.com""},{""name"":""Damien Guard"",""email"":""damieng@gmail.com""}],""links"":{""repository"":""https://github.com/tree-sitter/tree-sitter-c-sharp""}},""bindings"":{""c"":true,""go"":true,""node"":true,""python"":true,""rust"":true,""swift"":true}}"
