language,repository,rule,path,parent_path,depth,member_index,op_type,name,value,named,payload_json
r,r-lib/tree-sitter-r,program,$,,0,,SEQ,,,,"{""type"":""SEQ"",""members"":[{""type"":""SYMBOL"",""name"":""_start""},{""type"":""REPEAT"",""content"":{""type"":""CHOICE"",""members"":[{""type"":""SYMBOL"",""name"":""_expression""},{""type"":""SYMBOL"",""name"":""_semicolon""},{""type"":""SYMBOL"",""name"":""_newline""}]}}]}"
r,r-lib/tree-sitter-r,program,$.members[0],$,1,0,SYMBOL,_start,,,"{""type"":""SYMBOL"",""name"":""_start""}"
r,r-lib/tree-sitter-r,program,$.members[1],$,1,1,REPEAT,,,,"{""type"":""REPEAT"",""content"":{""type"":""CHOICE"",""members"":[{""type"":""SYMBOL"",""name"":""_expression""},{""type"":""SYMBOL"",""name"":""_semicolon""},{""type"":""SYMBOL"",""name"":""_newline""}]}}"
r,r-lib/tree-sitter-r,program,$.members[1].content,$.members[1],2,content,CHOICE,,,,"{""type"":""CHOICE"",""members"":[{""type"":""SYMBOL"",""name"":""_expression""},{""type"":""SYMBOL"",""name"":""_semicolon""},{""type"":""SYMBOL"",""name"":""_newline""}]}"
r,r-lib/tree-sitter-r,program,$.members[1].content.members[0],$.members[1].content,3,0,SYMBOL,_expression,,,"{""type"":""SYMBOL"",""name"":""_expression""}"
r,r-lib/tree-sitter-r,program,$.members[1].content.members[1],$.members[1].content,3,1,SYMBOL,_semicolon,,,"{""type"":""SYMBOL"",""name"":""_semicolon""}"
r,r-lib/tree-sitter-r,program,$.members[1].content.members[2],$.members[1].content,3,2,SYMBOL,_newline,,,"{""type"":""SYMBOL"",""name"":""_newline""}"
r,r-lib/tree-sitter-r,function_definition,$,,0,,PREC_LEFT,,2,,"{""type"":""PREC_LEFT"",""value"":2,""content"":{""type"":""SEQ"",""members"":[{""type"":""FIELD"",""name"":""name"",""content"":{""type"":""CHOICE"",""members"":[{""type"":""STRING"",""value"":""\\""},{""type"":""STRING"",""value"":""function""}]}},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""parameters"",""content"":{""type"":""SYMBOL"",""name"":""parameters""}},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""body"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}]}}"
r,r-lib/tree-sitter-r,function_definition,$.content,$,1,content,SEQ,,,,"{""type"":""SEQ"",""members"":[{""type"":""FIELD"",""name"":""name"",""content"":{""type"":""CHOICE"",""members"":[{""type"":""STRING"",""value"":""\\""},{""type"":""STRING"",""value"":""function""}]}},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""parameters"",""content"":{""type"":""SYMBOL"",""name"":""parameters""}},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""body"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}]}"
r,r-lib/tree-sitter-r,function_definition,$.content.members[0],$.content,2,0,FIELD,name,,,"{""type"":""FIELD"",""name"":""name"",""content"":{""type"":""CHOICE"",""members"":[{""type"":""STRING"",""value"":""\\""},{""type"":""STRING"",""value"":""function""}]}}"
r,r-lib/tree-sitter-r,function_definition,$.content.members[0].content,$.content.members[0],3,content,CHOICE,,,,"{""type"":""CHOICE"",""members"":[{""type"":""STRING"",""value"":""\\""},{""type"":""STRING"",""value"":""function""}]}"
r,r-lib/tree-sitter-r,function_definition,$.content.members[0].content.members[0],$.content.members[0].content,4,0,STRING,,"""\\""",,"{""type"":""STRING"",""value"":""\\""}"
r,r-lib/tree-sitter-r,function_definition,$.content.members[0].content.members[1],$.content.members[0].content,4,1,STRING,,"""function""",,"{""type"":""STRING"",""value"":""function""}"
r,r-lib/tree-sitter-r,function_definition,$.content.members[1],$.content,2,1,REPEAT,,,,"{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}}"
r,r-lib/tree-sitter-r,function_definition,$.content.members[1].content,$.content.members[1],3,content,SYMBOL,_newline,,,"{""type"":""SYMBOL"",""name"":""_newline""}"
r,r-lib/tree-sitter-r,function_definition,$.content.members[2],$.content,2,2,FIELD,parameters,,,"{""type"":""FIELD"",""name"":""parameters"",""content"":{""type"":""SYMBOL"",""name"":""parameters""}}"
r,r-lib/tree-sitter-r,function_definition,$.content.members[2].content,$.content.members[2],3,content,SYMBOL,parameters,,,"{""type"":""SYMBOL"",""name"":""parameters""}"
r,r-lib/tree-sitter-r,function_definition,$.content.members[3],$.content,2,3,REPEAT,,,,"{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}}"
r,r-lib/tree-sitter-r,function_definition,$.content.members[3].content,$.content.members[3],3,content,SYMBOL,_newline,,,"{""type"":""SYMBOL"",""name"":""_newline""}"
r,r-lib/tree-sitter-r,function_definition,$.content.members[4],$.content,2,4,FIELD,body,,,"{""type"":""FIELD"",""name"":""body"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,function_definition,$.content.members[4].content,$.content.members[4],3,content,SYMBOL,_expression,,,"{""type"":""SYMBOL"",""name"":""_expression""}"
r,r-lib/tree-sitter-r,parameters,$,,0,,SEQ,,,,"{""type"":""SEQ"",""members"":[{""type"":""FIELD"",""name"":""open"",""content"":{""type"":""SYMBOL"",""name"":""_open_parenthesis""}},{""type"":""CHOICE"",""members"":[{""type"":""SEQ"",""members"":[{""type"":""FIELD"",""name"":""parameter"",""content"":{""type"":""SYMBOL"",""name"":""parameter""}},{""type"":""REPEAT"",""content"":{""type"":""SEQ"",""members"":[{""type"":""SYMBOL"",""name"":""comma""},{""type"":""FIELD"",""name"":""parameter"",""content"":{""type"":""SYMBOL"",""name"":""parameter""}}]}}]},{""type"":""BLANK""}]},{""type"":""FIELD"",""name"":""close"",""content"":{""type"":""SYMBOL"",""name"":""_close_parenthesis""}}]}"
r,r-lib/tree-sitter-r,parameters,$.members[0],$,1,0,FIELD,open,,,"{""type"":""FIELD"",""name"":""open"",""content"":{""type"":""SYMBOL"",""name"":""_open_parenthesis""}}"
r,r-lib/tree-sitter-r,parameters,$.members[0].content,$.members[0],2,content,SYMBOL,_open_parenthesis,,,"{""type"":""SYMBOL"",""name"":""_open_parenthesis""}"
r,r-lib/tree-sitter-r,parameters,$.members[1],$,1,1,CHOICE,,,,"{""type"":""CHOICE"",""members"":[{""type"":""SEQ"",""members"":[{""type"":""FIELD"",""name"":""parameter"",""content"":{""type"":""SYMBOL"",""name"":""parameter""}},{""type"":""REPEAT"",""content"":{""type"":""SEQ"",""members"":[{""type"":""SYMBOL"",""name"":""comma""},{""type"":""FIELD"",""name"":""parameter"",""content"":{""type"":""SYMBOL"",""name"":""parameter""}}]}}]},{""type"":""BLANK""}]}"
r,r-lib/tree-sitter-r,parameters,$.members[1].members[0],$.members[1],2,0,SEQ,,,,"{""type"":""SEQ"",""members"":[{""type"":""FIELD"",""name"":""parameter"",""content"":{""type"":""SYMBOL"",""name"":""parameter""}},{""type"":""REPEAT"",""content"":{""type"":""SEQ"",""members"":[{""type"":""SYMBOL"",""name"":""comma""},{""type"":""FIELD"",""name"":""parameter"",""content"":{""type"":""SYMBOL"",""name"":""parameter""}}]}}]}"
r,r-lib/tree-sitter-r,parameters,$.members[1].members[0].members[0],$.members[1].members[0],3,0,FIELD,parameter,,,"{""type"":""FIELD"",""name"":""parameter"",""content"":{""type"":""SYMBOL"",""name"":""parameter""}}"
r,r-lib/tree-sitter-r,parameters,$.members[1].members[0].members[0].content,$.members[1].members[0].members[0],4,content,SYMBOL,parameter,,,"{""type"":""SYMBOL"",""name"":""parameter""}"
r,r-lib/tree-sitter-r,parameters,$.members[1].members[0].members[1],$.members[1].members[0],3,1,REPEAT,,,,"{""type"":""REPEAT"",""content"":{""type"":""SEQ"",""members"":[{""type"":""SYMBOL"",""name"":""comma""},{""type"":""FIELD"",""name"":""parameter"",""content"":{""type"":""SYMBOL"",""name"":""parameter""}}]}}"
r,r-lib/tree-sitter-r,parameters,$.members[1].members[0].members[1].content,$.members[1].members[0].members[1],4,content,SEQ,,,,"{""type"":""SEQ"",""members"":[{""type"":""SYMBOL"",""name"":""comma""},{""type"":""FIELD"",""name"":""parameter"",""content"":{""type"":""SYMBOL"",""name"":""parameter""}}]}"
r,r-lib/tree-sitter-r,parameters,$.members[1].members[0].members[1].content.members[0],$.members[1].members[0].members[1].content,5,0,SYMBOL,comma,,,"{""type"":""SYMBOL"",""name"":""comma""}"
r,r-lib/tree-sitter-r,parameters,$.members[1].members[0].members[1].content.members[1],$.members[1].members[0].members[1].content,5,1,FIELD,parameter,,,"{""type"":""FIELD"",""name"":""parameter"",""content"":{""type"":""SYMBOL"",""name"":""parameter""}}"
r,r-lib/tree-sitter-r,parameters,$.members[1].members[0].members[1].content.members[1].content,$.members[1].members[0].members[1].content.members[1],6,content,SYMBOL,parameter,,,"{""type"":""SYMBOL"",""name"":""parameter""}"
r,r-lib/tree-sitter-r,parameters,$.members[1].members[1],$.members[1],2,1,BLANK,,,,"{""type"":""BLANK""}"
r,r-lib/tree-sitter-r,parameters,$.members[2],$,1,2,FIELD,close,,,"{""type"":""FIELD"",""name"":""close"",""content"":{""type"":""SYMBOL"",""name"":""_close_parenthesis""}}"
r,r-lib/tree-sitter-r,parameters,$.members[2].content,$.members[2],2,content,SYMBOL,_close_parenthesis,,,"{""type"":""SYMBOL"",""name"":""_close_parenthesis""}"
