language_rule,ALIAS,BLANK,CHOICE,FIELD,IMMEDIATE_TOKEN,PATTERN,PREC,PREC_DYNAMIC,PREC_LEFT,PREC_RIGHT,REPEAT,REPEAT1,SEQ,STRING,SYMBOL,TOKEN
c:_abstract_declarator,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
c:_assignment_left_expression,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
c:_block_item,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
c:_declaration_declarator,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
c:_declaration_modifiers,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
c:_declaration_specifiers,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
c:_declarator,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
c:_empty_declaration,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
c:_expression_not_binary,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
c:_field_declaration_declarator,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0
c:_field_declaration_list_item,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
c:_field_declarator,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
c:_field_identifier,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
c:_for_statement_body,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
c:_function_declaration_declarator,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0
c:_non_case_statement,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
c:_old_style_function_declarator,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
c:_old_style_function_definition,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0
c:_old_style_parameter_list,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
c:_preproc_expression,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
c:_statement_identifier,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
c:_string,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
c:_top_level_expression_statement,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
c:_top_level_item,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
c:_top_level_statement,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
c:_type_declarator,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
c:_type_definition_declarators,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
c:_type_definition_type,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
c:_type_identifier,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
c:abstract_array_declarator,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0
c:abstract_function_declarator,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0
c:abstract_parenthesized_declarator,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0
c:abstract_pointer_declarator,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0
c:alignas_qualifier,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
c:alignof_expression,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0
c:argument_list,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
c:array_declarator,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0
c:array_field_declarator,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0
c:array_type_declarator,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0
c:assignment_expression,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0
c:attribute,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
c:attribute_declaration,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
c:attribute_specifier,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
c:attributed_declarator,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
c:attributed_field_declarator,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
c:attributed_statement,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
c:attributed_type_declarator,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
c:binary_expression,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0
c:bitfield_clause,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
c:break_statement,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
c:call_expression,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
c:case_statement,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0
c:cast_expression,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0
c:char_literal,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0
c:comma_expression,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
c:comment,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1
c:compound_literal_expression,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
c:compound_statement,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
