language,source_node_or_rule,source_kind,frontend_stage,available
c,"
",node_type,CST_STRUCTURED,0
c,"
",node_type,FIELDS_MAPPED,0
c,"
",node_type,LOWERING_RULE_PRESENT,0
c,"
",node_type,PARSED,0
c,"
",node_type,RELATIONS_MAPPED,0
c,"
",node_type,SEMANTIC_PRESERVATION_PROVEN,0
c,"
",node_type,TOKEN_RECOGNIZED,1
c,"
",node_type,UASF_MAPPED,0
c,"
",node_type,UAST_STRUCTURE_MAPPED,0
c,"
",node_type,UAST_VALID,0
c,!,node_type,CST_STRUCTURED,0
c,!,node_type,FIELDS_MAPPED,0
c,!,node_type,LOWERING_RULE_PRESENT,0
c,!,node_type,PARSED,0
c,!,node_type,RELATIONS_MAPPED,0
c,!,node_type,SEMANTIC_PRESERVATION_PROVEN,0
c,!,node_type,TOKEN_RECOGNIZED,1
c,!,node_type,UASF_MAPPED,0
c,!,node_type,UAST_STRUCTURE_MAPPED,0
c,!,node_type,UAST_VALID,0
c,!=,node_type,CST_STRUCTURED,0
c,!=,node_type,FIELDS_MAPPED,0
c,!=,node_type,LOWERING_RULE_PRESENT,0
c,!=,node_type,PARSED,0
c,!=,node_type,RELATIONS_MAPPED,0
c,!=,node_type,SEMANTIC_PRESERVATION_PROVEN,0
c,!=,node_type,TOKEN_RECOGNIZED,1
c,!=,node_type,UASF_MAPPED,0
c,!=,node_type,UAST_STRUCTURE_MAPPED,0
c,!=,node_type,UAST_VALID,0
c,"""",node_type,CST_STRUCTURED,0
c,"""",node_type,FIELDS_MAPPED,0
c,"""",node_type,LOWERING_RULE_PRESENT,0
c,"""",node_type,PARSED,0
c,"""",node_type,RELATIONS_MAPPED,0
c,"""",node_type,SEMANTIC_PRESERVATION_PROVEN,0
c,"""",node_type,TOKEN_RECOGNIZED,1
c,"""",node_type,UASF_MAPPED,0
c,"""",node_type,UAST_STRUCTURE_MAPPED,0
c,"""",node_type,UAST_VALID,0
c,#define,node_type,CST_STRUCTURED,0
c,#define,node_type,FIELDS_MAPPED,0
c,#define,node_type,LOWERING_RULE_PRESENT,0
c,#define,node_type,PARSED,0
c,#define,node_type,RELATIONS_MAPPED,0
c,#define,node_type,SEMANTIC_PRESERVATION_PROVEN,0
c,#define,node_type,TOKEN_RECOGNIZED,1
c,#define,node_type,UASF_MAPPED,0
c,#define,node_type,UAST_STRUCTURE_MAPPED,0
c,#define,node_type,UAST_VALID,0
c,#elif,node_type,CST_STRUCTURED,0
c,#elif,node_type,FIELDS_MAPPED,0
c,#elif,node_type,LOWERING_RULE_PRESENT,0
c,#elif,node_type,PARSED,0
c,#elif,node_type,RELATIONS_MAPPED,0
c,#elif,node_type,SEMANTIC_PRESERVATION_PROVEN,0
