feature,schema_representation,executable_semantics,analysis_evidence,validation_contract,backend_lowering,mean_coverage
abi_calling_convention,0.430,0.170,0.330,0.130,0.150,0.242
allocation,0.480,0.220,0.380,0.180,0.200,0.292
array_list,0.680,0.420,0.580,0.380,0.400,0.492
array_type,0.830,0.570,0.730,0.530,0.550,0.642
assignment,1.000,0.820,0.980,0.780,0.800,0.876
atomic,0.330,0.070,0.230,0.030,0.050,0.142
attribute_annotation,0.430,0.170,0.330,0.130,0.150,0.242
await,0.230,0.000,0.130,0.000,0.000,0.072
binary_op,1.000,0.740,0.900,0.700,0.720,0.812
break,1.000,0.820,0.980,0.780,0.800,0.876
bytecode_vm,0.180,0.000,0.080,0.000,0.000,0.052
call,1.000,0.800,0.960,0.760,0.780,0.860
capture,0.530,0.270,0.430,0.230,0.250,0.342
cast_conversion,0.630,0.370,0.530,0.330,0.350,0.442
channel,0.230,0.000,0.130,0.000,0.000,0.072
class,0.360,0.100,0.260,0.060,0.080,0.172
closure_lambda,0.830,0.570,0.730,0.530,0.550,0.642
code_generation,0.780,0.520,0.680,0.480,0.500,0.592
compile_time_eval,0.260,0.000,0.160,0.000,0.000,0.084
comprehension,0.180,0.000,0.080,0.000,0.000,0.052
constant,1.000,0.820,0.980,0.780,0.800,0.876
continue,1.000,0.820,0.980,0.780,0.800,0.876
defer_cleanup,0.280,0.020,0.180,0.000,0.000,0.096
dynamic_dispatch,0.360,0.100,0.260,0.060,0.080,0.172
enum,0.480,0.220,0.380,0.180,0.200,0.292
exception_try,0.260,0.000,0.160,0.000,0.000,0.084
ffi,0.530,0.270,0.430,0.230,0.250,0.342
filesystem,0.730,0.470,0.630,0.430,0.450,0.542
for,0.960,0.700,0.860,0.660,0.680,0.772
foreach_iteration,0.800,0.540,0.700,0.500,0.520,0.612
function,1.000,0.770,0.930,0.730,0.750,0.836
function_type,0.830,0.570,0.730,0.530,0.550,0.642
gc,0.280,0.020,0.180,0.000,0.000,0.096
generic,0.360,0.100,0.260,0.060,0.080,0.172
generic_constraint,0.300,0.040,0.200,0.000,0.020,0.112
global_state,0.730,0.470,0.630,0.430,0.450,0.542
goto_label,0.260,0.000,0.160,0.000,0.000,0.084
identifier,1.000,0.870,1.000,0.830,0.850,0.910
if,1.000,0.870,1.000,0.830,0.850,0.910
import,0.260,0.000,0.160,0.000,0.000,0.084
index,0.900,0.640,0.800,0.600,0.620,0.712
interface_trait,0.280,0.020,0.180,0.000,0.000,0.096
io,0.730,0.470,0.630,0.430,0.450,0.542
ir,0.900,0.640,0.800,0.600,0.620,0.712
layout_alignment,0.400,0.140,0.300,0.100,0.120,0.212
lifetime,0.400,0.140,0.300,0.100,0.120,0.212
literal_boolean,1.000,0.870,1.000,0.830,0.850,0.910
literal_null,1.000,0.820,0.980,0.780,0.800,0.876
literal_numeric,0.900,0.640,0.800,0.600,0.620,0.712
literal_string,1.000,0.820,0.980,0.780,0.800,0.876
lock_mutex,0.300,0.040,0.200,0.000,0.020,0.112
macro,0.180,0.000,0.080,0.000,0.000,0.052
manual_memory,0.300,0.040,0.200,0.000,0.020,0.112
map_dict,0.630,0.370,0.530,0.330,0.350,0.442
map_type,0.600,0.340,0.500,0.300,0.320,0.412
member_access,0.460,0.200,0.360,0.160,0.180,0.272
memory_model,0.300,0.040,0.200,0.000,0.020,0.112
module,0.260,0.000,0.160,0.000,0.000,0.084
mutation,0.900,0.640,0.800,0.600,0.620,0.712
name_resolution,0.400,0.140,0.300,0.100,0.120,0.212
network,0.680,0.420,0.580,0.380,0.400,0.492
optimizer,0.280,0.020,0.180,0.000,0.000,0.096
optional_nullable,0.630,0.370,0.530,0.330,0.350,0.442
overload_resolution,0.230,0.000,0.130,0.000,0.000,0.072
ownership,0.380,0.120,0.280,0.080,0.100,0.192
parameter,1.000,0.770,0.930,0.730,0.750,0.836
pattern,0.180,0.000,0.080,0.000,0.000,0.052
pointer,0.500,0.240,0.400,0.200,0.220,0.312
primitive_bool,1.000,0.820,0.980,0.780,0.800,0.876
primitive_float,0.860,0.600,0.760,0.560,0.580,0.672
primitive_integer,0.580,0.320,0.480,0.280,0.300,0.392
primitive_string,1.000,0.770,0.930,0.730,0.750,0.836
random,0.730,0.470,0.630,0.430,0.450,0.542
reference,0.460,0.200,0.360,0.160,0.180,0.272
reflection,0.180,0.000,0.080,0.000,0.000,0.052
return,1.000,0.820,0.980,0.780,0.800,0.876
scope,0.960,0.700,0.860,0.660,0.680,0.772
set,0.530,0.270,0.430,0.230,0.250,0.342
shadowing,0.730,0.470,0.630,0.430,0.450,0.542
slice,0.630,0.370,0.530,0.330,0.350,0.442
struct,0.630,0.370,0.530,0.330,0.350,0.442
subtyping,0.260,0.000,0.160,0.000,0.000,0.084
switch_match,0.360,0.100,0.260,0.060,0.080,0.172
symbol_table,0.400,0.140,0.300,0.100,0.120,0.212
task_async,0.230,0.000,0.130,0.000,0.000,0.072
thread,0.300,0.040,0.200,0.000,0.020,0.112
throw_raise,0.260,0.000,0.160,0.000,0.000,0.084
time,0.730,0.470,0.630,0.430,0.450,0.542
tuple,0.630,0.370,0.530,0.330,0.350,0.442
tuple_type,0.530,0.270,0.430,0.230,0.250,0.342
type_inference,0.360,0.100,0.260,0.060,0.080,0.172
unary_op,1.000,0.740,0.900,0.700,0.720,0.812
union_sum,0.430,0.170,0.330,0.130,0.150,0.242
unsafe,0.230,0.000,0.130,0.000,0.000,0.072
variable,1.000,0.820,0.980,0.780,0.800,0.876
visibility,0.330,0.070,0.230,0.030,0.050,0.142
while,1.000,0.820,0.980,0.780,0.800,0.876
yield,0.180,0.000,0.080,0.000,0.000,0.052
