feature,family,schema_representation,executable_semantics,analysis_evidence,validation_contract,backend_lowering,mean_coverage
c_integer_promotions,numeric_types,0.240,0.080,0.220,0.090,0.070,0.1400
c_signed_overflow_ub,undefined_behavior,0.170,0.010,0.150,0.020,0.000,0.0700
c_unsigned_wrap,numeric_types,0.300,0.140,0.280,0.150,0.130,0.2000
c_char_signedness,numeric_types,0.140,0.000,0.120,0.000,0.000,0.0520
c_bitfields,layout_abi,0.170,0.010,0.150,0.020,0.000,0.0700
c_flexible_array_member,layout_abi,0.170,0.010,0.150,0.020,0.000,0.0700
c_vla,object_lifetime,0.170,0.010,0.150,0.020,0.000,0.0700
c_array_decay,pointer_memory,0.170,0.010,0.150,0.020,0.000,0.0700
c_pointer_arithmetic,pointer_memory,0.200,0.040,0.180,0.050,0.030,0.1000
c_pointer_provenance,pointer_memory,0.140,0.000,0.120,0.000,0.000,0.0520
c_effective_type_aliasing,pointer_memory,0.140,0.000,0.120,0.000,0.000,0.0520
c_qualifiers,pointer_memory,0.240,0.080,0.220,0.090,0.070,0.1400
c_storage_duration,object_lifetime,0.180,0.020,0.160,0.030,0.010,0.0800
c_linkage,modules_linkage,0.170,0.010,0.150,0.020,0.000,0.0700
c_unspecified_eval_order,evaluation_ub,0.200,0.040,0.180,0.050,0.030,0.1000
c_designated_initializers,initialization,0.220,0.060,0.200,0.070,0.050,0.1200
c_compound_literals,initialization,0.170,0.010,0.150,0.020,0.000,0.0700
c_variadic,calls_abi,0.240,0.080,0.220,0.090,0.070,0.1400
c_function_pointer,calls_abi,0.320,0.160,0.300,0.170,0.150,0.2200
c_union_active_member,object_lifetime,0.170,0.010,0.150,0.020,0.000,0.0700
c_atomic_memory_order,concurrency_memory,0.200,0.040,0.180,0.050,0.030,0.1000
c_thread_local,concurrency_memory,0.170,0.010,0.150,0.020,0.000,0.0700
cpp_value_categories,value_categories,0.150,0.000,0.130,0.000,0.000,0.0560
cpp_reference_binding,ownership_lifetime,0.170,0.010,0.150,0.020,0.000,0.0700
cpp_temp_materialization,ownership_lifetime,0.140,0.000,0.120,0.000,0.000,0.0520
cpp_raii_destructors,ownership_lifetime,0.200,0.040,0.180,0.050,0.030,0.1000
cpp_ctor_initialization_order,initialization,0.170,0.010,0.150,0.020,0.000,0.0700
cpp_copy_move,ownership_lifetime,0.200,0.040,0.180,0.050,0.030,0.1000
cpp_overload_resolution,overload_templates,0.150,0.000,0.130,0.000,0.000,0.0560
cpp_adl,overload_templates,0.130,0.000,0.110,0.000,0.000,0.0480
cpp_name_lookup,modules_linkage,0.240,0.080,0.220,0.090,0.070,0.1400
cpp_templates,overload_templates,0.150,0.000,0.130,0.000,0.000,0.0560
cpp_partial_specialization,overload_templates,0.130,0.000,0.110,0.000,0.000,0.0480
cpp_sfinae,overload_templates,0.120,0.000,0.100,0.000,0.000,0.0440
cpp_concepts_constraints,overload_templates,0.130,0.000,0.110,0.000,0.000,0.0480
cpp_parameter_packs,overload_templates,0.130,0.000,0.110,0.000,0.000,0.0480
cpp_fold_expressions,overload_templates,0.130,0.000,0.110,0.000,0.000,0.0480
cpp_template_deduction,overload_templates,0.140,0.000,0.120,0.000,0.000,0.0520
cpp_auto_decltype,numeric_types,0.200,0.040,0.180,0.050,0.030,0.1000
cpp_structured_bindings,patterns_bindings,0.170,0.010,0.150,0.020,0.000,0.0700
cpp_lambdas_capture,patterns_bindings,0.270,0.110,0.250,0.120,0.100,0.1700
cpp_inheritance,object_model,0.170,0.010,0.150,0.020,0.000,0.0700
cpp_virtual_dispatch,object_model,0.170,0.010,0.150,0.020,0.000,0.0700
cpp_rtti,object_model,0.140,0.000,0.120,0.000,0.000,0.0520
cpp_member_pointers,object_model,0.130,0.000,0.110,0.000,0.000,0.0480
cpp_access_friend,object_model,0.150,0.000,0.130,0.000,0.000,0.0560
cpp_operator_overload,overload_templates,0.150,0.000,0.130,0.000,0.000,0.0560
cpp_exceptions,exceptions,0.170,0.010,0.150,0.020,0.000,0.0700
cpp_stack_unwind,exceptions,0.150,0.000,0.130,0.000,0.000,0.0560
cpp_noexcept,exceptions,0.150,0.000,0.130,0.000,0.000,0.0560
cpp_constexpr,compiletime,0.170,0.010,0.150,0.020,0.000,0.0700
cpp_consteval_constinit,compiletime,0.130,0.000,0.110,0.000,0.000,0.0480
cpp_coroutine_lowering,coroutines,0.120,0.000,0.100,0.000,0.000,0.0440
cpp_co_await,coroutines,0.120,0.000,0.100,0.000,0.000,0.0440
cpp_co_yield,coroutines,0.120,0.000,0.100,0.000,0.000,0.0440
cpp_modules,modules_linkage,0.130,0.000,0.110,0.000,0.000,0.0480
cpp_odr,modules_linkage,0.130,0.000,0.110,0.000,0.000,0.0480
cpp_static_initialization,initialization,0.140,0.000,0.120,0.000,0.000,0.0520
cpp_new_delete,pointer_memory,0.200,0.040,0.180,0.050,0.030,0.1000
cpp_placement_new,pointer_memory,0.130,0.000,0.110,0.000,0.000,0.0480
cpp_object_representation,layout_abi,0.150,0.000,0.130,0.000,0.000,0.0560
cpp_abi_mangling,layout_abi,0.200,0.040,0.180,0.050,0.030,0.1000
cpp_multiple_inheritance_layout,layout_abi,0.130,0.000,0.110,0.000,0.000,0.0480
cpp_preprocessor_macro,preprocessor,0.120,0.000,0.100,0.000,0.000,0.0440
cpp_preprocessor_conditional,preprocessor,0.120,0.000,0.100,0.000,0.000,0.0440
cpp_include_model,preprocessor,0.120,0.000,0.100,0.000,0.000,0.0440
cpp_attributes_pragmas,preprocessor,0.240,0.080,0.220,0.090,0.070,0.1400
cpp_ub_model,undefined_behavior,0.140,0.000,0.120,0.000,0.000,0.0520
cpp_impl_defined,undefined_behavior,0.130,0.000,0.110,0.000,0.000,0.0480
cpp_unspecified_behavior,undefined_behavior,0.130,0.000,0.110,0.000,0.000,0.0480
clang_ast_semantic_nodes,compiler_ir,0.470,0.310,0.450,0.320,0.300,0.3700
clang_sema_constraints,compiler_ir,0.320,0.160,0.300,0.170,0.150,0.2200
clang_cfg,compiler_ir,0.470,0.310,0.450,0.320,0.300,0.3700
clang_codegen_lowering,compiler_ir,0.470,0.310,0.450,0.320,0.300,0.3700
