feature,family,importance,mean_sp_coverage,base_gap,description
c_integer_promotions,numeric_types,0.832419,0.140000,0.715880,Integer promotions and usual arithmetic conversions
c_signed_overflow_ub,undefined_behavior,0.859183,0.070000,0.799040,Signed overflow UB
c_unsigned_wrap,numeric_types,0.885056,0.200000,0.708045,Unsigned modular arithmetic
c_char_signedness,numeric_types,0.859401,0.052000,0.814712,Implementation-defined char signedness
c_bitfields,layout_abi,0.878117,0.070000,0.816649,Bit-field layout/access
c_flexible_array_member,layout_abi,0.958237,0.070000,0.891160,Flexible array member layout
c_vla,object_lifetime,0.717283,0.070000,0.667073,VLA bound/lifetime
c_array_decay,pointer_memory,0.930592,0.070000,0.865451,Array/function decay
c_pointer_arithmetic,pointer_memory,0.924589,0.100000,0.832130,Pointer arithmetic
c_pointer_provenance,pointer_memory,0.880778,0.052000,0.834978,Pointer provenance/object association
c_effective_type_aliasing,pointer_memory,0.930873,0.052000,0.882468,Effective type/strict aliasing
c_qualifiers,pointer_memory,0.824397,0.140000,0.708982,const/volatile/restrict
c_storage_duration,object_lifetime,0.843097,0.080000,0.775649,Automatic/static/thread storage duration
c_linkage,modules_linkage,0.888548,0.070000,0.826350,C linkage semantics
c_unspecified_eval_order,evaluation_ub,0.845753,0.100000,0.761178,Unspecified sequencing/evaluation order
c_designated_initializers,initialization,0.871720,0.120000,0.767113,Designated initializers
c_compound_literals,initialization,0.843091,0.070000,0.784075,Compound literal object lifetime
c_variadic,calls_abi,0.895148,0.140000,0.769827,C varargs/default promotions
c_function_pointer,calls_abi,0.957483,0.220000,0.746837,Function pointer invocation
c_union_active_member,object_lifetime,0.952134,0.070000,0.885485,Union active member/type punning
c_atomic_memory_order,concurrency_memory,0.835829,0.100000,0.752246,Atomic memory order/fences
c_thread_local,concurrency_memory,0.934637,0.070000,0.869213,Thread-local storage
cpp_value_categories,value_categories,0.931136,0.056000,0.878993,lvalue/xvalue/prvalue/glvalue
cpp_reference_binding,ownership_lifetime,0.924585,0.070000,0.859864,Reference binding/lifetime extension
cpp_temp_materialization,ownership_lifetime,0.977283,0.052000,0.926464,Temporary materialization
cpp_raii_destructors,ownership_lifetime,0.874462,0.100000,0.787016,RAII/destruction cleanup
cpp_ctor_initialization_order,initialization,0.968096,0.070000,0.900330,Base/member initialization order
cpp_copy_move,ownership_lifetime,0.949150,0.100000,0.854235,Copy/move semantics
cpp_overload_resolution,overload_templates,0.943124,0.056000,0.890309,Overload candidate/ranking
