semanticprogram_axis,propagated_gap
types.structure,42.029471
operations,23.659289
scope.binding,20.447718
evaluation.order,19.108702
conversion.semantics,16.907343
memory.model,16.033022
nodes.expression,15.615664
object.lifetime,15.462180
types.origin,15.014239
runtime.contract,14.402560
nodes.declaration,13.245686
compiletime.semantics,11.173465
abi.ffi,10.841929
abi.layout,10.280521
data.flow,10.141482
ownership.lifetime,9.333783
effects.control,8.860132
control.flow,8.337310
overload.resolution,8.152767
effect.graph,7.762270
template.instantiation,6.992739
validation.contract,6.793848
concurrency.model,6.633994
binding.graph,6.530678
pointer.provenance,5.691029
memory.ordering,5.564096
synchronization,5.564096
dialect.extension,5.528715
lowering.pipeline,5.367386
language.undefined_behavior,5.348353
purity,4.988350
capture.shadowing,4.516634
name.resolution,4.273764
exception.unwind,4.124935
initialization.order,3.929988
linkage.odr,3.909913
value.category,3.309432
coroutine.state_machine,3.075697
preprocessor.semantics,3.072673
storage.duration,2.931324
language.implementation_defined,2.054427
module.semantics,2.032703
compiletime.evaluation,1.902173
language.unspecified_behavior,1.737203
