rank,cluster,propagated_gap,feature_count,top_features
1,overload_templates,15.767123,14,cpp_overload_resolution;cpp_templates;cpp_template_deduction;cpp_operator_overload;generic;cpp_concepts_constraints;cpp_partial_specialization;cpp_fold_expressions;cpp_parameter_packs;cpp_sfinae;overload_resolution;cpp_adl
2,object_model,12.934636,13,cpp_member_pointers;cpp_inheritance;cpp_virtual_dispatch;cpp_rtti;cpp_access_friend;interface_trait;class;subtyping;enum;struct;reflection;dynamic_dispatch
3,pointer_memory,12.326499,12,c_effective_type_aliasing;cpp_new_delete;c_pointer_arithmetic;c_array_decay;cpp_placement_new;c_pointer_provenance;c_qualifiers;manual_memory;pointer;unsafe;reference;allocation
4,numeric_types,9.333874,14,cpp_auto_decltype;c_char_signedness;c_integer_promotions;c_unsigned_wrap;primitive_integer;cast_conversion;optional_nullable;union_sum;map_type;primitive_float;array_type;primitive_string
5,core_expression_control,9.175393,26,goto_label;member_access;switch_match;map_dict;tuple;array_list;foreach_iteration;set;index;literal_numeric;binary_op;literal_null
6,modules_linkage,8.870726,9,import;module;visibility;cpp_name_lookup;c_linkage;cpp_modules;cpp_odr;name_resolution;symbol_table
7,ownership_lifetime,8.045830,8,cpp_temp_materialization;cpp_copy_move;cpp_reference_binding;cpp_raii_destructors;defer_cleanup;ownership;gc;lifetime
8,layout_abi,7.556539,7,c_flexible_array_member;cpp_object_representation;cpp_multiple_inheritance_layout;c_bitfields;layout_alignment;abi_calling_convention;cpp_abi_mangling
9,preprocessor,6.228898,6,attribute_annotation;macro;cpp_preprocessor_macro;cpp_include_model;cpp_preprocessor_conditional;cpp_attributes_pragmas
10,concurrency_memory,5.744184,7,c_thread_local;c_atomic_memory_order;atomic;thread;lock_mutex;channel;memory_model
11,compiler_ir,5.715795,8,clang_sema_constraints;clang_codegen_lowering;bytecode_vm;optimizer;clang_ast_semantic_nodes;code_generation;clang_cfg;ir
12,coroutines,5.457372,6,cpp_coroutine_lowering;cpp_co_await;cpp_co_yield;task_async;yield;await
13,exceptions,4.748515,5,cpp_noexcept;cpp_stack_unwind;cpp_exceptions;exception_try;throw_raise
14,patterns_bindings,4.731693,7,cpp_structured_bindings;cpp_lambdas_capture;pattern;capture;closure_lambda;shadowing;scope
15,initialization,4.144577,4,cpp_ctor_initialization_order;c_compound_literals;c_designated_initializers;cpp_static_initialization
16,calls_abi,3.965497,6,c_function_pointer;c_variadic;ffi;function_type;function;parameter
17,undefined_behavior,3.873213,4,c_signed_overflow_ub;cpp_impl_defined;cpp_unspecified_behavior;cpp_ub_model
18,compiletime,3.213844,4,cpp_constexpr;compile_time_eval;cpp_consteval_constinit;constant
19,object_lifetime,3.040687,3,c_union_active_member;c_vla;c_storage_duration
20,effects_runtime,2.473030,7,filesystem;io;mutation;global_state;random;network;time
21,value_categories,0.948389,1,cpp_value_categories
22,evaluation_ub,0.814622,1,c_unspecified_eval_order
