file,trust_weight,abi_memory_signal,priority_gap_features,priority_score
lib/CodeGen/TargetInfo.cpp,0.95,1476.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,13010.626442
lib/CodeGen/CGObjCMac.cpp,0.95,1283.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,11309.372442
lib/CodeGen/CGAtomic.cpp,0.95,1103.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,9722.710681
lib/CodeGen/ItaniumCXXABI.cpp,0.95,867.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,7642.420817
lib/CodeGen/MicrosoftCXXABI.cpp,0.95,629.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,5544.501377
lib/CodeGen/CGException.cpp,0.95,580.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,5112.576786
lib/CodeGen/CGBuiltin.cpp,0.95,505.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,4451.467719
lib/CodeGen/CGOpenMPRuntime.cpp,0.95,462.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,4072.431854
lib/CodeGen/CGObjCGNU.cpp,0.95,394.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,3473.026300
lib/CodeGen/CGClass.cpp,0.95,378.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,3331.989699
lib/CodeGen/CGCall.cpp,0.95,348.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,3067.546072
lib/CodeGen/CodeGenModule.cpp,0.95,331.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,2917.694683
lib/CodeGen/CodeGenFunction.h,0.95,291.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,2565.103181
lib/CodeGen/CGVTables.cpp,0.95,267.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,2353.548279
lib/CodeGen/CGExpr.cpp,0.95,254.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,2238.956041
lib/CodeGen/CGDebugInfo.cpp,0.95,237.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,2089.104652
lib/CodeGen/CGBlocks.cpp,0.95,233.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,2053.845502
lib/CodeGen/CGExprScalar.cpp,0.95,189.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,1665.994849
lib/CodeGen/CGObjC.cpp,0.95,170.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,1498.513886
lib/CodeGen/CGStmtOpenMP.cpp,0.95,160.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,1410.366010
lib/CodeGen/CGRecordLayoutBuilder.cpp,0.95,143.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,1260.514621
lib/CodeGen/BackendUtil.cpp,0.95,136.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,1198.811108
lib/CodeGen/CGExprCXX.cpp,0.95,136.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,1198.811108
lib/CodeGen/CGOpenMPRuntimeNVPTX.cpp,0.95,134.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,1181.181533
lib/CodeGen/CGExprConstant.cpp,0.95,130.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,1145.922383
lib/CodeGen/CodeGenModule.h,0.95,130.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,1145.922383
lib/CodeGen/CGObjCRuntime.cpp,0.95,122.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,1075.404083
lib/CodeGen/CGCXXABI.h,0.95,104.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,916.737906
lib/CodeGen/CGExprAgg.cpp,0.95,103.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,907.923119
lib/CodeGen/CodeGenFunction.cpp,0.95,100.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,881.478756
