feature,structural_node,typed_semantics,binding_scope,evaluation_order,effect_model,runtime_contract,backend_lowering,coverage
abi_calling_convention,0.4,0.3,0.3,0.3,0.3,0.25,0.25,0.3
allocation,0.4,0.3,0.3,0.3,0.3,0.25,0.25,0.3
array_list,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
array_type,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
assignment,0.9,0.65,0.7,0.75,0.7,0.45,0.65,0.6857
atomic,0.25,0.25,0.25,0.2,0.25,0.15,0.15,0.2143
attribute_annotation,0.25,0.25,0.25,0.2,0.25,0.15,0.15,0.2143
await,0.25,0.25,0.25,0.2,0.25,0.15,0.15,0.2143
binary_op,0.9,0.65,0.7,0.75,0.7,0.45,0.65,0.6857
break,0.9,0.65,0.7,0.75,0.7,0.45,0.65,0.6857
bytecode_vm,0.25,0.25,0.25,0.2,0.25,0.15,0.15,0.2143
call,0.9,0.65,0.7,0.75,0.7,0.45,0.65,0.6857
capture,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
cast_conversion,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
channel,0.25,0.25,0.25,0.2,0.25,0.15,0.15,0.2143
class,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
closure_lambda,0.9,0.65,0.7,0.75,0.7,0.45,0.65,0.6857
code_generation,0.25,0.25,0.25,0.2,0.25,0.15,0.15,0.2143
compile_time_eval,0.25,0.25,0.25,0.2,0.25,0.15,0.15,0.2143
comprehension,0.4,0.3,0.3,0.3,0.3,0.25,0.25,0.3
constant,0.4,0.3,0.3,0.3,0.3,0.25,0.25,0.3
continue,0.9,0.65,0.7,0.75,0.7,0.45,0.65,0.6857
defer_cleanup,0.25,0.25,0.25,0.2,0.25,0.15,0.15,0.2143
dynamic_dispatch,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
enum,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
exception_try,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
ffi,0.25,0.25,0.25,0.2,0.25,0.15,0.15,0.2143
filesystem,0.4,0.3,0.3,0.3,0.3,0.25,0.25,0.3
for,0.9,0.65,0.7,0.75,0.7,0.45,0.65,0.6857
foreach_iteration,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
function,0.9,0.65,0.7,0.75,0.7,0.45,0.65,0.6857
function_type,0.4,0.3,0.3,0.3,0.3,0.25,0.25,0.3
gc,0.4,0.3,0.3,0.3,0.3,0.25,0.25,0.3
generic,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
generic_constraint,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
global_state,0.4,0.3,0.3,0.3,0.3,0.25,0.25,0.3
goto_label,0.25,0.25,0.25,0.2,0.25,0.15,0.15,0.2143
identifier,0.9,0.65,0.7,0.75,0.7,0.45,0.65,0.6857
if,0.9,0.65,0.7,0.75,0.7,0.45,0.65,0.6857
import,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
index,0.9,0.65,0.7,0.75,0.7,0.45,0.65,0.6857
interface_trait,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
io,0.4,0.3,0.3,0.3,0.3,0.25,0.25,0.3
ir,0.4,0.3,0.3,0.3,0.3,0.25,0.25,0.3
layout_alignment,0.25,0.25,0.25,0.2,0.25,0.15,0.15,0.2143
lifetime,0.25,0.25,0.25,0.2,0.25,0.15,0.15,0.2143
literal_boolean,0.9,0.65,0.7,0.75,0.7,0.45,0.65,0.6857
literal_null,0.9,0.65,0.7,0.75,0.7,0.45,0.65,0.6857
literal_numeric,0.9,0.65,0.7,0.75,0.7,0.45,0.65,0.6857
literal_string,0.9,0.65,0.7,0.75,0.7,0.45,0.65,0.6857
lock_mutex,0.25,0.25,0.25,0.2,0.25,0.15,0.15,0.2143
macro,0.25,0.25,0.25,0.2,0.25,0.15,0.15,0.2143
manual_memory,0.25,0.25,0.25,0.2,0.25,0.15,0.15,0.2143
map_dict,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
map_type,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
member_access,0.9,0.65,0.7,0.75,0.7,0.45,0.65,0.6857
memory_model,0.25,0.25,0.25,0.2,0.25,0.15,0.15,0.2143
module,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
mutation,0.4,0.3,0.3,0.3,0.3,0.25,0.25,0.3
name_resolution,0.4,0.3,0.3,0.3,0.3,0.25,0.25,0.3
network,0.4,0.3,0.3,0.3,0.3,0.25,0.25,0.3
optimizer,0.25,0.25,0.25,0.2,0.25,0.15,0.15,0.2143
optional_nullable,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
overload_resolution,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
ownership,0.25,0.25,0.25,0.2,0.25,0.15,0.15,0.2143
parameter,0.9,0.65,0.7,0.75,0.7,0.45,0.65,0.6857
pattern,0.25,0.25,0.25,0.2,0.25,0.15,0.15,0.2143
pointer,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
primitive_bool,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
primitive_float,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
primitive_integer,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
primitive_string,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
random,0.4,0.3,0.3,0.3,0.3,0.25,0.25,0.3
reference,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
reflection,0.25,0.25,0.25,0.2,0.25,0.15,0.15,0.2143
return,0.9,0.65,0.7,0.75,0.7,0.45,0.65,0.6857
scope,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
set,0.4,0.3,0.3,0.3,0.3,0.25,0.25,0.3
shadowing,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
slice,0.4,0.3,0.3,0.3,0.3,0.25,0.25,0.3
struct,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
subtyping,0.25,0.25,0.25,0.2,0.25,0.15,0.15,0.2143
switch_match,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
symbol_table,0.4,0.3,0.3,0.3,0.3,0.25,0.25,0.3
task_async,0.25,0.25,0.25,0.2,0.25,0.15,0.15,0.2143
thread,0.25,0.25,0.25,0.2,0.25,0.15,0.15,0.2143
throw_raise,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
time,0.4,0.3,0.3,0.3,0.3,0.25,0.25,0.3
tuple,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
tuple_type,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
type_inference,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
unary_op,0.9,0.65,0.7,0.75,0.7,0.45,0.65,0.6857
union_sum,0.4,0.3,0.3,0.3,0.3,0.25,0.25,0.3
unsafe,0.25,0.25,0.25,0.2,0.25,0.15,0.15,0.2143
variable,0.9,0.65,0.7,0.75,0.7,0.45,0.65,0.6857
visibility,0.55,0.4,0.45,0.4,0.4,0.3,0.35,0.4071
while,0.9,0.65,0.7,0.75,0.7,0.45,0.65,0.6857
yield,0.25,0.25,0.25,0.2,0.25,0.15,0.15,0.2143
