feature,importance,coverage,base_gap
abi_calling_convention,0.736577,0.3,0.515604
allocation,0.572618,0.3,0.400833
array_list,0.303598,0.4071,0.17999
array_type,0.604987,0.4071,0.358671
assignment,0.757717,0.6857,0.23814
atomic,0.510116,0.2143,0.400805
attribute_annotation,0.925718,0.2143,0.72735
await,0.731889,0.2143,0.575056
binary_op,0.759282,0.6857,0.238631
break,0.256494,0.6857,0.080612
bytecode_vm,0.608494,0.2143,0.478102
call,0.563838,0.6857,0.177206
capture,0.755102,0.4071,0.447668
cast_conversion,0.843375,0.4071,0.500001
channel,0.308987,0.2143,0.242776
class,0.916594,0.4071,0.543409
closure_lambda,0.771625,0.6857,0.242511
code_generation,0.560663,0.2143,0.440521
compile_time_eval,0.38588,0.2143,0.303191
comprehension,0.012382,0.3,0.008667
constant,0.837761,0.3,0.586433
continue,0.214493,0.6857,0.067412
defer_cleanup,0.667614,0.2143,0.524554
dynamic_dispatch,0.348364,0.4071,0.20653
enum,0.675707,0.4071,0.400598
exception_try,0.834542,0.4071,0.494764
ffi,0.740056,0.2143,0.581473
filesystem,0.434149,0.3,0.303904
for,0.347837,0.6857,0.10932
foreach_iteration,0.775327,0.4071,0.459658
function,0.823435,0.6857,0.258794
function_type,0.753023,0.3,0.527116
gc,0.310957,0.3,0.21767
generic,0.850637,0.4071,0.504306
generic_constraint,0.754727,0.4071,0.447445
global_state,0.338166,0.3,0.236716
goto_label,0.586931,0.2143,0.46116
identifier,0.820514,0.6857,0.257876
if,0.524784,0.6857,0.164932
import,0.926314,0.4071,0.549172
index,0.393612,0.6857,0.123707
interface_trait,0.838633,0.4071,0.49719
io,0.21866,0.3,0.153062
ir,0.73769,0.3,0.516383
layout_alignment,0.656273,0.2143,0.515643
lifetime,0.389425,0.2143,0.305977
literal_boolean,0.934776,0.6857,0.293787
literal_null,0.992074,0.6857,0.311795
literal_numeric,0.31482,0.6857,0.098943
literal_string,0.581797,0.6857,0.18285
lock_mutex,0.442117,0.2143,0.347378
macro,0.477964,0.2143,0.375543
manual_memory,0.670846,0.2143,0.527093
map_dict,0.678184,0.4071,0.402066
map_type,0.324249,0.4071,0.192233
member_access,0.458259,0.6857,0.144024
memory_model,0.0,0.2143,0.0
module,0.862552,0.4071,0.51137
mutation,0.828304,0.3,0.579813
name_resolution,0.592598,0.3,0.414819
network,0.233058,0.3,0.163141
optimizer,0.534591,0.2143,0.420036
optional_nullable,0.880567,0.4071,0.52205
overload_resolution,0.664219,0.4071,0.393787
ownership,0.347527,0.2143,0.273057
parameter,0.975666,0.6857,0.306638
pattern,0.81879,0.2143,0.643335
pointer,0.610284,0.4071,0.361811
primitive_bool,0.384495,0.4071,0.227951
primitive_float,0.708703,0.4071,0.42016
primitive_integer,0.856462,0.4071,0.50776
primitive_string,0.509759,0.4071,0.302214
random,0.484427,0.3,0.339099
reference,0.66424,0.4071,0.393799
reflection,0.668549,0.2143,0.525288
return,0.409421,0.6857,0.128675
scope,0.794179,0.4071,0.470835
set,0.270318,0.3,0.189223
shadowing,0.442897,0.4071,0.262575
slice,0.085896,0.3,0.060127
struct,0.787826,0.4071,0.467068
subtyping,0.629761,0.2143,0.494812
switch_match,0.496126,0.4071,0.294132
symbol_table,0.353533,0.3,0.247473
task_async,0.892112,0.2143,0.700945
thread,0.735221,0.2143,0.577674
throw_raise,0.7937,0.4071,0.470551
time,0.318896,0.3,0.223227
tuple,0.773492,0.4071,0.45857
tuple_type,0.575335,0.4071,0.341091
type_inference,0.473429,0.4071,0.280676
unary_op,0.646434,0.6857,0.203165
union_sum,0.48491,0.3,0.339437
unsafe,0.770429,0.2143,0.605337
variable,0.935746,0.6857,0.294092
visibility,1.0,0.4071,0.592857
while,0.178339,0.6857,0.056049
yield,0.71475,0.2143,0.561589
