feature,family,structural_node,typed_semantics,binding_scope,evaluation_order,effect_model,runtime_contract,backend_lowering,coverage
nullable_value_types,types_nullability,0.55,0.67,0.55,0.55,0.55,0.55,0.53,0.5643
nullable_reference_annotations,types_nullability,0.35,0.47,0.35,0.35,0.35,0.35,0.33,0.3643
nullable_flow_analysis,types_nullability,0.15,0.27,0.15,0.15,0.15,0.15,0.13,0.1643
implicit_numeric_conversions,types_conversions,0.35,0.47,0.35,0.35,0.35,0.35,0.33,0.3643
explicit_numeric_conversions,types_conversions,0.35,0.47,0.35,0.35,0.35,0.35,0.33,0.3643
boxing_unboxing,types_conversions,0.2,0.32,0.2,0.2,0.2,0.25,0.18,0.2214
user_defined_conversions,types_conversions,0.1,0.22,0.2,0.1,0.1,0.1,0.08,0.1286
constant_expression_conversions,types_conversions,0.15,0.27,0.15,0.15,0.15,0.15,0.13,0.1643
dynamic_type_binding,types_dynamic,0.1,0.1,0.2,0.1,0.1,0.15,0.08,0.1186
native_integer_nint_nuint,types_numeric,0.2,0.32,0.2,0.2,0.2,0.25,0.18,0.2214
generic_variance,types_generics,0.2,0.32,0.2,0.2,0.2,0.2,0.18,0.2143
generic_constraints,types_generics,0.35,0.47,0.45,0.35,0.35,0.35,0.33,0.3786
generic_type_inference,types_generics,0.1,0.22,0.2,0.1,0.1,0.1,0.08,0.1286
target_typed_expressions,types_inference,0.1,0.22,0.1,0.1,0.1,0.1,0.08,0.1143
tuple_names_and_conversion,types_tuples,0.25,0.37,0.25,0.25,0.25,0.25,0.23,0.2643
class_inheritance,object_model,0.3,0.42,0.4,0.3,0.3,0.35,0.28,0.3357
interface_implementation,object_model,0.3,0.42,0.4,0.3,0.3,0.35,0.28,0.3357
struct_value_semantics,object_model,0.2,0.32,0.2,0.2,0.2,0.25,0.18,0.2214
record_semantics,object_model,0.28,0.1,0.1,0.1,0.1,0.15,0.08,0.13
properties_accessors,object_members,0.33,0.15,0.25,0.15,0.23,0.15,0.13,0.1986
indexers,object_members,0.33,0.15,0.25,0.15,0.15,0.15,0.13,0.1871
events,object_members,0.28,0.1,0.1,0.1,0.18,0.15,0.08,0.1414
delegates_multicast,object_members,0.15,0.27,0.15,0.15,0.15,0.2,0.13,0.1714
extension_methods,call_resolution,0.1,0.1,0.2,0.1,0.1,0.1,0.08,0.1114
partial_types_methods,declarations,0.38,0.2,0.3,0.2,0.2,0.2,0.18,0.2371
required_members,declarations,0.28,0.1,0.1,0.1,0.1,0.1,0.08,0.1229
primary_constructors,declarations,0.28,0.1,0.2,0.1,0.1,0.1,0.08,0.1371
static_abstract_interface_members,object_model,0.05,0.17,0.15,0.05,0.05,0.05,0.03,0.0786
default_interface_members,object_model,0.1,0.1,0.2,0.1,0.1,0.15,0.08,0.1186
virtual_override_new_dispatch,object_model,0.15,0.15,0.25,0.15,0.15,0.2,0.13,0.1686
overload_resolution_csharp,call_resolution,0.1,0.22,0.2,0.1,0.1,0.1,0.08,0.1286
named_optional_arguments,call_resolution,0.45,0.45,0.55,0.53,0.45,0.45,0.43,0.4729
params_collections,call_resolution,0.1,0.22,0.1,0.1,0.1,0.1,0.08,0.1143
method_group_conversion,call_resolution,0.1,0.22,0.2,0.1,0.1,0.1,0.08,0.1286
operator_overloading,call_resolution,0.15,0.27,0.25,0.15,0.15,0.15,0.13,0.1786
lambda_target_typing,closures,0.15,0.27,0.25,0.15,0.15,0.15,0.13,0.1786
closure_capture_rewriting,closures,0.15,0.15,0.15,0.15,0.15,0.15,0.1,0.1429
expression_trees,metaprogramming,0.23,0.05,0.05,0.05,0.05,0.1,0.03,0.08
switch_expressions,patterns_control,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.1971
type_patterns,patterns_control,0.15,0.27,0.25,0.15,0.15,0.15,0.13,0.1786
relational_logical_patterns,patterns_control,0.1,0.1,0.1,0.1,0.1,0.1,0.08,0.0971
property_positional_patterns,patterns_control,0.1,0.1,0.2,0.1,0.1,0.1,0.08,0.1114
list_patterns,patterns_control,0.05,0.17,0.05,0.05,0.05,0.05,0.03,0.0643
pattern_variable_scope,patterns_control,0.1,0.1,0.2,0.1,0.1,0.1,0.08,0.1114
pattern_exhaustiveness,patterns_control,0.05,0.05,0.05,0.05,0.05,0.05,0.03,0.0471
conditional_access,null_control,0.15,0.15,0.15,0.23,0.15,0.15,0.13,0.1586
null_coalescing,null_control,0.4,0.4,0.4,0.48,0.4,0.4,0.38,0.4086
null_forgiving_operator,types_nullability,0.1,0.22,0.1,0.1,0.1,0.1,0.08,0.1143
async_await_csharp,async_iterators,0.15,0.15,0.15,0.15,0.23,0.15,0.1,0.1543
async_state_machine,async_iterators,0.05,0.05,0.05,0.05,0.05,0.1,0,0.05
await_foreach,async_iterators,0.05,0.05,0.05,0.05,0.13,0.05,0.03,0.0586
await_using,async_iterators,0.05,0.05,0.05,0.05,0.13,0.1,0.03,0.0657
yield_iterators,async_iterators,0.1,0.1,0.1,0.1,0.1,0.15,0.05,0.1
iterator_state_machine,async_iterators,0.05,0.05,0.05,0.05,0.05,0.1,0,0.05
foreach_pattern,async_iterators,0.15,0.15,0.25,0.15,0.15,0.15,0.13,0.1614
exception_filters,exceptions_resources,0.1,0.1,0.1,0.1,0.18,0.15,0.08,0.1157
using_dispose_pattern,exceptions_resources,0.1,0.1,0.1,0.1,0.18,0.15,0.08,0.1157
try_finally_unwind,exceptions_resources,0.2,0.2,0.2,0.2,0.28,0.25,0.18,0.2157
checked_unchecked_context,types_conversions,0.15,0.27,0.15,0.15,0.15,0.2,0.13,0.1714
ref_out_in_parameters,refs_memory,0.15,0.27,0.15,0.15,0.23,0.15,0.13,0.1757
ref_returns_locals,refs_memory,0.1,0.22,0.1,0.1,0.1,0.1,0.08,0.1143
readonly_refs,refs_memory,0.1,0.1,0.1,0.1,0.18,0.1,0.08,0.1086
scoped_refs_escape_analysis,refs_memory,0.05,0.05,0.05,0.05,0.05,0.05,0.03,0.0471
ref_structs,refs_memory,0.05,0.17,0.05,0.05,0.05,0.05,0.03,0.0643
span_like_semantics,refs_memory,0.05,0.17,0.05,0.05,0.05,0.05,0.03,0.0643
stackalloc,unsafe_memory,0.1,0.1,0.1,0.1,0.1,0.1,0.08,0.0971
fixed_and_pinning,unsafe_memory,0.05,0.05,0.05,0.05,0.05,0.1,0.03,0.0543
