feature,GEN::abi_calling_convention,GEN::allocation,GEN::array_list,GEN::array_type,GEN::assignment,GEN::atomic,GEN::attribute_annotation,GEN::await,GEN::binary_op,GEN::break,GEN::bytecode_vm,GEN::call,GEN::capture,GEN::cast_conversion,GEN::channel,GEN::class,GEN::closure_lambda,GEN::code_generation,GEN::compile_time_eval,GEN::comprehension,GEN::constant,GEN::continue,GEN::defer_cleanup,GEN::dynamic_dispatch,GEN::enum,GEN::exception_try,GEN::ffi,GEN::filesystem,GEN::for,GEN::foreach_iteration,GEN::function,GEN::function_type,GEN::gc,GEN::generic,GEN::generic_constraint,GEN::global_state,GEN::goto_label,GEN::identifier,GEN::if,GEN::import,GEN::index,GEN::interface_trait,GEN::io,GEN::ir,GEN::layout_alignment,GEN::lifetime,GEN::literal_boolean,GEN::literal_null,GEN::literal_numeric,GEN::literal_string,GEN::lock_mutex,GEN::macro,GEN::manual_memory,GEN::map_dict,GEN::map_type,GEN::member_access,GEN::memory_model,GEN::module,GEN::mutation,GEN::name_resolution,GEN::network,GEN::optimizer,GEN::optional_nullable,GEN::overload_resolution,GEN::ownership,GEN::parameter,GEN::pattern,GEN::pointer,GEN::primitive_bool,GEN::primitive_float,GEN::primitive_integer,GEN::primitive_string,GEN::random,GEN::reference,GEN::reflection,GEN::return,GEN::scope,GEN::set,GEN::shadowing,GEN::slice,GEN::struct,GEN::subtyping,GEN::switch_match,GEN::symbol_table,GEN::task_async,GEN::thread,GEN::throw_raise,GEN::time,GEN::tuple,GEN::tuple_type,GEN::type_inference,GEN::unary_op,GEN::union_sum,GEN::unsafe,GEN::variable,GEN::visibility,GEN::while,GEN::yield,CS::nullable_value_types,CS::nullable_reference_annotations,CS::nullable_flow_analysis,CS::implicit_numeric_conversions,CS::explicit_numeric_conversions,CS::boxing_unboxing,CS::user_defined_conversions,CS::constant_expression_conversions,CS::dynamic_type_binding,CS::native_integer_nint_nuint,CS::generic_variance,CS::generic_constraints,CS::generic_type_inference,CS::target_typed_expressions,CS::tuple_names_and_conversion,CS::class_inheritance,CS::interface_implementation,CS::struct_value_semantics,CS::record_semantics,CS::properties_accessors,CS::indexers,CS::events,CS::delegates_multicast,CS::extension_methods,CS::partial_types_methods,CS::required_members,CS::primary_constructors,CS::static_abstract_interface_members,CS::default_interface_members,CS::virtual_override_new_dispatch,CS::overload_resolution_csharp,CS::named_optional_arguments,CS::params_collections,CS::method_group_conversion,CS::operator_overloading,CS::lambda_target_typing,CS::closure_capture_rewriting,CS::expression_trees,CS::switch_expressions,CS::type_patterns,CS::relational_logical_patterns,CS::property_positional_patterns,CS::list_patterns,CS::pattern_variable_scope,CS::pattern_exhaustiveness,CS::conditional_access,CS::null_coalescing,CS::null_forgiving_operator,CS::async_await_csharp,CS::async_state_machine,CS::await_foreach,CS::await_using,CS::yield_iterators,CS::iterator_state_machine,CS::foreach_pattern,CS::exception_filters,CS::using_dispose_pattern,CS::try_finally_unwind,CS::checked_unchecked_context,CS::ref_out_in_parameters,CS::ref_returns_locals,CS::readonly_refs,CS::scoped_refs_escape_analysis,CS::ref_structs,CS::span_like_semantics,CS::stackalloc,CS::fixed_and_pinning,CS::unsafe_pointer_ops,CS::volatile_semantics,CS::lock_monitor_semantics,CS::interlocked_atomic_semantics,CS::attributes_metadata,CS::assemblies_modules_metadata,CS::explicit_interface_impl,CS::reflection_dynamic_runtime,CS::top_level_statements,CS::global_usings_file_namespace,CS::source_generators_compiletime
GEN::abi_calling_convention,1.013426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066354,0.0,0.0,0.0,0.0,0.0,0.066354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066354,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.046918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046918,0.0,0.0,0.001694,0.0,0.0,0.0,0.0,0.0,0.001694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002335,0.002335,0.002342,0.002194,0.024727,0.003349,0.024758,0.024463,0.024111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEN::allocation,0.0,1.009728,0.0,0.0,0.0,0.000205,0.0,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.000205,0.000198,0.0,0.0,0.0,0.0,0.0,0.0,0.000591,0.027832,0.000198,0.000591,0.0,0.041679,0.0,0.000162,0.0,0.0,0.0,0.0,0.0,0.041679,0.0,0.0,0.0,0.0,0.0,0.000198,0.041679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000205,0.0,0.0,0.0,0.0,0.0,0.000205,0.0,0.041679,0.0,0.041679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041679,0.0,0.041679,0.0,0.0,0.0,0.0,0.0,0.000198,0.0,0.0,0.0,0.000118,0.000205,0.000591,0.041679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000272,0.000272,0.000272,0.000439,0.000347,0.000247,0.014341,0.000247,0.0,0.0,0.0,0.0,0.000198,0.000291,0.000272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000628,0.000162,0.000628,0.014798,0.000628,0.000173,0.000162,0.015039,0.015039,0.015039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000288,0.014369,0.000288,0.000167,0.0,0.000291,0.0,0.0,0.0,0.0
GEN::array_list,0.0,0.0,1.005725,0.0,0.023122,0.0,0.0,0.015447,0.023122,8e-05,0.0,0.015364,9.1e-05,0.023122,0.0,0.0,0.015345,0.0,0.0,0.023122,0.0,8e-05,8e-05,0.0,0.0,8e-05,0.0,0.0,8e-05,0.000281,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.023122,8e-05,0.0,0.023122,0.0,0.0,0.0,0.0,0.0,0.023122,0.023122,0.023122,0.023122,0.0,0.0,0.0,0.023122,0.0,0.023122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.0,0.015367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.023122,0.0,0.023122,0.0,0.0,0.000183,0.0,0.000153,0.0,8e-05,0.0,0.023122,0.0,0.0,0.023122,0.0,0.0,0.0,0.0,8e-05,0.015447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000105,0.0,0.0,0.0,0.0,0.0,0.0,0.000105,0.00011,0.00011,8e-05,0.000105,9.1e-05,9.1e-05,0.0,0.000215,7.9e-05,0.000215,0.000183,0.000183,7.9e-05,7.9e-05,0.006303,0.006303,0.0,0.000153,0.000153,0.000281,0.000153,0.000153,0.000153,0.000281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEN::array_type,0.0,0.0,0.0,1.006569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028353,0.0,0.000718,0.019721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000205,0.0,0.0,0.0,0.0,0.0,0.0,0.000205,0.0,0.028353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028353,0.019386,0.000205,0.0,0.0,0.019426,0.028353,0.028353,0.028353,0.028353,0.0,0.019426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028353,0.019721,0.0,0.028353,0.000205,0.0,0.0,0.0,0.0,0.013047,0.012567,0.00032,0.0,0.0,0.0,0.000153,0.0,0.0,0.0,0.013328,0.000806,0.010114,0.012573,0.012793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000223,0.0,0.0,0.0,0.0,0.0,0.0,0.000387,0.00023,0.000282,0.009729,0.000387,0.000153,0.0,0.0,0.0,0.000153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000281,0.000281,0.000205,0.000205,0.000281,0.000281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEN::assignment,0.0,0.0,0.023122,0.0,1.005725,0.0,0.0,0.015447,0.023122,8e-05,0.0,0.015364,9.1e-05,0.023122,0.0,0.0,0.015345,0.0,0.0,0.023122,0.0,8e-05,8e-05,0.0,0.0,8e-05,0.0,0.0,8e-05,0.000281,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.023122,8e-05,0.0,0.023122,0.0,0.0,0.0,0.0,0.0,0.023122,0.023122,0.023122,0.023122,0.0,0.0,0.0,0.023122,0.0,0.023122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.0,0.015367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.023122,0.0,0.023122,0.0,0.0,0.000183,0.0,0.000153,0.0,8e-05,0.0,0.023122,0.0,0.0,0.023122,0.0,0.0,0.0,0.0,8e-05,0.015447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000105,0.0,0.0,0.0,0.0,0.0,0.0,0.000105,0.00011,0.00011,8e-05,0.000105,9.1e-05,9.1e-05,0.0,0.000215,7.9e-05,0.000215,0.000183,0.000183,7.9e-05,7.9e-05,0.006303,0.006303,0.0,0.000153,0.000153,0.000281,0.000153,0.000153,0.000153,0.000281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEN::atomic,0.0,0.000335,0.0,0.0,0.0,1.016123,0.0,0.000569,0.0,0.0,0.0,0.0,0.0,0.0,0.067277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000335,0.0,0.0,0.0,0.000335,0.0,0.000569,0.0,0.0,0.0,0.0,0.0,0.000335,0.0,0.0,0.0,0.0,0.0,0.0,0.000335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067277,0.0,0.0,0.0,0.0,0.0,0.067277,0.0,0.000335,0.0,0.000335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000335,0.0,0.000335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04405,0.067277,0.0,0.000335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000569,0.000569,0.000569,0.000904,0.000569,0.000569,0.000569,0.000335,0.000335,0.000335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047724,0.034552,0.047724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEN::attribute_annotation,0.0,0.0,0.0,0.0,0.0,0.0,1.00962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028731,0.0,0.0,0.0,0.0,0.041643,0.0,0.0,0.000796,0.028731,0.0,0.0,0.0,0.0,0.0,0.041643,0.0,0.0,0.028065,0.000324,0.0,0.0,0.0,0.0,0.041643,0.0,0.028731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028731,0.000324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000324,0.0,0.0,0.0,0.041643,0.041643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000346,0.000346,0.000236,0.0,0.0,0.001091,0.001091,0.001091,0.001091,0.0,0.0,0.0,0.0,0.0,0.000303,0.000303,0.000284,0.001091,0.000796,0.000796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000796,0.0,0.014156,0.000303,0.0
GEN::await,0.0,7e-05,0.016971,0.0,0.016971,0.000205,0.0,1.004547,0.016971,0.000251,0.0,0.015722,0.0001,0.016971,0.000205,0.0,0.015701,0.0,0.0,0.016971,0.0,0.000251,0.000251,7e-05,0.0,0.000251,0.0,7e-05,0.000251,0.01037,0.0,0.0,0.0,0.0,0.0,7e-05,0.000251,0.016971,0.000251,0.0,0.016971,0.0,7e-05,0.0,0.0,0.0,0.016971,0.016971,0.016971,0.016971,0.000205,0.0,0.0,0.016971,0.0,0.016971,0.000205,0.0,7e-05,0.0,7e-05,0.0,0.0,8.8e-05,0.0,0.0,0.015725,0.0,0.0,0.0,0.0,0.0,7e-05,0.0,7e-05,0.000251,0.0,0.016971,0.0,0.016971,0.0,0.0,0.000365,0.0,0.007899,0.000205,0.000251,7e-05,0.016971,0.0,0.0,0.016971,0.0,0.0,0.0,0.0,0.000251,0.023626,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013,0.0,0.0,0.0001,7e-05,0.0,0.000215,0.0,0.0,0.0,0.0001,0.0,0.0001,0.000215,0.000121,0.000121,8.8e-05,0.000215,0.0001,0.00023,0.0,0.000532,0.000186,0.000532,0.000523,0.000424,0.000186,8.6e-05,0.006766,0.006766,0.0,0.00838,0.00826,0.010487,0.008497,0.008531,0.008275,0.010418,0.000504,0.000504,0.000504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013,0.0,0.000103,7e-05,0.000103,0.0,0.000443,0.0,0.0,0.0,0.0,0.0
GEN::binary_op,0.0,0.0,0.023122,0.0,0.023122,0.0,0.0,0.015447,1.005725,8e-05,0.0,0.015364,9.1e-05,0.023122,0.0,0.0,0.015345,0.0,0.0,0.023122,0.0,8e-05,8e-05,0.0,0.0,8e-05,0.0,0.0,8e-05,0.000281,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.023122,8e-05,0.0,0.023122,0.0,0.0,0.0,0.0,0.0,0.023122,0.023122,0.023122,0.023122,0.0,0.0,0.0,0.023122,0.0,0.023122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.0,0.015367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.023122,0.0,0.023122,0.0,0.0,0.000183,0.0,0.000153,0.0,8e-05,0.0,0.023122,0.0,0.0,0.023122,0.0,0.0,0.0,0.0,8e-05,0.015447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000105,0.0,0.0,0.0,0.0,0.0,0.0,0.000105,0.00011,0.00011,8e-05,0.000105,9.1e-05,9.1e-05,0.0,0.000215,7.9e-05,0.000215,0.000183,0.000183,7.9e-05,7.9e-05,0.006303,0.006303,0.0,0.000153,0.000153,0.000281,0.000153,0.000153,0.000153,0.000281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEN::break,0.0,0.0,0.00016,0.0,0.00016,0.0,0.0,0.000457,0.00016,1.00995,0.0,0.00016,0.0,0.00016,0.0,0.0,0.00016,0.0,0.0,0.00016,0.0,0.044079,0.030398,0.0,0.0,0.030398,0.0,0.0,0.044079,0.029938,0.0,0.0,0.0,0.0,0.0,0.0,0.044079,0.00016,0.044079,0.0,0.00016,0.0,0.0,0.0,0.0,0.0,0.00016,0.00016,0.00016,0.00016,0.0,0.0,0.0,0.00016,0.0,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044079,0.0,0.00016,0.0,0.00016,0.0,0.0,0.029922,0.0,0.000227,0.0,0.030398,0.0,0.00016,0.0,0.0,0.00016,0.0,0.0,0.0,0.0,0.044079,0.000457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000612,0.000323,0.000612,0.000523,0.000523,0.000323,0.000345,0.015387,0.015387,0.0,0.000311,0.000227,0.000511,0.000311,0.000311,0.000227,0.000511,0.001141,0.001141,0.001141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
