source_channel,feature,weighted_evidence,base_gap,evidence_x_gap
roslyn_csharp_lowering,literal_null,3804.48,0.311795,1186.218
roslyn_csharp_lowering,parameter,2963.52,0.306638,908.728
roslyn_csharp_lowering,visibility,2242.56,0.592857,1329.517
roslyn_csharp_lowering,literal_boolean,1892.16,0.293787,555.892
roslyn_csharp_lowering,cast_conversion,1714.56,0.500001,857.282
roslyn_csharp_lowering,mutation,1632.0,0.579813,946.255
roslyn_csharp_lowering,variable,1212.48,0.294092,356.581
roslyn_csharp_lowering,function,1193.28,0.258794,308.814
roslyn_csharp_lowering,import,1182.72,0.549172,649.517
roslyn_csharp_lowering,exception_try,1048.32,0.494764,518.671
roslyn_csharp_lowering,constant,1027.2,0.586433,602.384
roslyn_csharp_lowering,assignment,1027.2,0.23814,244.617
roslyn_csharp_lowering,closure_lambda,911.04,0.242511,220.937
roslyn_csharp_lowering,task_async,900.48,0.700945,631.187
roslyn_csharp_lowering,foreach_iteration,713.28,0.459658,327.865
roslyn_csharp_lowering,optional_nullable,693.12,0.52205,361.843
roslyn_csharp_lowering,binary_op,687.36,0.238631,164.025
roslyn_csharp_lowering,scope,627.84,0.470835,295.609
roslyn_csharp_lowering,capture,544.32,0.447668,243.675
roslyn_csharp_lowering,manual_memory,480.0,0.527093,253.005
roslyn_csharp_lowering,attribute_annotation,413.76,0.72735,300.948
roslyn_csharp_lowering,defer_cleanup,406.08,0.524554,213.011
roslyn_csharp_lowering,tuple,363.84,0.45857,166.846
roslyn_csharp_lowering,generic,363.84,0.504306,183.487
roslyn_csharp_lowering,module,306.24,0.51137,156.602
roslyn_csharp_lowering,pattern,284.16,0.643335,182.81
roslyn_csharp_lowering,class,269.76,0.543409,146.59
roslyn_csharp_lowering,primitive_integer,247.68,0.50776,125.762
roslyn_csharp_lowering,unary_op,189.12,0.203165,38.423
roslyn_csharp_lowering,throw_raise,185.28,0.470551,87.184
roslyn_csharp_lowering,allocation,184.32,0.400833,73.882
roslyn_csharp_lowering,thread,150.72,0.577674,87.067
roslyn_csharp_lowering,unsafe,126.72,0.605337,76.708
roslyn_csharp_lowering,await,125.76,0.575056,72.319
roslyn_csharp_lowering,reference,120.96,0.393799,47.634
roslyn_csharp_lowering,map_dict,116.16,0.402066,46.704
roslyn_csharp_lowering,array_type,116.16,0.358671,41.663
roslyn_csharp_lowering,optimizer,115.2,0.420036,48.388
roslyn_csharp_lowering,struct,102.72,0.467068,47.977
roslyn_csharp_lowering,ir,101.76,0.516383,52.547
roslyn_csharp_lowering,overload_resolution,96.96,0.393787,38.182
roslyn_csharp_lowering,code_generation,96.0,0.440521,42.29
roslyn_csharp_lowering,interface_trait,94.08,0.49719,46.776
roslyn_csharp_lowering,reflection,71.04,0.525288,37.316
roslyn_csharp_lowering,goto_label,69.12,0.46116,31.875
roslyn_csharp_lowering,primitive_bool,69.12,0.227951,15.756
roslyn_csharp_lowering,yield,67.2,0.561589,37.739
roslyn_csharp_lowering,enum,54.72,0.400598,21.921
roslyn_csharp_lowering,ffi,50.88,0.581473,29.585
roslyn_csharp_lowering,primitive_float,44.16,0.42016,18.554
roslyn_csharp_lowering,generic_constraint,43.2,0.447445,19.33
roslyn_csharp_lowering,layout_alignment,40.32,0.515643,20.791
roslyn_csharp_lowering,if,39.36,0.164932,6.492
roslyn_csharp_lowering,function_type,33.6,0.527116,17.711
roslyn_csharp_lowering,identifier,32.64,0.257876,8.417
roslyn_csharp_lowering,tuple_type,28.8,0.341091,9.823
roslyn_csharp_lowering,pointer,26.88,0.361811,9.725
roslyn_csharp_lowering,set,21.12,0.189223,3.996
roslyn_csharp_lowering,literal_string,19.2,0.18285,3.511
roslyn_csharp_lowering,return,14.4,0.128675,1.853
roslyn_csharp_lowering,switch_match,13.44,0.294132,3.953
roslyn_csharp_lowering,subtyping,12.48,0.494812,6.175
roslyn_csharp_lowering,index,12.48,0.123707,1.544
roslyn_csharp_lowering,abi_calling_convention,11.52,0.515604,5.94
roslyn_csharp_lowering,for,11.52,0.10932,1.259
roslyn_csharp_lowering,map_type,10.56,0.192233,2.03
roslyn_csharp_lowering,lock_mutex,10.56,0.347378,3.668
