file,size_bytes,purpose
00_README_CODEX_MATRIX_FIRST.md,3186,matrix/handoff evidence
01_source_trust_weight_matrix.csv,1427,matrix/handoff evidence
02_weighted_file_feature_matrix.csv,8936342,matrix/handoff evidence
03_generic_feature_trust_summary.csv,3919,matrix/handoff evidence
04_current_sp_generic_coverage_dimension_matrix.csv,5017,matrix/handoff evidence
05_generic_feature_gap_vector.csv,3537,matrix/handoff evidence
06_csharp_specific_feature_source_matrix.csv,5759,matrix/handoff evidence
07_csharp_specific_source_weight_vector.csv,757,matrix/handoff evidence
08_csharp_specific_semanticprogram_projection_matrix.csv,7256,matrix/handoff evidence
09_csharp_specific_sp_coverage_dimension_matrix.csv,6155,matrix/handoff evidence
10_csharp_specific_gap_vector.csv,7229,matrix/handoff evidence
11_combined_feature_family_projection_matrix.csv,16407,matrix/handoff evidence
12_combined_feature_coupling_matrix.csv,134899,matrix/handoff evidence
13_gap_propagation_operator.csv,178543,matrix/handoff evidence
14_semanticprogram_axis_gap_vector.csv,670,matrix/handoff evidence
15_matrix_derived_clusters.csv,5021,matrix/handoff evidence
16_codex_cluster_implementation_matrix.csv,10020,matrix/handoff evidence
17_roslyn_syntax_binder_bound_gap_matrix.csv,21278,matrix/handoff evidence
18_roslyn_lowering_emit_metadata_gap_matrix.csv,9556,matrix/handoff evidence
19_collector_quality_matrix.csv,1146,matrix/handoff evidence
20_collector_csharp_ontology_extension_matrix.csv,9158,matrix/handoff evidence
21_csharp_behavior_test_evidence_matrix.csv,6377,matrix/handoff evidence
22_scan_source_balance_matrix.csv,1068,matrix/handoff evidence
90_original_language_matrix_csharp.zip,908958,matrix/handoff evidence
