uast_node_kind,go_source_evidence_weight,normalized_share
IntegerType,239751,0.20628053864162574
LiteralExpr,167917,0.14447493110387805
VariableDecl,156994,0.13507683756690647
IRFact,128502,0.1105624659606266
ForeignDeclCall,86449,0.07438027906048318
ImportDecl,54813,0.047160825875860506
ModuleDecl,40549,0.034888152964447625
Effect,36853,0.0317081333990675
FloatType,25735,0.022142262855805558
RecordTypeDecl,20892,0.017975370335476578
SafetyRegion,16349,0.014066596286363515
RaisePanicStmt,15171,0.013053051089389008
InterfaceTypeDecl,14392,0.012382803459131671
ConcurrencyOp,13540,0.011649747000878462
FunctionDecl,12203,0.010499399014159519
GenericParamDecl,10221,0.00879409631432635
ABIContract,10204,0.008779469600957447
DeferCleanupStmt,9941,0.008553185741191491
Visibility,9124,0.00785024310458014
ParameterDecl,8518,0.007328843792723984
ConstantDecl,8325,0.007162787576241743
ReflectionOp,7690,0.006616436812168049
LayoutContract,7336,0.006311857016133265
ChannelTypeOp,6167,0.005306055373295235
AtomicOp,5721,0.004922319246087569
MemoryManagement,4315,0.0037126040109889636
FunctionType,3294,0.002834140813950787
BindingPattern,3091,0.0026594806484280154
Scope,2887,0.002483960088001191
SynchronizationOp,2445,0.002103665540409737
TypeConstraint,2025,0.001742299680707451
Annotation,2009,0.0017285333622426022
ConvertExpr,1967,0.0016923967762723735
TypeInferenceFact,1754,0.0015091326617090713
ClosureExpr,1503,0.0012931735407917526
AssignStmt,1450,0.0012475726108769404
TryStmt,1449,0.0012467122159728872
GotoLabelStmt,1421,0.0012226211586594015
SymbolRef,1402,0.0012062736554823933
CallExpr,1381,0.001188205362497279
ForEachStmt,1355,0.0011658350949918994
NominalTypeDecl,1260,0.0010840975791068584
YieldExpr,1118,0.0009619215027313236
VariantTypeDecl,1097,0.0009438532097462094
TupleExpr,924,0.0007950048913450296
OptionalType,902,0.0007760762034558622
Binding,856,0.0007364980378694213
LoweringFact,766,0.0006590624965046457
OperationExpr,680,0.0005850685347560823
BindingResolution,642,0.000552373528402066
MacroCompileTime,569,0.0004895647004061924
OptimizationFact,544,0.00046805482780486586
ExecutionModel,462,0.0003975024456725148
PointerType,443,0.0003811549424955066
AggregateExpr,415,0.00035706388518202086
CaptureRelation,409,0.00035190151575770245
MapType,392,0.0003372748023888004
ArraySliceType,367,0.00031576492978747385
TypeRelation,351,0.00030199861132262484
SwitchMatchStmt,349,0.00030027782151451874
IndexExpr,342,0.0002942550571861473
MemberAccessExpr,308,0.00026500163044834317
SliceExpr,257,0.00022112149034163702
ReferenceType,250,0.00021509872601326556
OwnershipSemantics,223,0.00019186806360383288
IfStmt,207,0.0001781017451389839
ReturnStmt,202,0.00017379977061871858
LoopStmt,163,0.00014024436936064914
LifetimeRegion,151,0.0001299196305120124
DispatchSemantics,91,7.829593626882867e-05
StringType,73,6.280882799587355e-05
BoolType,69,5.9367248379661296e-05
ShadowingRelation,60,5.162369424318374e-05
CompileTimeEval,54,4.646132481886536e-05
UnionVariantType,49,4.215935029860005e-05
MemoryModelContract,40,3.441579616212249e-05
DispatchResolution,36,3.0974216545910244e-05
BreakStmt,10,8.603949040530623e-06
ContinueStmt,9,7.743554136477561e-06
TupleType,9,7.743554136477561e-06
AwaitExpr,3,2.5811847121591867e-06
ComprehensionExpr,0,0.0
