relation,go_source_evidence_weight,normalized_share
effect.graph,384619,0.1958560615627788
data.flow,382281,0.19466550292700216
types.graph,350650,0.17855833431782722
binding.graph,290964,0.14816497130030595
scope.binding,161751,0.08236700166617103
lowering.graph,129812,0.06610299299719317
abi.graph,96653,0.04921773474068431
control.flow,46663,0.02376177828111442
memory.graph,32664,0.016633193874682754
layout.graph,29374,0.014957856872242568
concurrency.graph,27916,0.014215412693045671
dispatch.graph,14519,0.007393379312592424
scope.graph,3803,0.0019365673617872433
constraint.graph,3779,0.0019243460584259776
annotation.graph,2009,0.0010230249355326249
capture.graph,1912,0.0009736305011141755
call.graph,1381,0.0007032341642461697
dialect.extension,1031,0.0005250068235610434
compiletime.graph,623,0.00031724466641952476
contract.graph,544,0.00027701620952202483
runtime.graph,462,0.00023526008970436668
ownership.graph,223,0.00011355627706509474
lifetime.graph,151,7.689236698129733e-05
