feature,representation,executable_semantics,runtime_contract,backend_capability,coverage_score
abi_calling_convention,0.2600,0.0300,0.0000,0.0000,0.0800
allocation,0.3800,0.1500,0.1200,0.0800,0.2000
array_list,0.3800,0.2500,0.2200,0.1800,0.3000
array_type,0.5300,0.3000,0.2700,0.2300,0.3500
assignment,0.9000,0.7700,0.7400,0.7000,0.8200
atomic,0.1200,0.0000,0.0000,0.0000,0.0400
attribute_annotation,0.1600,0.0300,0.0000,0.0000,0.0800
await,0.1600,0.0300,0.0000,0.0000,0.0800
binary_op,0.9200,0.7900,0.7600,0.7200,0.8400
break,0.8000,0.6700,0.6400,0.6000,0.7200
bytecode_vm,0.1100,0.0000,0.0000,0.0000,0.0300
call,0.8000,0.6700,0.6400,0.6000,0.7200
capture,0.6000,0.3700,0.3400,0.3000,0.4200
cast_conversion,0.4400,0.3100,0.2800,0.2400,0.3600
channel,0.1200,0.0000,0.0000,0.0000,0.0400
class,0.1800,0.0500,0.0200,0.0000,0.1000
closure_lambda,0.6000,0.4700,0.4400,0.4000,0.5200
code_generation,0.1600,0.0300,0.0000,0.0000,0.0800
compile_time_eval,0.1400,0.0100,0.0000,0.0000,0.0600
comprehension,0.5000,0.3700,0.3400,0.3000,0.4200
constant,0.6600,0.5300,0.5000,0.4600,0.5800
continue,0.8000,0.6700,0.6400,0.6000,0.7200
defer_cleanup,0.2000,0.0700,0.0400,0.0000,0.1200
dynamic_dispatch,0.3000,0.0700,0.0400,0.0000,0.1200
enum,0.2600,0.1300,0.1000,0.0600,0.1800
exception_try,0.2000,0.0700,0.0400,0.0000,0.1200
ffi,0.3400,0.1100,0.0800,0.0400,0.1600
filesystem,0.3800,0.1500,0.1200,0.0800,0.2000
for,0.7400,0.6100,0.5800,0.5400,0.6600
foreach_iteration,0.6300,0.5000,0.4700,0.4300,0.5500
function,0.7000,0.5700,0.5400,0.5000,0.6200
function_type,0.5200,0.2900,0.2600,0.2200,0.3400
gc,0.2300,0.0000,0.0000,0.0000,0.0500
generic,0.2400,0.1100,0.0800,0.0400,0.1600
generic_constraint,0.3400,0.1100,0.0800,0.0400,0.1600
global_state,0.3800,0.1500,0.1200,0.0800,0.2000
goto_label,0.4400,0.3100,0.2800,0.2400,0.3600
identifier,0.9600,0.8300,0.8000,0.7600,0.8800
if,0.8600,0.7300,0.7000,0.6600,0.7800
import,0.2300,0.1000,0.0700,0.0300,0.1500
index,0.7600,0.6300,0.6000,0.5600,0.6800
interface_trait,0.2000,0.0700,0.0400,0.0000,0.1200
io,0.3800,0.1500,0.1200,0.0800,0.2000
ir,0.1600,0.0300,0.0000,0.0000,0.0800
layout_alignment,0.2600,0.0300,0.0000,0.0000,0.0800
lifetime,0.4300,0.2000,0.1700,0.1300,0.2500
literal_boolean,0.9000,0.7700,0.7400,0.7000,0.8200
literal_null,0.7200,0.5900,0.5600,0.5200,0.6400
literal_numeric,0.5000,0.3700,0.3400,0.3000,0.4200
literal_string,0.5000,0.3700,0.3400,0.3000,0.4200
lock_mutex,0.1300,0.0000,0.0000,0.0000,0.0500
macro,0.1400,0.0100,0.0000,0.0000,0.0600
manual_memory,0.2600,0.0300,0.0000,0.0000,0.0800
map_dict,0.3200,0.1900,0.1600,0.1200,0.2400
map_type,0.3600,0.1300,0.1000,0.0600,0.1800
member_access,0.5200,0.3900,0.3600,0.3200,0.4400
memory_model,0.1200,0.0000,0.0000,0.0000,0.0400
module,0.2000,0.0700,0.0400,0.0000,0.1200
mutation,0.8000,0.5700,0.5400,0.5000,0.6200
name_resolution,0.4800,0.2500,0.2200,0.1800,0.3000
network,0.3800,0.1500,0.1200,0.0800,0.2000
optimizer,0.1100,0.0000,0.0000,0.0000,0.0300
optional_nullable,0.5600,0.3300,0.3000,0.2600,0.3800
overload_resolution,0.2600,0.0300,0.0000,0.0000,0.0800
ownership,0.3800,0.1500,0.1200,0.0800,0.2000
parameter,0.6800,0.5500,0.5200,0.4800,0.6000
pattern,0.2300,0.1000,0.0700,0.0300,0.1500
pointer,0.3600,0.1300,0.1000,0.0600,0.1800
primitive_bool,0.7800,0.5500,0.5200,0.4800,0.6000
primitive_float,0.6800,0.4500,0.4200,0.3800,0.5000
primitive_integer,0.3600,0.1300,0.1000,0.0600,0.1800
primitive_string,0.7300,0.5000,0.4700,0.4300,0.5500
random,0.3800,0.1500,0.1200,0.0800,0.2000
reference,0.3600,0.1300,0.1000,0.0600,0.1800
reflection,0.2300,0.0000,0.0000,0.0000,0.0500
return,0.8400,0.7100,0.6800,0.6400,0.7600
scope,0.7600,0.5300,0.5000,0.4600,0.5800
set,0.2600,0.1300,0.1000,0.0600,0.1800
shadowing,0.6000,0.3700,0.3400,0.3000,0.4200
slice,0.4000,0.2700,0.2400,0.2000,0.3200
struct,0.3200,0.1900,0.1600,0.1200,0.2400
subtyping,0.3300,0.1000,0.0700,0.0300,0.1500
switch_match,0.3600,0.2300,0.2000,0.1600,0.2800
symbol_table,0.5000,0.2700,0.2400,0.2000,0.3200
task_async,0.1200,0.0000,0.0000,0.0000,0.0400
thread,0.1300,0.0000,0.0000,0.0000,0.0500
throw_raise,0.2600,0.1300,0.1000,0.0600,0.1800
time,0.3800,0.1500,0.1200,0.0800,0.2000
tuple,0.3300,0.2000,0.1700,0.1300,0.2500
tuple_type,0.3600,0.1300,0.1000,0.0600,0.1800
type_inference,0.3600,0.1300,0.1000,0.0600,0.1800
unary_op,0.8800,0.7500,0.7200,0.6800,0.8000
union_sum,0.3600,0.1300,0.1000,0.0600,0.1800
unsafe,0.2600,0.0300,0.0000,0.0000,0.0800
variable,0.7000,0.5700,0.5400,0.5000,0.6200
visibility,0.2400,0.1100,0.0800,0.0400,0.1600
while,0.8000,0.6700,0.6400,0.6000,0.7200
yield,0.1800,0.0500,0.0200,0.0000,0.1000
