feature,family,javac_frontend_semantics,language_model_processing,classfile_bytecode,java_base_runtime,concurrency_jmm,reflection_modules_invokedynamic,ffi_abi,gc_reachability,hotspot_vm_runtime,jit_optimizer,behavior_tests,library_platform_sources,docs_spec_notes,build_metadata,other,weighted_evidence,unique_path_evidence_files,related_generic_features
java.binary_numeric_promotion,types_conversions_generics,584.0000,26.6000,261.2800,1761.7600,431.3000,391.6000,1096.4800,2590.7200,2354.2800,1447.3200,159180.0000,20851.6000,17.1500,1.3600,0.0000,190995.4500,0,primitive_integer;primitive_float;cast_conversion;binary_op
java.primitive_widening_narrowing,types_conversions_generics,454.0000,26.6000,261.2800,1743.2800,342.9500,391.6000,1096.4800,2590.7200,2349.6800,1419.6000,157575.8000,20612.7200,17.1500,1.3600,0.0000,188883.2200,8,primitive_integer;primitive_float;cast_conversion
java.boxing_unboxing,types_conversions_generics,2938.0000,437.9500,379.9600,2167.4400,829.3500,1707.2000,3226.9600,3879.6400,5580.7200,3090.3600,41704.6000,41502.1600,196.7000,7.2000,0.0000,107648.2400,31,cast_conversion;class;primitive_integer;primitive_bool
java.method_invocation_conversion,calls_resolution_dispatch,288.0000,13.3000,2.7600,233.8000,44.6500,255.2400,60.4800,20.2400,155.9200,73.9200,2170.0000,1587.7600,11.5500,1.2800,0.0000,4918.9000,285,cast_conversion;call;overload_resolution
java.overload_resolution,calls_resolution_dispatch,3225.0000,639.3500,490.3600,2953.8800,663.1000,3571.0800,2181.2800,319.2400,1930.6000,1741.3200,26229.6000,18150.7600,207.5500,866.5600,0.0000,63169.6800,300,overload_resolution;call;name_resolution;parameter
java.generic_erasure,types_conversions_generics,1022.0000,112.1000,115.0000,292.1600,72.2000,539.4400,457.6000,1452.6800,3107.7600,1538.0400,7040.8000,6243.4400,42.0000,2713.0400,0.0000,24748.2600,87,generic;generic_constraint;subtyping
java.wildcard_extends_super,types_conversions_generics,1017.0000,117.1000,115.0000,292.1600,72.2000,549.4400,467.6000,1452.6800,3107.7600,1538.0400,7120.8000,6138.4400,42.0000,2713.0400,0.0000,24743.2600,86,generic;generic_constraint;subtyping
java.capture_conversion,types_conversions_generics,1503.0000,118.7500,115.9200,305.3600,80.7500,609.8400,657.9600,1492.2400,3120.6400,1652.2800,7848.8000,6422.2000,55.3000,2713.0400,0.0000,26696.0800,78,generic;generic_constraint;capture;subtyping
java.type_inference_constraints,types_conversions_generics,264.0000,5.7000,20.2400,44.8800,19.0000,92.4000,165.4400,301.4000,877.3200,376.2400,2585.8000,1909.8800,6.6500,2.0000,0.0000,6670.9500,326,type_inference;generic_constraint;overload_resolution
java.raw_types,types_conversions_generics,3714.0000,533.9000,490.3600,2220.2400,837.9000,1936.0000,3143.3600,3989.1200,6636.8800,4040.4000,45770.2000,37661.6800,225.4000,2718.9600,0.0000,113918.4000,1,generic;class;subtyping
