feature,family,representation,executable_semantics,runtime_contract,backend_capability,coverage_score
java.binary_numeric_promotion,types_conversions_generics,0.3700,0.1900,0.1700,0.1400,0.2200
java.primitive_widening_narrowing,types_conversions_generics,0.4000,0.2200,0.2000,0.1700,0.2500
java.boxing_unboxing,types_conversions_generics,0.3300,0.1500,0.1300,0.1000,0.1800
java.method_invocation_conversion,calls_resolution_dispatch,0.3000,0.1200,0.1000,0.0700,0.1500
java.overload_resolution,calls_resolution_dispatch,0.2500,0.0700,0.0500,0.0200,0.1000
java.generic_erasure,types_conversions_generics,0.2500,0.0700,0.0500,0.0200,0.1000
java.wildcard_extends_super,types_conversions_generics,0.2300,0.0500,0.0300,0.0000,0.0800
java.capture_conversion,types_conversions_generics,0.2500,0.0700,0.0500,0.0200,0.1000
java.type_inference_constraints,types_conversions_generics,0.2300,0.0500,0.0300,0.0000,0.0800
java.raw_types,types_conversions_generics,0.2300,0.0500,0.0300,0.0000,0.0800
java.intersection_types,types_conversions_generics,0.2700,0.0900,0.0700,0.0400,0.1200
java.var_local_inference,types_conversions_generics,0.2700,0.0900,0.0700,0.0400,0.1200
java.array_covariance_store_check,types_conversions_generics,0.2300,0.0500,0.0300,0.0000,0.0800
java.null_reference_semantics,types_conversions_generics,0.4500,0.2700,0.2500,0.2200,0.3000
java.unsigned_absence_signed_wrap,types_conversions_generics,0.3300,0.1500,0.1300,0.1000,0.1800
java.ieee754_always_strict,types_conversions_generics,0.3700,0.1900,0.1700,0.1400,0.2200
java.class_interface_inheritance,declarations_object_model,0.2700,0.0900,0.0700,0.0400,0.1200
java.records,declarations_object_model,0.2300,0.0500,0.0300,0.0000,0.0800
java.sealed_classes_interfaces,declarations_object_model,0.2100,0.0300,0.0100,0.0000,0.0600
java.enums_semantics,declarations_object_model,0.3500,0.1700,0.1500,0.1200,0.2000
java.annotation_semantics,declarations_object_model,0.2300,0.0500,0.0300,0.0000,0.0800
java.annotation_processing,compiletime_metadata,0.2000,0.0200,0.0000,0.0000,0.0500
java.inner_local_anonymous_classes,declarations_object_model,0.2500,0.0700,0.0500,0.0200,0.1000
java.default_interface_methods,calls_resolution_dispatch,0.2100,0.0300,0.0100,0.0000,0.0600
java.field_hiding_method_overriding,calls_resolution_dispatch,0.2700,0.0900,0.0700,0.0400,0.1200
java.access_control,bindings_modules,0.3300,0.1500,0.1300,0.1000,0.1800
java.definite_assignment_unassignment,bindings_flow,0.2300,0.0500,0.0300,0.0000,0.0800
java.effectively_final_capture,bindings_flow,0.2900,0.1100,0.0900,0.0600,0.1400
java.static_instance_initialization_order,declarations_object_model,0.2500,0.0700,0.0500,0.0200,0.1000
java.lambda_target_typing,calls_resolution_dispatch,0.3100,0.1300,0.1100,0.0800,0.1600
java.method_references,calls_resolution_dispatch,0.2500,0.0700,0.0500,0.0200,0.1000
java.virtual_interface_dispatch,calls_resolution_dispatch,0.2700,0.0900,0.0700,0.0400,0.1200
java.invokedynamic_bootstrap,bytecode_jvm,0.2000,0.0200,0.0000,0.0000,0.0500
java.method_handles_varhandles,reflection_dynamic,0.2000,0.0200,0.0000,0.0000,0.0500
java.switch_expression,control_patterns,0.3300,0.1500,0.1300,0.1000,0.1800
java.pattern_instanceof,control_patterns,0.2300,0.0500,0.0300,0.0000,0.0800
java.record_patterns,control_patterns,0.1900,0.0100,0.0000,0.0000,0.0400
java.pattern_switch_exhaustiveness,control_patterns,0.2000,0.0200,0.0000,0.0000,0.0500
java.foreach_desugaring,control_patterns,0.6000,0.4200,0.4000,0.3700,0.4500
java.labeled_break_continue,control_patterns,0.6000,0.4200,0.4000,0.3700,0.4500
java.left_to_right_evaluation,evaluation_operations,0.7700,0.5900,0.5700,0.5400,0.6200
java.short_circuit_boolean,evaluation_operations,0.8500,0.6700,0.6500,0.6200,0.7000
java.checked_unchecked_exceptions,exceptions_resources,0.2500,0.0700,0.0500,0.0200,0.1000
java.try_catch_finally,exceptions_resources,0.3500,0.1700,0.1500,0.1200,0.2000
java.try_with_resources_suppression,exceptions_resources,0.2000,0.0200,0.0000,0.0000,0.0500
java.assert_semantics,control_patterns,0.3500,0.1700,0.1500,0.1200,0.2000
java.jpms_modules,bindings_modules,0.2100,0.0300,0.0100,0.0000,0.0600
java.import_static_resolution,bindings_modules,0.3300,0.1500,0.1300,0.1000,0.1800
java.package_namespace_resolution,bindings_modules,0.3500,0.1700,0.1500,0.1200,0.2000
java.reflection_runtime_type,reflection_dynamic,0.2000,0.0200,0.0000,0.0000,0.0500
java.class_loading_linking_initialization,jvm_runtime_object_model,0.1900,0.0100,0.0000,0.0000,0.0400
java.object_identity_hash_monitor,jvm_runtime_object_model,0.1900,0.0100,0.0000,0.0000,0.0400
java.string_interning,jvm_runtime_object_model,0.2300,0.0500,0.0300,0.0000,0.0800
java.monitor_synchronized,concurrency_memory_model,0.2100,0.0300,0.0100,0.0000,0.0600
java.volatile_semantics,concurrency_memory_model,0.2000,0.0200,0.0000,0.0000,0.0500
java.final_field_memory_semantics,concurrency_memory_model,0.1900,0.0100,0.0000,0.0000,0.0400
java.happens_before_jmm,concurrency_memory_model,0.1800,0.0000,0.0000,0.0000,0.0300
java.atomic_varhandle_ordering,concurrency_memory_model,0.1900,0.0100,0.0000,0.0000,0.0400
java.thread_interruption,concurrency_memory_model,0.2100,0.0300,0.0100,0.0000,0.0600
java.virtual_threads,concurrency_memory_model,0.1800,0.0000,0.0000,0.0000,0.0300
java.structured_concurrency,concurrency_memory_model,0.1700,0.0000,0.0000,0.0000,0.0200
java.classfile_descriptors_signatures,bytecode_jvm,0.1900,0.0100,0.0000,0.0000,0.0400
java.bytecode_operand_stack_frames,bytecode_jvm,0.1800,0.0000,0.0000,0.0000,0.0300
java.bytecode_verification,bytecode_jvm,0.1700,0.0000,0.0000,0.0000,0.0200
java.exception_table_bytecode,bytecode_jvm,0.1800,0.0000,0.0000,0.0000,0.0300
java.constant_pool,bytecode_jvm,0.2000,0.0200,0.0000,0.0000,0.0500
java.jvm_gc_allocation,gc_memory_runtime,0.2000,0.0200,0.0000,0.0000,0.0500
java.gc_reachability_reference_types,gc_memory_runtime,0.1900,0.0100,0.0000,0.0000,0.0400
java.safepoint_deoptimization_osr,jit_vm_optimization,0.1700,0.0000,0.0000,0.0000,0.0200
java.tiered_jit_compilation,jit_vm_optimization,0.1700,0.0000,0.0000,0.0000,0.0200
java.escape_analysis_scalar_replacement,jit_vm_optimization,0.1700,0.0000,0.0000,0.0000,0.0200
java.object_layout_headers_compressed_oops,gc_memory_runtime,0.1800,0.0000,0.0000,0.0000,0.0300
java.jni_boundary,ffi_abi,0.2300,0.0500,0.0300,0.0000,0.0800
java.foreign_function_memory_api,ffi_abi,0.1900,0.0100,0.0000,0.0000,0.0400
java.native_method_resolution,ffi_abi,0.1900,0.0100,0.0000,0.0000,0.0400
java.compile_time_constants,compiletime_metadata,0.4000,0.2200,0.2000,0.1700,0.2500
java.classfile_lowering,compiletime_metadata,0.2000,0.0200,0.0000,0.0000,0.0500
java.bridge_synthetic_methods,compiletime_metadata,0.1900,0.0100,0.0000,0.0000,0.0400
java.preview_feature_gating,compiletime_metadata,0.1800,0.0000,0.0000,0.0000,0.0300
java.value_class_preview,declarations_object_model,0.1600,0.0000,0.0000,0.0000,0.0100
