feature,family,normalized_importance,coverage_score,base_gap,path_evidence_files,behavior_test_evidence_files,related_generic_features
java.binary_numeric_promotion,types_conversions_generics,0.647902,0.220000,0.505363,0,0,primitive_integer;primitive_float;cast_conversion;binary_op
java.primitive_widening_narrowing,types_conversions_generics,0.706192,0.250000,0.529644,8,7,primitive_integer;primitive_float;cast_conversion
java.boxing_unboxing,types_conversions_generics,0.681265,0.180000,0.558637,31,31,cast_conversion;class;primitive_integer;primitive_bool
java.method_invocation_conversion,calls_resolution_dispatch,0.547861,0.150000,0.465682,285,174,cast_conversion;call;overload_resolution
java.overload_resolution,calls_resolution_dispatch,0.661889,0.100000,0.595700,300,186,overload_resolution;call;name_resolution;parameter
java.generic_erasure,types_conversions_generics,0.694762,0.100000,0.625286,87,58,generic;generic_constraint;subtyping
java.wildcard_extends_super,types_conversions_generics,0.694532,0.080000,0.638969,86,74,generic;generic_constraint;subtyping
java.capture_conversion,types_conversions_generics,0.684767,0.100000,0.616290,78,72,generic;generic_constraint;capture;subtyping
java.type_inference_constraints,types_conversions_generics,0.620299,0.080000,0.570675,326,289,type_inference;generic_constraint;overload_resolution
java.raw_types,types_conversions_generics,0.696440,0.080000,0.640725,1,1,generic;class;subtyping
java.intersection_types,types_conversions_generics,0.591206,0.120000,0.520261,12,10,generic_constraint;subtyping;union_sum
java.var_local_inference,types_conversions_generics,0.702602,0.120000,0.618290,3,2,type_inference;variable
java.array_covariance_store_check,types_conversions_generics,0.737566,0.080000,0.678561,62,46,array_type;subtyping;exception_try
java.null_reference_semantics,types_conversions_generics,0.763687,0.300000,0.534581,37,34,literal_null;optional_nullable;reference
java.unsigned_absence_signed_wrap,types_conversions_generics,0.624480,0.180000,0.512074,5,1,primitive_integer;binary_op
java.ieee754_always_strict,types_conversions_generics,0.729717,0.220000,0.569179,48,48,primitive_float;binary_op
java.class_interface_inheritance,declarations_object_model,0.718329,0.120000,0.632129,4,1,class;interface_trait;subtyping
java.records,declarations_object_model,0.817741,0.080000,0.752322,53,45,struct;class;parameter
java.sealed_classes_interfaces,declarations_object_model,0.770996,0.060000,0.724736,97,93,class;interface_trait;subtyping
java.enums_semantics,declarations_object_model,0.806192,0.200000,0.644954,337,273,enum;class
java.annotation_semantics,declarations_object_model,0.872837,0.080000,0.803010,969,838,attribute_annotation;class
java.annotation_processing,compiletime_metadata,0.737858,0.050000,0.700965,154,101,attribute_annotation;code_generation
java.inner_local_anonymous_classes,declarations_object_model,0.755344,0.100000,0.679810,111,106,class;capture;scope
java.default_interface_methods,calls_resolution_dispatch,0.734762,0.060000,0.690677,96,94,interface_trait;dynamic_dispatch;function
java.field_hiding_method_overriding,calls_resolution_dispatch,0.599454,0.120000,0.527519,139,136,member_access;dynamic_dispatch;subtyping;name_resolution
java.access_control,bindings_modules,0.748824,0.180000,0.614036,308,122,visibility;member_access;scope
java.definite_assignment_unassignment,bindings_flow,0.743722,0.080000,0.684225,229,206,variable;scope;if
java.effectively_final_capture,bindings_flow,0.750527,0.140000,0.645454,17,16,capture;closure_lambda;variable
java.static_instance_initialization_order,declarations_object_model,0.845305,0.100000,0.760775,73,68,class;constant;variable
java.lambda_target_typing,calls_resolution_dispatch,0.733294,0.160000,0.615967,872,854,closure_lambda;function_type;type_inference
java.method_references,calls_resolution_dispatch,0.476472,0.100000,0.428824,2,1,closure_lambda;member_access;call
java.virtual_interface_dispatch,calls_resolution_dispatch,0.689143,0.120000,0.606446,94,59,dynamic_dispatch;interface_trait;class;call
java.invokedynamic_bootstrap,bytecode_jvm,0.593603,0.050000,0.563923,35,24,bytecode_vm;dynamic_dispatch;call
java.method_handles_varhandles,reflection_dynamic,0.703399,0.050000,0.668229,277,221,reflection;dynamic_dispatch;atomic
java.switch_expression,control_patterns,0.545492,0.180000,0.447304,34,30,switch_match;yield
java.pattern_instanceof,control_patterns,0.620213,0.080000,0.570596,33,28,pattern;if;cast_conversion
java.record_patterns,control_patterns,0.663673,0.040000,0.637126,17,16,pattern;struct;switch_match
java.pattern_switch_exhaustiveness,control_patterns,0.607742,0.050000,0.577355,13,11,pattern;switch_match;subtyping
java.foreach_desugaring,control_patterns,0.605081,0.450000,0.332795,229,99,foreach_iteration;for
java.labeled_break_continue,control_patterns,0.394087,0.450000,0.216748,2,0,goto_label;break;continue
java.left_to_right_evaluation,evaluation_operations,0.454713,0.620000,0.172791,20,17,binary_op;call;assignment;member_access
java.short_circuit_boolean,evaluation_operations,0.422144,0.700000,0.126643,3,3,binary_op;primitive_bool;if
java.checked_unchecked_exceptions,exceptions_resources,0.724020,0.100000,0.651618,2,1,exception_try;throw_raise;subtyping
