feature,origin,family,bindings_flow,bindings_modules,bytecode_jvm,calls_resolution_dispatch,compiletime_metadata,concurrency_memory_model,control_patterns,declarations_object_model,evaluation_operations,exceptions_resources,ffi_abi,gc_memory_runtime,jit_vm_optimization,jvm_runtime_object_model,reflection_dynamic,types_conversions_generics
abi_calling_convention,generic,ffi_abi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
allocation,generic,gc_memory_runtime,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
array_list,generic,evaluation_operations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
array_type,generic,types_conversions_generics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
assignment,generic,evaluation_operations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
atomic,generic,concurrency_memory_model,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
attribute_annotation,generic,declarations_object_model,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
await,generic,evaluation_operations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
binary_op,generic,evaluation_operations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
break,generic,control_patterns,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
bytecode_vm,generic,bytecode_jvm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
call,generic,calls_resolution_dispatch,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
capture,generic,bindings_flow,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cast_conversion,generic,evaluation_operations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
channel,generic,concurrency_memory_model,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
class,generic,declarations_object_model,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
closure_lambda,generic,calls_resolution_dispatch,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
code_generation,generic,jit_vm_optimization,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
compile_time_eval,generic,compiletime_metadata,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
comprehension,generic,evaluation_operations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
constant,generic,declarations_object_model,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
continue,generic,control_patterns,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
defer_cleanup,generic,exceptions_resources,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
dynamic_dispatch,generic,calls_resolution_dispatch,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
enum,generic,declarations_object_model,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
exception_try,generic,exceptions_resources,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ffi,generic,ffi_abi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
filesystem,generic,reflection_dynamic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
for,generic,control_patterns,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
foreach_iteration,generic,control_patterns,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
function,generic,declarations_object_model,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
function_type,generic,types_conversions_generics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gc,generic,gc_memory_runtime,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
generic,generic,types_conversions_generics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
generic_constraint,generic,types_conversions_generics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
global_state,generic,reflection_dynamic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
goto_label,generic,control_patterns,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
identifier,generic,evaluation_operations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
if,generic,control_patterns,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
import,generic,bindings_modules,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
index,generic,evaluation_operations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
interface_trait,generic,declarations_object_model,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
io,generic,reflection_dynamic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ir,generic,bytecode_jvm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
layout_alignment,generic,ffi_abi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
lifetime,generic,declarations_object_model,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
literal_boolean,generic,evaluation_operations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
literal_null,generic,evaluation_operations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
literal_numeric,generic,evaluation_operations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
literal_string,generic,evaluation_operations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
lock_mutex,generic,concurrency_memory_model,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
macro,generic,compiletime_metadata,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
manual_memory,generic,ffi_abi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
map_dict,generic,evaluation_operations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
map_type,generic,declarations_object_model,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
member_access,generic,calls_resolution_dispatch,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
memory_model,generic,concurrency_memory_model,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
module,generic,bindings_modules,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mutation,generic,bindings_flow,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
name_resolution,generic,calls_resolution_dispatch,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
network,generic,reflection_dynamic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
optimizer,generic,jit_vm_optimization,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
optional_nullable,generic,types_conversions_generics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
overload_resolution,generic,calls_resolution_dispatch,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ownership,generic,gc_memory_runtime,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
parameter,generic,calls_resolution_dispatch,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pattern,generic,control_patterns,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pointer,generic,types_conversions_generics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
primitive_bool,generic,types_conversions_generics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
primitive_float,generic,types_conversions_generics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
primitive_integer,generic,types_conversions_generics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
primitive_string,generic,types_conversions_generics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
random,generic,reflection_dynamic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
reference,generic,types_conversions_generics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
reflection,generic,reflection_dynamic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
return,generic,control_patterns,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
scope,generic,bindings_modules,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
set,generic,evaluation_operations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
shadowing,generic,bindings_flow,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slice,generic,evaluation_operations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
struct,generic,declarations_object_model,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
subtyping,generic,types_conversions_generics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
switch_match,generic,control_patterns,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
symbol_table,generic,bindings_modules,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
