feature,family,gap_score,coverage,semantic_layer
java.class_loading_linking_initialization,jvm_runtime_object_model,0.812979,0.0400,runtime_contract
java.virtual_threads,concurrency_memory_model,0.790327,0.0300,runtime_contract
java.classfile_descriptors_signatures,bytecode_jvm,0.768484,0.0400,MIR/LIR/runtime_lowering
java.thread_interruption,concurrency_memory_model,0.758502,0.0600,runtime_contract
java.safepoint_deoptimization_osr,jit_vm_optimization,0.758387,0.0200,MIR/LIR/runtime_lowering
java.bytecode_operand_stack_frames,bytecode_jvm,0.752936,0.0300,MIR/LIR/runtime_lowering
java.structured_concurrency,concurrency_memory_model,0.748956,0.0200,runtime_contract
java.exception_table_bytecode,bytecode_jvm,0.736703,0.0300,MIR/LIR/runtime_lowering
java.foreign_function_memory_api,ffi_abi,0.732525,0.0400,runtime_contract
java.jni_boundary,ffi_abi,0.732165,0.0800,runtime_contract
java.reflection_runtime_type,reflection_dynamic,0.727320,0.0500,runtime_contract
java.constant_pool,bytecode_jvm,0.722259,0.0500,MIR/LIR/runtime_lowering
java.escape_analysis_scalar_replacement,jit_vm_optimization,0.719194,0.0200,MIR/LIR/runtime_lowering
java.tiered_jit_compilation,jit_vm_optimization,0.718959,0.0200,MIR/LIR/runtime_lowering
java.final_field_memory_semantics,concurrency_memory_model,0.714655,0.0400,runtime_contract
java.jvm_gc_allocation,gc_memory_runtime,0.712663,0.0500,runtime_contract
java.gc_reachability_reference_types,gc_memory_runtime,0.706798,0.0400,runtime_contract
java.atomic_varhandle_ordering,concurrency_memory_model,0.696761,0.0400,runtime_contract
java.object_layout_headers_compressed_oops,gc_memory_runtime,0.696548,0.0300,runtime_contract
java.monitor_synchronized,concurrency_memory_model,0.680507,0.0600,runtime_contract
java.object_identity_hash_monitor,jvm_runtime_object_model,0.678699,0.0400,runtime_contract
java.happens_before_jmm,concurrency_memory_model,0.673065,0.0300,runtime_contract
java.volatile_semantics,concurrency_memory_model,0.671164,0.0500,runtime_contract
java.method_handles_varhandles,reflection_dynamic,0.668229,0.0500,runtime_contract
java.string_interning,jvm_runtime_object_model,0.660286,0.0800,runtime_contract
java.bytecode_verification,bytecode_jvm,0.659190,0.0200,MIR/LIR/runtime_lowering
java.native_method_resolution,ffi_abi,0.644330,0.0400,runtime_contract
java.invokedynamic_bootstrap,bytecode_jvm,0.563923,0.0500,MIR/LIR/runtime_lowering
