feature,family,collector_detection_sources,semanticprogram_axes,required_collector_upgrade
java.binary_numeric_promotion,types_conversions_generics,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,types.structure;types.origin;conversion.semantics;operations;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.primitive_widening_narrowing,types_conversions_generics,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,types.structure;types.origin;conversion.semantics;operations;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.boxing_unboxing,types_conversions_generics,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,types.structure;types.origin;conversion.semantics;operations;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.method_invocation_conversion,calls_resolution_dispatch,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,scope.binding;binding.graph;types.structure;conversion.semantics;evaluation.order;operations;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.overload_resolution,calls_resolution_dispatch,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,scope.binding;binding.graph;types.structure;conversion.semantics;evaluation.order;operations;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.generic_erasure,types_conversions_generics,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,types.structure;types.origin;conversion.semantics;operations;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.wildcard_extends_super,types_conversions_generics,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,types.structure;types.origin;conversion.semantics;operations;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.capture_conversion,types_conversions_generics,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,types.structure;types.origin;conversion.semantics;operations;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.type_inference_constraints,types_conversions_generics,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,types.structure;types.origin;conversion.semantics;operations;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.raw_types,types_conversions_generics,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,types.structure;types.origin;conversion.semantics;operations;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.intersection_types,types_conversions_generics,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,types.structure;types.origin;conversion.semantics;operations;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.var_local_inference,types_conversions_generics,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,types.structure;types.origin;conversion.semantics;operations;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.array_covariance_store_check,types_conversions_generics,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,types.structure;types.origin;conversion.semantics;operations;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.null_reference_semantics,types_conversions_generics,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,types.structure;types.origin;conversion.semantics;operations;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.unsigned_absence_signed_wrap,types_conversions_generics,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,types.structure;types.origin;conversion.semantics;operations;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.ieee754_always_strict,types_conversions_generics,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,types.structure;types.origin;conversion.semantics;operations;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.class_interface_inheritance,declarations_object_model,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,nodes.declaration;scope.binding;binding.graph;types.structure;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.records,declarations_object_model,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,nodes.declaration;scope.binding;binding.graph;types.structure;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.sealed_classes_interfaces,declarations_object_model,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,nodes.declaration;scope.binding;binding.graph;types.structure;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.enums_semantics,declarations_object_model,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,nodes.declaration;scope.binding;binding.graph;types.structure;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.annotation_semantics,declarations_object_model,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,nodes.declaration;scope.binding;binding.graph;types.structure;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.annotation_processing,compiletime_metadata,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,compiletime.semantics;lowering.pipeline;dialect.extension;types.structure;nodes.declaration,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.inner_local_anonymous_classes,declarations_object_model,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,nodes.declaration;scope.binding;binding.graph;types.structure;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
