feature,family,normalized_importance,coverage_score,base_gap,unique_evidence_files,dominant_source_groups
kotlin.nullable_type,nullability_flow,0.847634,0.133400,0.734559,800,behavior_tests;ir_codegen_backends;plugins_extensions;interop_abi
kotlin.null_safety_flow,nullability_flow,0.829032,0.093500,0.751517,615,behavior_tests;tools_build;interop_abi;plugins_extensions
kotlin.safe_call,nullability_flow,0.737066,0.081400,0.677068,206,behavior_tests;ir_codegen_backends;interop_abi;plugins_extensions
kotlin.elvis_operator,nullability_flow,0.725543,0.081400,0.666483,196,behavior_tests;ir_codegen_backends;interop_abi;plugins_extensions
kotlin.non_null_assertion,nullability_flow,0.655051,0.081400,0.601730,88,behavior_tests;compiler_frontend_core;other
kotlin.smart_cast,nullability_flow,0.868368,0.081400,0.797683,1079,behavior_tests;ir_codegen_backends;plugins_extensions;interop_abi
kotlin.platform_flexible_type,nullability_flow,0.617681,0.081400,0.567402,84,behavior_tests;core_types_descriptors;compiler_frontend_core;plugins_extensions
kotlin.definitely_non_null_type,nullability_flow,0.473370,0.081400,0.434838,15,behavior_tests
kotlin.intersection_type,types_inference_generics,0.663678,0.083400,0.608327,171,behavior_tests;core_types_descriptors;tools_build
kotlin.captured_type,types_inference_generics,0.642121,0.083400,0.588568,142,behavior_tests;core_types_descriptors;plugins_extensions
kotlin.type_alias,types_inference_generics,0.731064,0.083400,0.670094,764,behavior_tests;interop_abi;core_types_descriptors;tools_build
kotlin.variance_in_out,types_inference_generics,0.698894,0.083400,0.640606,164,behavior_tests;ir_codegen_backends;tools_build;plugins_extensions
kotlin.star_projection,types_inference_generics,0.600925,0.083400,0.550807,81,behavior_tests;plugins_extensions;tools_build;core_types_descriptors
kotlin.generic_where_constraints,types_inference_generics,0.419967,0.083400,0.384942,1,behavior_tests
kotlin.type_inference_constraint_system,types_inference_generics,0.559179,0.083400,0.512544,8,behavior_tests;compiler_frontend_core
kotlin.builder_inference,types_inference_generics,0.475385,0.083400,0.435738,26,behavior_tests
kotlin.reified_type_parameter,types_inference_generics,0.743937,0.083400,0.681893,370,behavior_tests;ir_codegen_backends;plugins_extensions;compiler_frontend_core
kotlin.function_type,types_inference_generics,0.697752,0.135400,0.603276,183,behavior_tests;ir_codegen_backends;core_types_descriptors;plugins_extensions
kotlin.receiver_function_type,types_inference_generics,0.451643,0.087300,0.412214,8,behavior_tests
kotlin.suspend_function_type,types_inference_generics,0.564088,0.083400,0.517043,32,behavior_tests;core_types_descriptors;tools_build;other
kotlin.unit_type,types_inference_generics,0.459433,0.083400,0.421117,25,behavior_tests
kotlin.nothing_type,types_inference_generics,0.583213,0.083400,0.534573,60,behavior_tests
kotlin.unsigned_integer_types,types_inference_generics,0.687437,0.087300,0.627423,596,behavior_tests;stdlib_contract;ir_codegen_backends;native_runtime
kotlin.value_class,declarations_objects,0.678188,0.074200,0.627867,205,behavior_tests;ir_codegen_backends;plugins_extensions;core_types_descriptors
kotlin.data_class,declarations_objects,0.708371,0.080700,0.651205,327,behavior_tests;ir_codegen_backends;plugins_extensions;compiler_frontend_core
kotlin.sealed_class_interface,declarations_objects,0.701949,0.080700,0.645301,363,behavior_tests;tools_build;ir_codegen_backends;interop_abi
kotlin.enum_entry_semantics,declarations_objects,0.659873,0.080700,0.606621,253,behavior_tests;ir_codegen_backends;stdlib_contract;tools_build
kotlin.object_singleton,declarations_objects,0.627004,0.080700,0.576405,138,behavior_tests;plugins_extensions;ir_codegen_backends;tools_build
kotlin.companion_object,declarations_objects,0.656748,0.080700,0.603748,243,behavior_tests;tools_build;plugins_extensions;ir_codegen_backends
kotlin.extension_function_property,declarations_objects,0.414000,0.080700,0.380590,0,
kotlin.delegated_property,declarations_objects,0.722400,0.080700,0.664103,425,behavior_tests;tools_build;plugins_extensions
