rank,feature,category,semantic_layer,importance,current_sp_support,base_gap,propagated_gap,cluster,trusted_ast_hits,trusted_grammar_hits
1,exception_try,control,language_surface,0.988806,0.000000,0.988806,1.162736,CL03,6,1
2,pattern,expression,language_surface,0.871397,0.000000,0.871397,1.062134,CL07,3,2
3,yield,expression,language_surface,0.839800,0.000000,0.839800,1.031600,CL06,3,2
4,tuple,expression,language_surface,0.846462,0.000000,0.846462,1.012202,CL02,2,0
5,class,declaration,language_surface,0.859141,0.120000,0.756044,0.954527,CL01,2,0
6,map_dict,expression,language_surface,0.711294,0.000000,0.711294,0.897354,CL02,3,0
7,import,declaration,language_surface,0.720048,0.000000,0.720048,0.896465,CL01,0,0
8,throw_raise,control,language_surface,0.728065,0.065000,0.680741,0.888324,CL03,1,0
9,module,declaration,language_surface,0.689256,0.000000,0.689256,0.880163,CL01,0,0
10,attribute_annotation,declaration,language_surface,0.649958,0.000000,0.649958,0.841455,CL01,0,0
11,await,expression,language_surface,0.615992,0.000000,0.615992,0.789420,CL06,1,0
12,generic,declaration,typing_semantics,0.561521,0.120000,0.494139,0.658920,CL01,1,0
13,comprehension,expression,language_surface,0.470250,0.000000,0.470250,0.620629,CL02,0,0
14,closure_lambda,expression,language_surface,0.563906,0.350000,0.366539,0.592766,CL09,0,0
15,interface_trait,declaration,typing_semantics,0.429286,0.120000,0.377771,0.570124,CL01,0,0
16,defer_cleanup,control,runtime_semantics,0.363669,0.000000,0.363669,0.554418,CL03,0,0
17,capture,binding,language_surface,0.450534,0.250000,0.337900,0.550902,CL05,0,0
18,function,declaration,language_surface,1.000000,0.620000,0.380000,0.548371,CL01,4,4
19,visibility,declaration,typing_semantics,0.383735,0.000000,0.383735,0.532310,CL01,0,0
20,cast_conversion,expression,typing_semantics,0.365903,0.040000,0.351267,0.530805,CL01,0,0
21,task_async,concurrency,runtime_semantics,0.416208,0.182500,0.340250,0.513488,CL08,0,0
22,foreach_iteration,control,language_surface,0.542081,0.400000,0.325249,0.508850,CL03,0,0
23,thread,concurrency,runtime_semantics,0.418198,0.182500,0.341877,0.483396,CL08,0,0
24,slice,expression,language_surface,0.409028,0.000000,0.409028,0.478142,CL02,1,0
