feature,abi_calling_convention,allocation,array_list,array_type,assignment,atomic,attribute_annotation,await,binary_op,break,bytecode_vm,call,capture,cast_conversion,channel,class,closure_lambda,code_generation,compile_time_eval,comprehension,constant,continue,defer_cleanup,dynamic_dispatch,enum,exception_try,ffi,filesystem,for,foreach_iteration,function,function_type,gc,generic,generic_constraint,global_state,goto_label,identifier,if,import,index,interface_trait,io,ir,layout_alignment,lifetime,literal_boolean,literal_null,literal_numeric,literal_string,lock_mutex,macro,manual_memory,map_dict,map_type,member_access,memory_model,module,mutation,name_resolution,network,optimizer,optional_nullable,overload_resolution,ownership,parameter,pattern,pointer,primitive_bool,primitive_float,primitive_integer,primitive_string,random,reference,reflection,return,scope,set,shadowing,slice,struct,subtyping,switch_match,symbol_table,task_async,thread,throw_raise,time,tuple,tuple_type,type_inference,unary_op,union_sum,unsafe,variable,visibility,while,yield
abi_calling_convention,0.00000,0.13747,0.00279,0.02520,0.07955,0.08094,0.13584,0.04450,0.04801,0.00391,0.08311,0.01154,0.05820,0.10595,0.04322,0.10902,0.10111,0.04141,0.03840,0.06032,0.13497,0.01594,0.10994,0.03356,0.11884,0.14485,0.84733,0.08217,0.02689,0.12125,0.15773,0.10155,0.74898,0.12363,0.08996,0.06131,0.06423,0.09025,0.01529,0.15669,0.08005,0.14325,0.10067,0.14692,0.77596,0.05476,0.13025,0.14889,0.01566,0.04361,0.07943,0.12193,0.77574,0.11087,0.02651,0.00000,0.00332,0.14441,0.14958,0.02653,0.08609,0.11309,0.12687,0.05398,0.70897,0.15249,0.09069,0.44752,0.01266,0.09587,0.10947,0.05147,0.09607,0.49289,0.08752,0.01539,0.06850,0.02893,0.04433,0.05488,0.14371,0.08743,0.02814,0.04063,0.12352,0.12953,0.10933,0.06149,0.13788,0.01839,0.07459,0.04097,0.03736,0.71979,0.15712,0.14297,0.00341,0.09210
allocation,0.13747,0.00000,0.00000,0.03952,0.06729,0.14963,0.11860,0.05313,0.05378,0.02128,0.10624,0.00721,0.06211,0.09923,0.03711,0.09888,0.08075,0.04721,0.04660,0.06140,0.13086,0.01392,0.12560,0.68708,0.11548,0.14312,0.14330,0.71931,0.00693,0.12178,0.15096,0.08192,0.14780,0.12179,0.06494,0.72317,0.13399,0.08583,0.01604,0.13729,0.08897,0.10601,0.72994,0.13487,0.16768,0.05959,0.12919,0.15058,0.02678,0.03818,0.11694,0.12910,0.25375,0.10646,0.01391,0.00000,0.00380,0.12391,0.80619,0.02692,0.72398,0.12912,0.10142,0.05085,0.12693,0.13395,0.07463,0.03759,0.01150,0.10692,0.14621,0.04439,0.74505,0.13898,0.72328,0.01235,0.06315,0.01310,0.03152,0.05242,0.15339,0.09229,0.02966,0.04919,0.12700,0.16256,0.09908,0.71581,0.13047,0.00683,0.07299,0.03973,0.04589,0.07182,0.17655,0.13416,0.00213,0.09059
array_list,0.00279,0.00000,0.00000,0.00000,0.29340,0.00000,0.00215,0.25000,0.25000,0.04167,0.00000,0.25000,0.03976,0.25447,0.00000,0.01637,0.25000,0.00000,0.00000,0.65000,0.02648,0.04167,0.04167,0.00000,0.03575,0.05869,0.02049,0.00000,0.04167,0.04434,0.01644,0.00000,0.00000,0.00000,0.00000,0.05712,0.07371,0.28484,0.04167,0.01217,0.45000,0.00291,0.00346,0.00224,0.01957,0.00000,0.25171,0.26445,0.25000,0.31492,0.00000,0.00000,0.00000,0.65389,0.00000,0.25000,0.00000,0.00166,0.00000,0.00000,0.00479,0.00000,0.00287,0.00000,0.00000,0.01917,0.28140,0.00000,0.00000,0.03042,0.00000,0.00000,0.00000,0.00000,0.00000,0.22981,0.00000,0.65000,0.00000,0.65000,0.02013,0.00000,0.04167,0.00000,0.00000,0.02200,0.06173,0.00000,0.65224,0.00000,0.00000,0.25000,0.00000,0.00000,0.01858,0.00339,0.04167,0.25295
array_type,0.02520,0.03952,0.00000,0.00000,0.03293,0.03566,0.10245,0.00213,0.00531,0.00000,0.00896,0.00000,0.00646,0.42952,0.01167,0.08219,0.03397,0.00569,0.00991,0.02183,0.08540,0.00000,0.02979,0.04452,0.09239,0.02605,0.03775,0.00553,0.00000,0.02959,0.08798,0.67010,0.03948,0.49344,0.67244,0.00232,0.05318,0.02030,0.00490,0.08592,0.03058,0.48225,0.01036,0.03441,0.05568,0.00386,0.03248,0.03427,0.00658,0.01056,0.03519,0.03286,0.05671,0.04415,0.65000,0.00000,0.00000,0.09102,0.04645,0.00474,0.01460,0.02734,0.68405,0.66183,0.00843,0.09546,0.02531,0.35413,0.67386,0.69251,0.69420,0.66557,0.01401,0.27941,0.01125,0.00000,0.00582,0.00000,0.00000,0.05483,0.10319,0.69747,0.00000,0.00616,0.02369,0.03458,0.02379,0.01350,0.04190,0.65000,0.69889,0.00000,0.78067,0.00863,0.09249,0.06013,0.00000,0.01231
assignment,0.07955,0.06729,0.29340,0.03293,0.00000,0.05026,0.11446,0.37379,0.74608,0.04897,0.06127,0.65000,0.07786,0.34907,0.02845,0.10659,0.37478,0.03643,0.03548,0.40291,0.10883,0.05726,0.13770,0.03650,0.10307,0.14754,0.08317,0.05261,0.13879,0.16539,0.10721,0.09322,0.05968,0.11921,0.10102,0.08140,0.08777,0.54633,0.06780,0.08672,0.60134,0.08449,0.06161,0.10574,0.07936,0.04486,0.75208,0.74821,0.66844,0.73972,0.04003,0.06328,0.06751,0.35938,0.03559,0.65000,0.00000,0.08845,0.10483,0.03448,0.05114,0.07941,0.08643,0.05767,0.04424,0.11112,0.37031,0.02913,0.01875,0.08982,0.03645,0.01419,0.06684,0.05604,0.05383,0.09393,0.10609,0.29270,0.05689,0.33709,0.07552,0.07061,0.06268,0.09038,0.11480,0.06101,0.14642,0.02287,0.36449,0.02506,0.03035,0.74986,0.04855,0.05270,0.09153,0.08150,0.07697,0.36152
atomic,0.08094,0.14963,0.00000,0.03566,0.05026,0.00000,0.07158,0.03252,0.02283,0.00738,0.08521,0.00000,0.03538,0.05876,0.66854,0.05905,0.05117,0.02395,0.02334,0.02429,0.09232,0.00859,0.07683,0.05000,0.09358,0.09231,0.10118,0.04082,0.00527,0.09859,0.09853,0.04363,0.10911,0.08340,0.03639,0.04329,0.08089,0.05050,0.02032,0.08538,0.07073,0.07086,0.04376,0.09246,0.10217,0.02893,0.08652,0.09351,0.01046,0.02351,0.76445,0.08581,0.13096,0.07217,0.04163,0.00000,0.68442,0.07099,0.12549,0.01112,0.04423,0.11688,0.07021,0.04521,0.11438,0.08583,0.05843,0.03707,0.01400,0.07029,0.12711,0.02419,0.06658,0.10150,0.03629,0.01452,0.03207,0.01523,0.01567,0.04280,0.10214,0.06331,0.01593,0.03487,0.54089,0.78702,0.06615,0.06784,0.08554,0.01125,0.05207,0.00000,0.03835,0.07641,0.11873,0.09269,0.00643,0.05533
attribute_annotation,0.13584,0.11860,0.00215,0.10245,0.11446,0.07158,0.00000,0.08472,0.08739,0.00301,0.09378,0.00889,0.14870,0.12388,0.05378,0.86609,0.16992,0.05663,0.04165,0.11297,0.81875,0.00644,0.16596,0.03500,0.37928,0.22001,0.15200,0.09571,0.04081,0.16961,0.86418,0.18472,0.10208,0.40928,0.15440,0.07088,0.07880,0.12686,0.02615,0.85546,0.10400,0.40949,0.13262,0.18958,0.17348,0.10017,0.21073,0.21668,0.01207,0.06667,0.07868,0.11831,0.11436,0.15366,0.08120,0.00000,0.00256,0.85484,0.18062,0.08402,0.10619,0.09706,0.21229,0.10869,0.05839,0.85992,0.13376,0.10324,0.06178,0.17319,0.13596,0.07797,0.10769,0.14324,0.08083,0.01769,0.15475,0.02619,0.09864,0.05525,0.39541,0.16922,0.01663,0.11620,0.17956,0.13549,0.19477,0.05738,0.19095,0.06877,0.10329,0.07757,0.10409,0.07595,0.81046,0.79299,0.01696,0.15526
await,0.04450,0.05313,0.25000,0.00213,0.37379,0.03252,0.08472,0.00000,0.35598,0.05049,0.06347,0.25000,0.06877,0.33174,0.02409,0.08479,0.37295,0.03919,0.02455,0.38701,0.09084,0.05194,0.14513,0.02229,0.06694,0.13435,0.05310,0.04272,0.15017,0.13533,0.08758,0.09645,0.04566,0.09544,0.07362,0.05472,0.06612,0.31575,0.07081,0.06998,0.37114,0.06238,0.06499,0.08866,0.06090,0.03459,0.33741,0.33208,0.26902,0.34313,0.03548,0.04293,0.04474,0.32001,0.00707,0.25000,0.00000,0.07860,0.07055,0.03344,0.07222,0.05695,0.05991,0.05583,0.03874,0.08429,0.35709,0.01088,0.01083,0.06024,0.02354,0.00000,0.04933,0.03749,0.04663,0.07323,0.07420,0.29703,0.05699,0.28330,0.05688,0.04375,0.04674,0.07537,0.34024,0.06717,0.14302,0.03654,0.33007,0.02242,0.00994,0.36665,0.01517,0.04594,0.06310,0.05367,0.07662,0.76692
binary_op,0.04801,0.05378,0.25000,0.00531,0.74608,0.02283,0.08739,0.35598,0.00000,0.05266,0.05328,0.66474,0.06184,0.36337,0.00240,0.06069,0.34412,0.03831,0.00000,0.42516,0.11161,0.05447,0.11617,0.00610,0.06125,0.11594,0.04531,0.00208,0.14234,0.11145,0.07372,0.10319,0.01450,0.11385,0.07367,0.04406,0.09525,0.55137,0.10824,0.05822,0.63669,0.02899,0.04245,0.05613,0.06210,0.00437,0.71804,0.71887,0.65000,0.71881,0.02681,0.05583,0.04723,0.29968,0.00000,0.65000,0.00000,0.06800,0.08646,0.02315,0.00467,0.07041,0.08871,0.01521,0.03380,0.08419,0.34884,0.00753,0.00000,0.05229,0.02758,0.05658,0.01008,0.05884,0.03692,0.08100,0.02633,0.30671,0.05519,0.27974,0.06287,0.03387,0.04167,0.02724,0.10319,0.03362,0.10601,0.01027,0.34338,0.00000,0.02277,0.91955,0.00210,0.02074,0.06791,0.02559,0.08522,0.36818
break,0.00391,0.02128,0.04167,0.00000,0.04897,0.00738,0.00301,0.05049,0.05266,0.00000,0.00618,0.04167,0.00669,0.07143,0.01610,0.00246,0.04599,0.00000,0.00000,0.05041,0.01889,0.73584,0.26757,0.00000,0.02550,0.26214,0.01637,0.00762,0.65000,0.65375,0.01173,0.00616,0.00645,0.00000,0.00000,0.00961,0.27021,0.04167,0.65000,0.00868,0.05010,0.00408,0.00485,0.00314,0.01564,0.01598,0.05303,0.05198,0.04167,0.04167,0.00000,0.00510,0.02259,0.04712,0.00000,0.04167,0.00000,0.00233,0.00342,0.00000,0.00671,0.00634,0.01912,0.00000,0.00000,0.01368,0.04695,0.00000,0.00000,0.02170,0.00000,0.00000,0.00644,0.00000,0.00931,0.65000,0.00803,0.04167,0.01633,0.04167,0.01609,0.00670,0.25000,0.01274,0.00365,0.01758,0.25301,0.00000,0.04480,0.00000,0.00000,0.04167,0.00000,0.00000,0.01326,0.00475,0.65000,0.06128
