feature,abi_calling_convention,allocation,array_list,array_type,assignment,atomic,attribute_annotation,await,binary_op,break,bytecode_vm,call,capture,cast_conversion,channel,class,closure_lambda,code_generation,compile_time_eval,comprehension,constant,continue,defer_cleanup,dynamic_dispatch,enum,exception_try,ffi,filesystem,for,foreach_iteration,function,function_type,gc,generic,generic_constraint,global_state,goto_label,identifier,if,import,index,interface_trait,io,ir,layout_alignment,lifetime,literal_boolean,literal_null,literal_numeric,literal_string,lock_mutex,macro,manual_memory,map_dict,map_type,member_access,memory_model,module,mutation,name_resolution,network,optimizer,optional_nullable,overload_resolution,ownership,parameter,pattern,pointer,primitive_bool,primitive_float,primitive_integer,primitive_string,random,reference,reflection,return,scope,set,shadowing,slice,struct,subtyping,switch_match,symbol_table,task_async,thread,throw_raise,time,tuple,tuple_type,type_inference,unary_op,union_sum,unsafe,variable,visibility,while,yield
abi_calling_convention,1.00484,0.00192,0.00000,0.00000,0.00000,0.00120,0.00293,0.00000,0.00000,0.00000,0.00053,0.00000,0.00032,0.00104,0.00000,0.00283,0.00098,0.00000,0.00000,0.00000,0.00221,0.00000,0.00227,0.00000,0.00217,0.03336,0.04240,0.00125,0.00000,0.00230,0.03663,0.00079,0.00085,0.00122,0.00058,0.00036,0.00083,0.00053,0.00000,0.03568,0.00000,0.00230,0.00202,0.03330,0.00264,0.00050,0.00428,0.03452,0.00000,0.00000,0.00151,0.00157,0.00167,0.00120,0.00000,0.00000,0.00000,0.03160,0.03385,0.00000,0.00040,0.00041,0.00279,0.00000,0.00074,0.03522,0.00058,0.00000,0.00000,0.00166,0.02306,0.00000,0.00094,0.00052,0.01808,0.00000,0.00015,0.00000,0.00000,0.00000,0.00279,0.00111,0.00000,0.00000,0.00214,0.00267,0.00259,0.00000,0.00359,0.00000,0.00000,0.00000,0.00000,0.00082,0.03520,0.00262,0.00000,0.00094
allocation,0.00125,1.00933,0.00000,0.00000,0.00000,0.02350,0.00110,0.00000,0.00000,0.00000,0.01554,0.00000,0.00010,0.00027,0.00000,0.00043,0.00032,0.00000,0.00000,0.00000,0.00201,0.00000,0.00128,0.00000,0.00100,0.00357,0.00183,0.00008,0.00000,0.00146,0.02395,0.00028,0.02209,0.00116,0.00014,0.00054,0.02067,0.00011,0.00000,0.00314,0.00000,0.00049,0.00026,0.00061,0.02543,0.00000,0.00163,0.02416,0.00000,0.00000,0.01822,0.01740,0.03924,0.00031,0.00000,0.00000,0.00000,0.00165,0.02603,0.00000,0.00028,0.01892,0.00112,0.00000,0.02034,0.00253,0.00012,0.00000,0.00000,0.00086,0.02269,0.00000,0.00024,0.02164,0.00019,0.00000,0.00000,0.00000,0.00000,0.00000,0.02415,0.00036,0.00000,0.00043,0.00119,0.02650,0.00040,0.00000,0.00405,0.00000,0.00092,0.00000,0.00000,0.00085,0.03024,0.00071,0.00000,0.00069
array_list,0.00000,0.00000,1.03016,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01253,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.18814,0.00000,0.02182,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
array_type,0.00000,0.00000,0.00000,1.02735,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10413,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.13067,0.00000,0.00000,0.00000,0.00000,0.00000
assignment,0.00000,0.00000,0.00000,0.00000,1.00913,0.00000,0.02509,0.02784,0.00383,0.00000,0.00103,0.00000,0.00065,0.00153,0.00000,0.00092,0.02662,0.00000,0.00000,0.03607,0.00345,0.00000,0.00057,0.00000,0.00049,0.00312,0.00000,0.00000,0.02048,0.02522,0.00312,0.00071,0.00000,0.02689,0.00137,0.01752,0.00021,0.00156,0.00089,0.00101,0.03498,0.00057,0.00049,0.00109,0.00051,0.00000,0.00261,0.00308,0.00000,0.01926,0.00000,0.00018,0.00112,0.00129,0.00000,0.00000,0.00000,0.00101,0.00136,0.00000,0.00045,0.00075,0.00053,0.00000,0.00000,0.00370,0.02614,0.00000,0.00000,0.00000,0.00000,0.00000,0.00015,0.00017,0.00031,0.00052,0.02409,0.00056,0.00039,0.01738,0.00025,0.00033,0.00000,0.02017,0.02613,0.00000,0.00182,0.00000,0.02514,0.00000,0.00000,0.00426,0.00000,0.00000,0.00093,0.00102,0.00118,0.00404
atomic,0.00169,0.05095,0.00000,0.00000,0.00000,1.00794,0.00041,0.00000,0.00000,0.00000,0.00364,0.00000,0.00000,0.00029,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00141,0.00000,0.00158,0.00000,0.00066,0.00354,0.00282,0.00000,0.00000,0.00138,0.00351,0.00029,0.03342,0.00111,0.00025,0.00026,0.00303,0.00000,0.00000,0.00177,0.00000,0.00035,0.00000,0.00042,0.00438,0.00000,0.00121,0.00343,0.00000,0.00000,0.03632,0.00132,0.04415,0.00034,0.00000,0.00000,0.00000,0.00125,0.04161,0.00000,0.00052,0.03443,0.00045,0.00000,0.03616,0.00097,0.00000,0.00000,0.00000,0.00033,0.04040,0.00000,0.00025,0.00531,0.00020,0.00000,0.00000,0.00000,0.00000,0.00000,0.00440,0.00028,0.00000,0.00048,0.00093,0.04625,0.00000,0.00000,0.00187,0.00000,0.00000,0.00000,0.00000,0.00131,0.04001,0.00071,0.00000,0.00000
attribute_annotation,0.00095,0.00055,0.00000,0.00000,0.00844,0.00010,1.00720,0.00087,0.00095,0.00000,0.00064,0.00000,0.00090,0.00894,0.00016,0.01613,0.01265,0.00000,0.00000,0.00133,0.01323,0.00000,0.00242,0.00000,0.00887,0.02080,0.00156,0.00101,0.00014,0.00395,0.02032,0.00983,0.00041,0.01278,0.00765,0.00069,0.00068,0.00940,0.00000,0.01667,0.00100,0.01218,0.00121,0.01690,0.01227,0.00000,0.01794,0.01953,0.00000,0.00080,0.00007,0.00079,0.00063,0.01133,0.00000,0.00000,0.00000,0.01605,0.01565,0.00000,0.00782,0.00059,0.01271,0.00000,0.00000,0.02055,0.00998,0.00000,0.00000,0.00114,0.00027,0.00000,0.00786,0.00018,0.00055,0.00000,0.00750,0.00000,0.00000,0.00012,0.00137,0.00861,0.00000,0.00067,0.01385,0.00114,0.01553,0.00016,0.01701,0.00000,0.00000,0.00095,0.00000,0.00059,0.00224,0.00992,0.00000,0.01212
await,0.00000,0.00000,0.00000,0.00000,0.03899,0.00000,0.00363,1.00813,0.03479,0.00000,0.00090,0.00000,0.00098,0.00231,0.00000,0.00085,0.03563,0.00000,0.00000,0.04477,0.00408,0.00000,0.00079,0.00000,0.00000,0.00304,0.00000,0.00000,0.03273,0.00292,0.00235,0.00201,0.00000,0.00487,0.00069,0.00105,0.00000,0.00261,0.00197,0.00072,0.04019,0.00000,0.00000,0.00072,0.00000,0.00000,0.00294,0.00291,0.00000,0.02768,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00072,0.00000,0.00000,0.00051,0.00051,0.00000,0.00000,0.00000,0.00286,0.03323,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00075,0.00247,0.00087,0.00049,0.00118,0.00000,0.00000,0.00000,0.00177,0.04015,0.00000,0.00216,0.00000,0.00293,0.00000,0.00000,0.03747,0.00000,0.00000,0.00000,0.00000,0.00185,0.03482
binary_op,0.00000,0.00000,0.00000,0.00000,0.00462,0.00000,0.00342,0.02997,1.01067,0.00000,0.00098,0.00000,0.00037,0.02884,0.00000,0.00000,0.00175,0.00000,0.00000,0.04763,0.02966,0.00000,0.00000,0.00000,0.00000,0.00344,0.00000,0.00000,0.02738,0.00221,0.00344,0.02691,0.00000,0.03271,0.00109,0.00059,0.00000,0.00315,0.00225,0.00046,0.04993,0.00000,0.00000,0.00164,0.00000,0.00000,0.00105,0.00200,0.00000,0.00312,0.00000,0.00034,0.00044,0.00000,0.00000,0.00000,0.00000,0.00046,0.00237,0.00000,0.00032,0.00069,0.00068,0.00000,0.00000,0.00353,0.00406,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00024,0.00000,0.00201,0.00070,0.00054,0.00083,0.00000,0.00000,0.00000,0.00142,0.02653,0.00000,0.00058,0.00000,0.00401,0.00000,0.00000,0.06910,0.00000,0.00000,0.00000,0.00000,0.00147,0.03042
break,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00722,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
