rank,ast_node,kind,file,line,gap_score,mapped_features,missing_or_partial_features
1,MatchClass,asdl_constructor,Parser/Python.asdl,138,1.414651,class;switch_match,class;switch_match
2,MatchMapping,asdl_constructor,Parser/Python.asdl,137,1.357477,map_dict;switch_match,map_dict;switch_match
3,Try,asdl_constructor,Parser/Python.asdl,44,1.162736,exception_try,exception_try
4,TryStar,asdl_constructor,Parser/Python.asdl,45,1.162736,exception_try,exception_try
5,ExceptHandler,asdl_constructor,Parser/Python.asdl,113,1.162736,exception_try,exception_try
6,GeneratorExp,asdl_constructor,Parser/Python.asdl,71,1.031600,yield,yield
7,YieldFrom,asdl_constructor,Parser/Python.asdl,75,1.031600,yield,yield
8,Yield,asdl_constructor,Parser/Python.asdl,74,1.031600,yield,yield
9,TypeVarTuple,asdl_constructor,Parser/Python.asdl,152,1.012202,tuple,tuple
10,Tuple,asdl_constructor,Parser/Python.asdl,92,1.012202,tuple,tuple
11,ClassDef,asdl_constructor,Parser/Python.asdl,18,0.954527,class,class
12,DictComp,asdl_constructor,Parser/Python.asdl,70,0.897354,map_dict,map_dict
13,Dict,asdl_constructor,Parser/Python.asdl,66,0.897354,map_dict,map_dict
14,Raise,asdl_constructor,Parser/Python.asdl,43,0.888324,throw_raise,throw_raise
15,Await,asdl_constructor,Parser/Python.asdl,73,0.789420,await,await
16,TemplateStr,asdl_constructor,Parser/Python.asdl,83,0.658920,generic,generic
17,FunctionDef,asdl_constructor,Parser/Python.asdl,11,0.548371,function,function
18,FunctionType,asdl_constructor,Parser/Python.asdl,9,0.548371,function,function
19,AsyncFunctionDef,asdl_constructor,Parser/Python.asdl,14,0.548371,function,function
20,Lambda,asdl_constructor,Parser/Python.asdl,64,0.548371,function,function
21,Slice,asdl_constructor,Parser/Python.asdl,95,0.478142,slice,slice
22,Match,asdl_constructor,Parser/Python.asdl,41,0.460123,switch_match,switch_match
23,MatchValue,asdl_constructor,Parser/Python.asdl,134,0.460123,switch_match,switch_match
