feature,importance,coverage,gap,family
abi_calling_convention,0.723508,0.017500,0.710847,packages_ffi
allocation,0.719302,0.097500,0.649170,runtime_memory
array_list,0.000000,0.017500,0.000000,vectors_types_indexing
array_type,0.000000,0.113500,0.000000,vectors_types_indexing
assignment,0.578955,0.480500,0.300767,bindings_environments
atomic,0.509053,0.069500,0.473674,effects_runtime
attribute_annotation,0.799623,0.017500,0.785629,objects_dispatch
await,0.000000,0.017500,0.000000,core_syntax_control
binary_op,0.315609,0.606500,0.124192,vectors_types_indexing
break,0.000000,0.492500,0.000000,core_syntax_control
bytecode_vm,0.486630,0.017500,0.478114,compiler_metaprogramming
call,0.164572,0.606500,0.064759,evaluation_promises_nse
capture,0.570055,0.053500,0.539557,bindings_environments
cast_conversion,0.574975,0.065500,0.537314,vectors_types_indexing
channel,0.243364,0.017500,0.239105,effects_runtime
class,0.745291,0.113500,0.660701,objects_dispatch
closure_lambda,0.618630,0.263000,0.455930,bindings_environments
code_generation,0.325321,0.017500,0.319628,compiler_metaprogramming
compile_time_eval,0.113590,0.017500,0.111602,compiler_metaprogramming
comprehension,0.035781,0.017500,0.035155,core_syntax_control
constant,0.637703,0.263000,0.469987,core_syntax_control
continue,0.000000,0.492500,0.000000,core_syntax_control
defer_cleanup,0.641133,0.017500,0.629913,conditions_cleanup
dynamic_dispatch,0.188753,0.069500,0.175635,objects_dispatch
enum,0.540212,0.113500,0.478898,core_syntax_control
exception_try,0.654673,0.017500,0.643217,conditions_cleanup
ffi,0.810470,0.069500,0.754142,packages_ffi
filesystem,0.398055,0.097500,0.359244,effects_runtime
for,0.000000,0.492500,0.000000,core_syntax_control
foreach_iteration,0.519154,0.492500,0.263471,core_syntax_control
function,0.952649,0.480500,0.494901,evaluation_promises_nse
function_type,0.674011,0.113500,0.597511,vectors_types_indexing
gc,0.504645,0.017500,0.495813,runtime_memory
generic,0.796917,0.113500,0.706467,objects_dispatch
generic_constraint,0.434030,0.113500,0.384768,objects_dispatch
global_state,0.319474,0.097500,0.288326,effects_runtime
goto_label,0.627373,0.017500,0.616394,core_syntax_control
identifier,0.420207,0.558500,0.185521,bindings_environments
if,0.268593,0.492500,0.136311,core_syntax_control
import,0.902967,0.017500,0.887165,packages_ffi
index,0.572587,0.606500,0.225313,vectors_types_indexing
interface_trait,0.517888,0.113500,0.459108,objects_dispatch
io,0.582533,0.097500,0.525736,effects_runtime
ir,0.783121,0.017500,0.769416,compiler_metaprogramming
layout_alignment,0.780028,0.065500,0.728936,runtime_memory
lifetime,0.126965,0.101500,0.114078,runtime_memory
literal_boolean,0.981337,0.480500,0.509804,core_syntax_control
literal_null,1.000000,0.480500,0.519500,core_syntax_control
literal_numeric,0.000000,0.480500,0.000000,core_syntax_control
literal_string,0.191423,0.480500,0.099444,core_syntax_control
lock_mutex,0.407333,0.069500,0.379023,effects_runtime
macro,0.688604,0.017500,0.676553,compiler_metaprogramming
manual_memory,0.734910,0.017500,0.722049,runtime_memory
map_dict,0.364319,0.017500,0.357943,vectors_types_indexing
map_type,0.130140,0.113500,0.115369,vectors_types_indexing
member_access,0.000000,0.263000,0.000000,vectors_types_indexing
memory_model,0.000000,0.017500,0.000000,runtime_memory
module,0.894239,0.017500,0.878590,packages_ffi
mutation,0.699217,0.069500,0.650622,effects_runtime
name_resolution,0.134731,0.095500,0.121864,bindings_environments
network,0.525993,0.097500,0.474708,effects_runtime
optimizer,0.421608,0.017500,0.414230,compiler_metaprogramming
optional_nullable,0.556942,0.113500,0.493729,vectors_types_indexing
overload_resolution,0.000000,0.065500,0.000000,vectors_types_indexing
ownership,0.113224,0.065500,0.105808,runtime_memory
parameter,0.838824,0.558500,0.370341,evaluation_promises_nse
pattern,0.750130,0.017500,0.737002,core_syntax_control
pointer,0.116118,0.113500,0.102939,runtime_memory
primitive_bool,0.071019,0.125500,0.062106,vectors_types_indexing
primitive_float,0.961402,0.125500,0.840746,vectors_types_indexing
primitive_integer,0.623364,0.089500,0.567573,vectors_types_indexing
primitive_string,0.217482,0.125500,0.190188,vectors_types_indexing
random,0.667888,0.097500,0.602769,effects_runtime
reference,0.081402,0.113500,0.072163,vectors_types_indexing
reflection,0.399157,0.069500,0.371416,compiler_metaprogramming
return,0.053254,0.492500,0.027026,core_syntax_control
scope,0.425860,0.095500,0.385191,bindings_environments
set,0.000000,0.017500,0.000000,vectors_types_indexing
shadowing,0.244863,0.053500,0.231763,bindings_environments
slice,0.000000,0.017500,0.000000,vectors_types_indexing
struct,0.753390,0.113500,0.667880,core_syntax_control
subtyping,0.521095,0.065500,0.486964,objects_dispatch
switch_match,0.035781,0.017500,0.035155,core_syntax_control
symbol_table,0.439011,0.095500,0.397085,bindings_environments
task_async,0.662061,0.069500,0.616048,effects_runtime
thread,0.620066,0.069500,0.576971,effects_runtime
throw_raise,0.370759,0.069500,0.344992,conditions_cleanup
time,0.427056,0.097500,0.385418,effects_runtime
tuple,0.041691,0.017500,0.040961,vectors_types_indexing
tuple_type,0.000000,0.113500,0.000000,vectors_types_indexing
type_inference,0.268167,0.065500,0.250602,vectors_types_indexing
unary_op,0.000000,0.606500,0.000000,vectors_types_indexing
union_sum,0.000000,0.113500,0.000000,vectors_types_indexing
unsafe,0.267137,0.017500,0.262462,runtime_memory
variable,0.989402,0.341000,0.652016,bindings_environments
visibility,0.828401,0.017500,0.813904,core_syntax_control
while,0.000000,0.492500,0.000000,core_syntax_control
yield,0.464146,0.017500,0.456024,core_syntax_control
