r_semantic_feature,tree_node,structured_type,binding_scope_graph,control_data_graph,effect_graph,operation_semantics,direct_interpreter,backend_declared_capability,dialect_preservation
r.promise_lazy_argument,0.100,0.050,0.200,0.400,0.100,0.350,0.600,0.250,1.000
r.promise_forcing,0.050,0.050,0.200,0.350,0.200,0.300,0.550,0.200,1.000
r.missing_argument,1.000,0.250,0.350,0.600,0.100,0.600,0.850,0.450,1.000
r.dots_ellipsis,0.200,0.100,0.200,0.250,0.050,0.200,0.350,0.150,1.000
r.default_argument_lazy,0.750,0.100,0.350,0.500,0.100,0.550,0.750,0.350,1.000
r.quote_substitute_eval,0.100,0.050,0.100,0.100,0.200,0.100,0.150,0.000,0.500
r.language_object_pairlist,0.150,0.150,0.000,0.100,0.000,0.100,0.150,0.000,0.500
r.environment,0.000,0.100,0.300,0.100,0.200,0.100,0.200,0.000,0.500
r.lexical_lookup,0.100,0.000,0.300,0.250,0.100,0.150,0.350,0.100,1.000
r.superassignment,0.350,0.000,0.200,0.250,0.300,0.200,0.300,0.100,1.000
r.active_binding,0.000,0.000,0.050,0.000,0.100,0.000,0.000,0.000,0.350
r.delayed_assignment,0.000,0.000,0.100,0.100,0.100,0.050,0.100,0.000,0.350
r.closure_environment_capture,0.550,0.100,0.250,0.450,0.100,0.250,0.450,0.200,1.000
r.atomic_vector,0.200,0.250,0.000,0.300,0.000,0.350,0.550,0.250,1.000
r.list_pairlist,0.100,0.150,0.000,0.150,0.000,0.100,0.250,0.100,0.600
r.vectorized_operation,0.700,0.200,0.000,0.550,0.000,0.450,0.700,0.350,1.000
r.vector_recycling,0.000,0.050,0.000,0.100,0.050,0.000,0.100,0.000,0.350
r.coercion_lattice,0.100,0.250,0.000,0.150,0.000,0.200,0.350,0.100,0.600
r.na_value,0.900,0.550,0.000,0.750,0.000,0.450,0.800,0.450,1.000
r.na_propagation,0.500,0.350,0.000,0.450,0.000,0.150,0.450,0.150,0.750
r.nan_inf_semantics,0.600,0.450,0.000,0.550,0.000,0.350,0.600,0.300,1.000
r.complex_type,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
r.raw_type,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
r.one_based_index,1.000,0.100,0.000,0.800,0.000,0.950,0.850,0.500,1.000
r.negative_index_exclusion,0.400,0.000,0.000,0.300,0.000,0.000,0.200,0.000,0.500
r.logical_index,0.400,0.100,0.000,0.300,0.000,0.050,0.200,0.000,0.500
r.double_bracket_index,0.850,0.100,0.000,0.650,0.000,0.550,0.750,0.350,1.000
r.dollar_member_partial_match,0.300,0.000,0.100,0.200,0.000,0.050,0.200,0.000,0.500
r.attributes,0.200,0.100,0.000,0.100,0.100,0.050,0.100,0.000,0.450
r.s3_dispatch,0.000,0.100,0.050,0.050,0.100,0.000,0.000,0.000,0.350
r.s4_dispatch,0.000,0.100,0.000,0.000,0.050,0.000,0.000,0.000,0.350
r.condition_system,0.000,0.050,0.000,0.100,0.250,0.050,0.100,0.000,0.350
r.restarts_unwind,0.000,0.000,0.000,0.050,0.100,0.000,0.000,0.000,0.350
r.on_exit_cleanup,0.000,0.000,0.000,0.100,0.100,0.000,0.050,0.000,0.350
r.copy_on_modify_named,0.000,0.000,0.000,0.050,0.100,0.000,0.000,0.000,0.350
r.gc_protect,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.350
r.altrep,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.350
r.ffi_C_Call_External,0.000,0.050,0.000,0.000,0.650,0.050,0.000,0.000,0.350
r.native_registration,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.350
r.namespace_package,0.100,0.000,0.100,0.000,0.100,0.000,0.100,0.000,0.400
r.bytecode_compiler,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
r.rng_state,0.000,0.000,0.000,0.000,1.000,0.100,0.200,0.000,0.500
