semanticprogram_axis,generic_gap_contribution,r_specific_gap_contribution,propagated_combined_gap,normalized_share
types.structure,12.490244,4.769068,24.176124,0.103091
runtime.contract,4.483045,9.822360,21.452686,0.091478
scope.binding,10.115124,3.723429,19.392907,0.082695
operations,4.649631,6.503711,16.531112,0.070492
evaluation.order,7.346110,2.557889,15.105210,0.064411
nodes.declaration,8.325587,1.948730,13.956804,0.059514
data.flow,4.649631,3.618818,12.921366,0.055099
nodes.expression,4.649631,2.348245,10.525240,0.044882
effect.graph,4.483045,2.593615,10.365601,0.044201
types.origin,4.164657,1.282050,8.120184,0.034626
dialect.extension,2.769544,2.831889,8.105043,0.034561
conversion.semantics,4.164657,0.954087,7.638229,0.032571
memory.model,3.780058,1.168929,7.056762,0.030091
ownership.lifetime,3.780058,0.910421,6.629564,0.028270
abi.ffi,3.780058,0.640643,6.406426,0.027318
binding.graph,1.789537,2.242717,6.403008,0.027304
purity,4.483045,0.066118,6.381890,0.027214
control.flow,2.696478,0.681940,5.125553,0.021856
effects.control,2.696478,0.681940,5.125553,0.021856
compiletime.semantics,2.769544,0.225406,4.336962,0.018494
lowering.pipeline,2.769544,0.225406,4.336962,0.018494
capture.shadowing,1.789537,0.877882,4.199605,0.017908
concurrency.model,2.284821,0.000000,3.406297,0.014525
memory.ordering,2.284821,0.000000,3.406297,0.014525
synchronization,2.284821,0.000000,3.406297,0.014525
