rank,cluster_family,matrix_gap_score,feature_count,top_features_by_propagated_gap,dominant_sp_axes
1,vectors_types_indexing,12.736422,38,primitive_float;function_type;primitive_integer;cast_conversion;optional_nullable;r.complex_type;r.vector_recycling;map_dict;r.atomic_vector;r.coercion_lattice;r.nan_inf_semantics;r.na_propagation;r.na_value;type_inference,types.structure;operations;types.origin;conversion.semantics;runtime.contract;data.flow;nodes.expression
2,core_syntax_control,8.548498,21,visibility;struct;pattern;goto_label;enum;constant;literal_null;literal_boolean;yield;foreach_iteration;if;literal_string;switch_match;comprehension,evaluation.order;data.flow;operations;nodes.expression;types.structure;scope.binding;nodes.declaration
3,effects_runtime,7.895817,13,mutation;task_async;random;thread;io;atomic;network;lock_mutex;time;filesystem;global_state;channel;r.rng_state,effect.graph;purity;runtime.contract;concurrency.model;memory.ordering;synchronization;data.flow
4,objects_dispatch,6.958520,10,r.s4_dispatch;attribute_annotation;generic;class;interface_trait;subtyping;generic_constraint;r.s3_dispatch;dynamic_dispatch;r.attributes,types.structure;nodes.declaration;scope.binding;runtime.contract;operations;dialect.extension;conversion.semantics
5,bindings_environments,6.717763,15,variable;capture;closure_lambda;symbol_table;scope;assignment;r.environment;r.delayed_assignment;shadowing;r.superassignment;r.lexical_lookup;r.closure_environment_capture;identifier;r.active_binding,scope.binding;binding.graph;capture.shadowing;operations;data.flow;runtime.contract;evaluation.order
6,runtime_memory,6.293502,12,layout_alignment;manual_memory;allocation;gc;r.copy_on_modify_named;r.gc_protect;unsafe;r.altrep;ownership;lifetime;pointer;memory_model,memory.model;ownership.lifetime;abi.ffi;runtime.contract;effect.graph;purity;types.structure
7,packages_ffi,5.238530,7,import;module;ffi;abi_calling_convention;r.namespace_package;r.ffi_C_Call_External;r.native_registration,nodes.declaration;scope.binding;abi.ffi;memory.model;ownership.lifetime;types.structure;runtime.contract
8,compiler_metaprogramming,4.875499,8,ir;macro;bytecode_vm;optimizer;reflection;code_generation;r.bytecode_compiler;compile_time_eval,compiletime.semantics;dialect.extension;lowering.pipeline;runtime.contract;purity;effect.graph
9,evaluation_promises_nse,3.974463,10,function;parameter;r.quote_substitute_eval;r.language_object_pairlist;r.dots_ellipsis;r.promise_lazy_argument;r.promise_forcing;r.default_argument_lazy;r.missing_argument;call,scope.binding;evaluation.order;runtime.contract;nodes.expression;nodes.declaration;types.structure;data.flow
10,conditions_cleanup,3.007569,6,exception_try;defer_cleanup;throw_raise;r.condition_system;r.restarts_unwind;r.on_exit_cleanup,control.flow;effects.control;evaluation.order;runtime.contract;effect.graph;types.structure
