new_collector_feature,detection_terms,authoritative_sources
promise,PROMISESXP;promise;PRVALUE;PREXPR;PRENV;forcePromise;promiseArgs,eval.c;envir.c;Rinternals.h
missing_argument,R_MissingArg;MISSING;missing argument,eval.c;envir.c;gram.y
dots_ellipsis,R_DotsSymbol;DOTSXP;...,eval.c;envir.c;gram.y
environment,ENVSXP;ENCLOS;FRAME;HASHTAB;findVar;defineVar;setVar,envir.c;eval.c;Rinternals.h
superassignment,<<-;->>;setVar,gram.y;envir.c;eval.c
active_binding,R_MakeActiveBinding;active binding,envir.c;Rinternals.h
delayed_assignment,delayedAssign;mkPROMISE,eval.c;envir.c
nse_language_object,LANGSXP;SYMSXP;quote;substitute;eval;install,eval.c;deparse.c;Rinternals.h
vector_recycling,recycle;recycling;mod_iterate;ITERATE_BY_REGION,arithmetic.c;logic.c;relop.c
na_semantics,NA_REAL;NA_INTEGER;NA_LOGICAL;NA_STRING;ISNA;ISNAN,arithmetic.c;coerce.c;logic.c;Rinlinedfuns.h
index_semantics,ExtractSubset;VectorSubset;arraySubscript;makeSubscript;[[;$,subset.c;subscript.c;subassign.c;gram.y
attributes,ATTRIB;setAttrib;class;names;dim;dimnames,attrib.c;objects.c;Rinternals.h
s3_dispatch,UseMethod;NextMethod;DispatchOrEval;R_possible_dispatch,objects.c;eval.c;envir.c
s4_dispatch,S4;R_has_methods_attached;standardGeneric;slot,objects.c;src/library/methods
conditions_restarts,tryCatch;withCallingHandlers;restart;R_UnwindProtect;on.exit,errors.c;context.c;eval.c
copy_on_modify,MAYBE_SHARED;MAYBE_REFERENCED;NAMED;duplicate,duplicate.c;memory.c;subassign.c
altrep,ALTREP;R_new_altrep;ALTVEC,altrep.c;altclasses.c;Rinternals.h
ffi,R_dot_Call;.Call;.C;.External;R_RegisterCCallable;R_registerRoutines,dotcode.c;Rdynload.c;registration.c
rng_state,RNGstate;GetRNGstate;PutRNGstate;set_seed,RNG.c;random.c
