feature,tree_node,structured_type,binding_scope_graph,control_data_graph,effect_graph,operation_semantics,direct_interpreter,backend_declared_capability,dialect_preservation
abi_calling_convention,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
allocation,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.350
array_list,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
array_type,0.000,0.800,0.000,0.000,0.000,0.000,0.000,0.000,0.350
assignment,1.000,0.000,0.000,0.800,0.000,0.000,0.850,0.750,1.000
atomic,0.000,0.000,0.000,0.000,0.650,0.000,0.000,0.000,0.350
attribute_annotation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
await,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
binary_op,1.000,0.000,0.000,0.800,0.000,0.900,0.850,0.750,1.000
break,1.000,0.000,0.000,0.900,0.000,0.000,0.850,0.750,1.000
bytecode_vm,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
call,1.000,0.000,0.000,0.800,0.000,0.900,0.850,0.750,1.000
capture,0.000,0.000,0.300,0.000,0.000,0.000,0.000,0.000,0.350
cast_conversion,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.350
channel,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
class,0.000,0.800,0.000,0.000,0.000,0.000,0.000,0.000,0.350
closure_lambda,0.500,0.000,0.000,0.500,0.000,0.000,0.350,0.300,1.000
code_generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
compile_time_eval,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
comprehension,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
constant,0.500,0.000,0.000,0.500,0.000,0.000,0.350,0.300,1.000
continue,1.000,0.000,0.000,0.900,0.000,0.000,0.850,0.750,1.000
defer_cleanup,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
dynamic_dispatch,0.000,0.000,0.000,0.000,0.650,0.000,0.000,0.000,0.350
enum,0.000,0.800,0.000,0.000,0.000,0.000,0.000,0.000,0.350
exception_try,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
ffi,0.000,0.000,0.000,0.000,0.650,0.000,0.000,0.000,0.350
filesystem,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.350
for,1.000,0.000,0.000,0.900,0.000,0.000,0.850,0.750,1.000
foreach_iteration,1.000,0.000,0.000,0.900,0.000,0.000,0.850,0.750,1.000
function,1.000,0.000,0.000,0.800,0.000,0.000,0.850,0.750,1.000
function_type,0.000,0.800,0.000,0.000,0.000,0.000,0.000,0.000,0.350
gc,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
generic,0.000,0.800,0.000,0.000,0.000,0.000,0.000,0.000,0.350
generic_constraint,0.000,0.800,0.000,0.000,0.000,0.000,0.000,0.000,0.350
global_state,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.350
goto_label,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
identifier,1.000,0.000,0.650,0.800,0.000,0.000,0.850,0.750,1.000
if,1.000,0.000,0.000,0.900,0.000,0.000,0.850,0.750,1.000
import,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
index,1.000,0.000,0.000,0.800,0.000,0.900,0.850,0.750,1.000
interface_trait,0.000,0.800,0.000,0.000,0.000,0.000,0.000,0.000,0.350
io,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.350
ir,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
layout_alignment,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.350
lifetime,0.000,0.400,0.300,0.000,0.000,0.000,0.000,0.000,0.350
literal_boolean,1.000,0.000,0.000,0.800,0.000,0.000,0.850,0.750,1.000
literal_null,1.000,0.000,0.000,0.800,0.000,0.000,0.850,0.750,1.000
literal_numeric,1.000,0.000,0.000,0.800,0.000,0.000,0.850,0.750,1.000
literal_string,1.000,0.000,0.000,0.800,0.000,0.000,0.850,0.750,1.000
lock_mutex,0.000,0.000,0.000,0.000,0.650,0.000,0.000,0.000,0.350
macro,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
manual_memory,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
map_dict,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
map_type,0.000,0.800,0.000,0.000,0.000,0.000,0.000,0.000,0.350
member_access,0.500,0.000,0.000,0.500,0.000,0.000,0.350,0.300,1.000
memory_model,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
module,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
mutation,0.000,0.000,0.000,0.000,0.650,0.000,0.000,0.000,0.350
name_resolution,0.000,0.000,0.650,0.000,0.000,0.000,0.000,0.000,0.350
network,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.350
optimizer,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
optional_nullable,0.000,0.800,0.000,0.000,0.000,0.000,0.000,0.000,0.350
overload_resolution,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.350
