source_group,authority_weight,file_count,feature_evidence,normalized_source_weight
ast_hir,1.000,38,9961.000,0.05704489
parser_lowering,0.980,44,21302.000,0.06281222
borrowck_regions,1.000,131,28806.000,0.08434663
traits_types,1.000,195,57420.000,0.09724368
mir,1.000,172,37063.000,0.09116512
const_eval,1.000,46,11406.000,0.06074506
codegen_abi,0.920,366,58685.000,0.10024466
resolve_macros,0.950,93,29741.000,0.07484824
stdlib_core,0.850,320,68309.000,0.09177602
stdlib_alloc,0.720,96,27255.000,0.05663039
stdlib_std,0.580,699,72007.000,0.07139694
compiler_other,0.600,1175,152896.000,0.08506589
tools_other,0.200,2967,363325.000,0.03439074
tests,0.080,31681,585865.000,0.01849481
docs,0.060,1454,71471.000,0.00820431
other,0.040,706,320994.000,0.00559040
